model,exact_path_accuracy,hierarchical_f1,subtype_tree_distance
DropCascade,0.25299896072881656,0.4036145077834778,2.431391517778171
Flat FT-style Transformer,0.25654243322129844,0.410936394392358,2.4066037944454273
FT-style Transformer + HCE,0.2588310410401557,0.4046952392534937,2.41841168406156
XGBoost,0.24760359543605165,0.41972735715549264,2.375309570139749
