model,error_count,observed_cross_lineage,null_cross_lineage,wrong_conditioned_null,observed_minus_null,difference_ci_lower,difference_ci_upper,normalized_retention,retention_ci_lower,retention_ci_upper
DropCascade,251354,0.7498388726656429,0.6746854718066633,0.7443607046870965,0.07515340085897959,0.04794820314990455,0.0984445254762225,-0.1113902759129152,-0.1462797598620113,-0.07066562935944781
Flat FT-style Transformer,247798,0.7568543733202043,0.6745468446645939,0.7454476847211003,0.08230752865561042,0.05543327540180407,0.10542129313096675,-0.12201899587349835,-0.156321114795842,-0.08085530242595915
FT-style Transformer + HCE,250944,0.7433411438408569,0.6712948645108876,0.7409431351540903,0.07204627932996932,0.045306541352535847,0.09398897190817228,-0.10732434156555479,-0.14021550535682384,-0.06767391746864489
XGBoost,244990,0.7538838319931426,0.6722933349123155,0.7406252721218051,0.0815904970808271,0.05338317606518981,0.10558208270339473,-0.12136145465649846,-0.15751387279969511,-0.07929685699620223
Logistic Regression,301566,0.7052021779643594,0.7202621427828204,0.7523603895221502,-0.015059964818461058,-0.03142225778823268,0.0030091040030200632,0.0209090051023299,-0.004211234958165669,0.04335302180434217
Linear SVM,296904,0.7351298736291866,0.7382051062326923,0.7741768640318674,-0.0030752326035057287,-0.02199581159556029,0.014952959133014178,0.00416582407455791,-0.020457416317368755,0.029680681198519923
Random Forest,246420,0.8086518951383816,0.6850139693619349,0.7493140245638159,0.12363792577644672,0.09540419050202623,0.14386746905640047,-0.1804896415347717,-0.2121267178123715,-0.13431289008290678
Reference Correlation,328596,0.775402013414649,0.7578106246816034,0.7848130106398606,0.017591388733045554,0.0013607036148085897,0.03448628048817538,-0.023213436391759,-0.045896497990540866,-0.0017969921309227237
