model,rho_cell,rho_patient,partial_rho_cell,partial_rho_patient,coarse_macro_f1,fine_macro_f1,granularity_gap,sibling_error_rate,cross_lineage_error_rate,consistency,tail_macro_f1,head_macro_f1
DropCascade,0.48595848595848595,0.2880969485884551,0.41131878760434143,-0.050979609242415784,0.32649451937506957,0.15219459584616507,0.1742999235289045,0.25016112733435714,0.7498388726656429,0.8120245887139572,0.14165362441839133,0.28387687261115835
Flat FT-style Transformer,0.5046557836234867,0.2545244877235426,0.46370579392502903,-0.1225768857976123,0.3229217642634949,0.14672121904248303,0.17620054522101186,0.24314562667979564,0.7568543733202043,0.7947328851937024,0.11670260027163722,0.2897203281661239
FT-style Transformer + HCE,0.5134310134310134,0.31759258856298744,0.42657760599145794,-0.03432946791979862,0.3333485393439262,0.15068132142367113,0.1826672179202551,0.2566588561591431,0.7433411438408569,0.8340040686361224,0.12475382397984824,0.28806556666090083
XGBoost,0.5396825396825397,0.275063991390406,0.4961624461622766,-0.12987274681025895,0.32204425863573916,0.14344618335716552,0.17859807527857363,0.24611616800685743,0.7538838319931426,0.7363595657173182,0.1185411425112666,0.29174612122607957
Logistic Regression,0.43467643467643463,0.10700743804714047,0.4880661365595077,-0.2673888016148752,0.2994478031215871,0.13231599895559526,0.16713180416599183,0.29479782203564064,0.7052021779643594,0.5676825358216876,0.11365128609333498,0.19711593265323682
Linear SVM,0.33943833943833945,-0.012004039524518964,0.46329202786033247,-0.3354040525086711,0.31063138363461346,0.11058898725707955,0.2000423963775339,0.2648701263708135,0.7351298736291865,0.6311278303555634,0.08233406677591025,0.20427583323133217
Random Forest,0.6605627332479878,0.4175713820159494,0.5640207664222817,-0.03455395458887632,0.25035691811651956,0.09189437526390044,0.15846254285261913,0.19134810486161838,0.8086518951383816,0.5726467141340881,0.07163099800656093,0.24521378779096595
Reference Correlation,0.37606837606837606,0.0027437804627471916,0.49909773309187755,-0.35413798916075534,0.17155078475040933,0.07246049466158522,0.09909029008882411,0.22459798658535102,0.775402013414649,0.3797955731470016,0.05953052102165908,0.11370791940073911
