task,model,pooled_macro_f1,balanced_mean_macro_f1,balanced_ci_lower,balanced_ci_upper,balanced_minus_pooled,cells_per_patient,repeats
coarse,DropCascade,0.32649451937506957,0.33124510696460824,0.32521972347328476,0.3366960034533874,0.0047505875895386684,1900,50
coarse,Flat FT-style Transformer,0.3229217642634949,0.3258072281921796,0.3219488595953682,0.3304105818140786,0.0028854639286847172,1900,50
coarse,FT-style Transformer + HCE,0.3333485393439262,0.3338134252955103,0.3282068850721023,0.3399250558543688,0.00046488595158405976,1900,50
coarse,XGBoost,0.32204425863573916,0.3240704522209375,0.31996076232368303,0.32942821922994187,0.0020261935851983437,1900,50
fine,DropCascade,0.15219459584616504,0.14424243572279566,0.13772319514658785,0.15262216406356055,-0.007952160123369384,1900,50
fine,Flat FT-style Transformer,0.14672121904248303,0.1384667113742718,0.131029046426112,0.1472845582094489,-0.00825450766821123,1900,50
fine,FT-style Transformer + HCE,0.15068132142367113,0.1421374197011771,0.13727737693108055,0.15120931312579003,-0.00854390172249403,1900,50
fine,XGBoost,0.14344618335716552,0.13642486796216924,0.13111619002560818,0.14449894700191768,-0.007021315394996286,1900,50
