dataset_key,dataset,modality,model,task,metric,design,fixed_axis,total_training_cells,low_patient_budget,low_cells_per_patient,high_patient_budget,high_cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975,model_label,task_label
combat_rna,COMBAT,RNA,xgboost,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0179776913225822,0.0113328610394759,0.0002002116400966,0.0390204613714043,0.95,0.0155600894757284,0.0186974646739796,XGBoost,Fine
combat_rna,COMBAT,RNA,xgboost,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.0167275511141207,0.0075708032152947,0.0015684286549767,0.0285896531761501,1.0,0.0144313443709558,0.0180721244722056,XGBoost,Fine
combat_adt,COMBAT,ADT,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0057896376180217,0.0064169617585111,-0.0020670679022653,0.0173931060639328,0.8,0.0041029928970033,0.007939781691296,LR,Coarse
combat_adt,COMBAT,ADT,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0085551536977236,0.0072334188263491,-0.0001489267977223,0.0245232386483001,0.95,0.0060030622334994,0.0119269476595039,LR,Coarse
combat_adt,COMBAT,ADT,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.0124678955891705,0.0073514607611104,0.0037575541267758,0.0283155238247012,1.0,0.0097432832177508,0.0161889387650092,LR,Coarse
combat_adt,COMBAT,ADT,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0128861965055737,0.0132138939118816,-0.0109569517231661,0.0330191414421225,0.85,0.0104798514913095,0.0140333776292323,LR,Fine
combat_adt,COMBAT,ADT,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0112882078505908,0.0132837490939426,-0.0121627575201239,0.0322562018125644,0.8,0.0098130159372898,0.013286648737729,LR,Fine
combat_adt,COMBAT,ADT,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.0105679485751385,0.0107839840953391,-0.0052001184179389,0.0316260873232015,0.85,0.0091859622723028,0.0127344035564023,LR,Fine
onek1k,OneK1K,RNA,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0043320422028711,0.0090081851965514,-0.008293273633518,0.0197383268835305,0.65,0.0036060227415005,0.0052072623176979,LR,Coarse
onek1k,OneK1K,RNA,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0051750920236559,0.0068419048754095,-0.0027091715930791,0.0204127041022171,0.75,0.0045611575256111,0.0057569416191715,LR,Coarse
onek1k,OneK1K,RNA,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0071662800272144,0.0143658047599085,-0.0129458273395543,0.0335993717829436,0.7,0.0065413134778471,0.0091384050197725,LR,Fine
onek1k,OneK1K,RNA,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0078407150484636,0.0107209754277329,-0.0083823809231966,0.0286447758595077,0.7,0.0066224585614651,0.0091146634705779,LR,Fine
onek1k,OneK1K,RNA,xgboost,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,-0.0027579206036024,0.0195364978363405,-0.0295963207363528,0.0300692648996896,0.35,-0.0036423241323471,-0.0016923389199144,XGBoost,Coarse
onek1k,OneK1K,RNA,xgboost,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0056300657304813,0.0109018935028654,-0.0123214278671119,0.0258819506163629,0.7,0.0047816370640592,0.0063977265165307,XGBoost,Coarse
onek1k,OneK1K,RNA,xgboost,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0062892824188268,0.0161201958450434,-0.0265138590797441,0.0319383931702228,0.75,0.0046813904474703,0.0069289647585626,XGBoost,Fine
onek1k,OneK1K,RNA,xgboost,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0088864316657887,0.009355361132408,-0.0100953374149938,0.0206322529746714,0.85,0.0072768230590878,0.0093934460750857,XGBoost,Fine
