seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
5,6400,32,logistic_regression,fine,0.054305822344833686,26.8,0.2,32.0,27.945014245014242
5,6400,8,logistic_regression,coarse,0.2706545735589299,5.0,0.0,8.0,7.88
5,6400,8,logistic_regression,fine,0.06057283479232424,26.8,0.2,8.0,7.255270655270655
6,3200,16,logistic_regression,coarse,0.27183327098256266,5.0,0.0,16.0,15.64
6,3200,16,logistic_regression,fine,0.05542208043884581,27.0,0.0,16.0,14.103703703703705
6,3200,32,logistic_regression,coarse,0.27612814603059066,5.0,0.0,32.0,29.32
6,3200,32,logistic_regression,fine,0.05541448339426968,27.0,0.0,32.0,24.97037037037037
6,3200,8,logistic_regression,coarse,0.2702565738565953,5.0,0.0,8.0,7.959999999999999
6,3200,8,logistic_regression,fine,0.05682843397417177,27.0,0.0,8.0,7.318518518518519
6,6400,16,logistic_regression,coarse,0.28386236726059266,5.0,0.0,16.0,15.88
6,6400,16,logistic_regression,fine,0.05548501861015225,27.0,0.0,16.0,14.592592592592592
6,6400,32,logistic_regression,coarse,0.28420812773189646,5.0,0.0,32.0,31.080000000000002
6,6400,32,logistic_regression,fine,0.0564674421334476,27.0,0.0,32.0,27.725925925925925
6,6400,8,logistic_regression,coarse,0.2746518409707638,5.0,0.0,8.0,7.959999999999999
6,6400,8,logistic_regression,fine,0.05882744195744901,27.0,0.0,8.0,7.355555555555554
7,3200,16,logistic_regression,coarse,0.2710105237455121,5.0,0.0,16.0,15.440000000000001
7,3200,16,logistic_regression,fine,0.05545633897271883,26.8,0.2,16.0,13.926495726495727
7,3200,32,logistic_regression,coarse,0.2763106462507755,5.0,0.0,32.0,28.640000000000004
7,3200,32,logistic_regression,fine,0.05389828149419055,26.8,0.2,32.0,25.21168091168091
7,3200,8,logistic_regression,coarse,0.271041483506989,5.0,0.0,8.0,7.959999999999999
7,3200,8,logistic_regression,fine,0.05535728090344257,26.8,0.2,8.0,7.247008547008546
7,6400,16,logistic_regression,coarse,0.27838685555727494,5.0,0.0,16.0,15.879999999999999
7,6400,16,logistic_regression,fine,0.056894772345353214,26.8,0.2,16.0,14.366951566951565
7,6400,32,logistic_regression,coarse,0.2844588497806564,5.0,0.0,32.0,30.6
7,6400,32,logistic_regression,fine,0.054023720558952264,26.8,0.2,32.0,27.57122507122507
7,6400,8,logistic_regression,coarse,0.27754454846158544,5.0,0.0,8.0,7.959999999999999
7,6400,8,logistic_regression,fine,0.05850464875361513,26.8,0.2,8.0,7.291737891737893
8,3200,16,logistic_regression,coarse,0.2742946465456001,5.0,0.0,16.0,15.0
8,3200,16,logistic_regression,fine,0.05652522997593032,26.8,0.2,16.0,13.317378917378917
8,3200,32,logistic_regression,coarse,0.2723709788934151,5.0,0.0,32.0,27.8
8,3200,32,logistic_regression,fine,0.056156955248589054,26.8,0.2,32.0,24.11196581196581
8,3200,8,logistic_regression,coarse,0.27513208698635805,5.0,0.0,8.0,7.92
8,3200,8,logistic_regression,fine,0.05812593292397814,26.8,0.2,8.0,7.00940170940171
8,6400,16,logistic_regression,coarse,0.2811627415758909,5.0,0.0,16.0,15.84
8,6400,16,logistic_regression,fine,0.05790373800903887,26.8,0.2,16.0,14.062108262108262
8,6400,32,logistic_regression,coarse,0.2815004532591361,5.0,0.0,32.0,29.8
8,6400,32,logistic_regression,fine,0.055758053886721407,26.8,0.2,32.0,26.512820512820515
8,6400,8,logistic_regression,coarse,0.2809288607568146,5.0,0.0,8.0,7.92
8,6400,8,logistic_regression,fine,0.060187926759443525,26.8,0.2,8.0,7.158404558404558
9,3200,16,logistic_regression,coarse,0.2664660775977713,5.0,0.0,16.0,15.319999999999999
9,3200,16,logistic_regression,fine,0.053304541665908395,26.8,0.2,16.0,13.501994301994301
9,3200,32,logistic_regression,coarse,0.2701887837959133,5.0,0.0,32.0,28.68
9,3200,32,logistic_regression,fine,0.0540921820895839,26.8,0.2,32.0,24.583475783475784
9,3200,8,logistic_regression,coarse,0.2666790379926433,5.0,0.0,8.0,7.88
9,3200,8,logistic_regression,fine,0.05747583851050053,26.8,0.2,8.0,7.028490028490029
9,6400,16,logistic_regression,coarse,0.2741302688339421,5.0,0.0,16.0,15.8
9,6400,16,logistic_regression,fine,0.05465785326134327,26.8,0.2,16.0,14.016524216524218
9,6400,32,logistic_regression,coarse,0.2800801792170761,5.0,0.0,32.0,30.639999999999997
9,6400,32,logistic_regression,fine,0.05373837894397142,26.8,0.2,32.0,27.005413105413105
9,6400,8,logistic_regression,coarse,0.2748595710921325,5.0,0.0,8.0,7.88
9,6400,8,logistic_regression,fine,0.06193973146469947,26.8,0.2,8.0,7.155270655270655
10,3200,16,logistic_regression,coarse,0.2731849008891927,5.0,0.0,16.0,15.440000000000001
10,3200,16,logistic_regression,fine,0.059689841546517804,27.0,0.0,16.0,13.762962962962963
10,3200,32,logistic_regression,coarse,0.27786995832408784,5.0,0.0,32.0,28.919999999999998
10,3200,32,logistic_regression,fine,0.05636227977411253,27.0,0.0,32.0,25.3037037037037
10,3200,8,logistic_regression,coarse,0.2666911172440041,5.0,0.0,8.0,7.88
10,3200,8,logistic_regression,fine,0.05898864631793089,27.0,0.0,8.0,7.066666666666667
10,6400,16,logistic_regression,coarse,0.2818345448768706,5.0,0.0,16.0,15.76
10,6400,16,logistic_regression,fine,0.05617557650012169,27.0,0.0,16.0,14.118518518518519
10,6400,32,logistic_regression,coarse,0.28278796979029086,5.0,0.0,32.0,30.76
10,6400,32,logistic_regression,fine,0.05447731541293127,27.0,0.0,32.0,27.62962962962963
10,6400,8,logistic_regression,coarse,0.27614197723019335,5.0,0.0,8.0,7.88
10,6400,8,logistic_regression,fine,0.060027097245977185,27.0,0.0,8.0,7.111111111111112
11,3200,16,logistic_regression,coarse,0.27429543134648554,5.0,0.0,16.0,15.479999999999999
11,3200,16,logistic_regression,fine,0.05602529700384314,27.0,0.0,16.0,13.807407407407407
11,3200,32,logistic_regression,coarse,0.27553915052044753,5.0,0.0,32.0,29.04
11,3200,32,logistic_regression,fine,0.053066866806855344,27.0,0.0,32.0,25.274074074074072
11,3200,8,logistic_regression,coarse,0.2724232767731946,5.0,0.0,8.0,7.959999999999999
11,3200,8,logistic_regression,fine,0.060478948309595715,27.0,0.0,8.0,7.22962962962963
11,6400,16,logistic_regression,coarse,0.27730601941648525,5.0,0.0,16.0,15.719999999999999
11,6400,16,logistic_regression,fine,0.057904365237479466,27.0,0.0,16.0,14.192592592592593
11,6400,32,logistic_regression,coarse,0.285211204289031,5.0,0.0,32.0,31.119999999999997
11,6400,32,logistic_regression,fine,0.05429963880070573,27.0,0.0,32.0,27.807407407407407
11,6400,8,logistic_regression,coarse,0.2830739650050754,5.0,0.0,8.0,7.959999999999999
11,6400,8,logistic_regression,fine,0.062745326958425,27.0,0.0,8.0,7.281481481481481
12,3200,16,logistic_regression,coarse,0.2713583463003121,5.0,0.0,16.0,15.36
12,3200,16,logistic_regression,fine,0.05516590378564641,26.6,0.4,16.0,13.91054131054131
12,3200,32,logistic_regression,coarse,0.2725127672379662,5.0,0.0,32.0,29.32
12,3200,32,logistic_regression,fine,0.056483499509999736,26.6,0.4,32.0,25.497720797720795
12,3200,8,logistic_regression,coarse,0.26921140143131467,5.0,0.0,8.0,7.840000000000001
12,3200,8,logistic_regression,fine,0.059372691512220827,26.6,0.4,8.0,7.135612535612536
12,6400,16,logistic_regression,coarse,0.27912583384059014,5.0,0.0,16.0,15.76
12,6400,16,logistic_regression,fine,0.05512528305855785,26.6,0.4,16.0,14.362393162393161
12,6400,32,logistic_regression,coarse,0.2816000941876867,5.0,0.0,32.0,30.68
12,6400,32,logistic_regression,fine,0.05373473649126765,26.6,0.4,32.0,27.94017094017094
12,6400,8,logistic_regression,coarse,0.27944032328049684,5.0,0.0,8.0,7.840000000000001
12,6400,8,logistic_regression,fine,0.06201314132472776,26.6,0.4,8.0,7.1886039886039885
13,3200,16,logistic_regression,coarse,0.27528867120442546,5.0,0.0,16.0,15.040000000000001
13,3200,16,logistic_regression,fine,0.05477072708040093,26.8,0.2,16.0,13.637891737891739
13,3200,32,logistic_regression,coarse,0.27732615352503404,5.0,0.0,32.0,27.840000000000003
13,3200,32,logistic_regression,fine,0.056485452494245886,26.8,0.2,32.0,24.41994301994302
13,3200,8,logistic_regression,coarse,0.2679478746308792,5.0,0.0,8.0,7.88
13,3200,8,logistic_regression,fine,0.05494009944228172,26.8,0.2,8.0,7.276068376068376
13,6400,16,logistic_regression,coarse,0.28077195590031134,5.0,0.0,16.0,15.719999999999999
13,6400,16,logistic_regression,fine,0.05540125074180441,26.8,0.2,16.0,14.344729344729345
13,6400,32,logistic_regression,coarse,0.2868567026743523,5.0,0.0,32.0,29.959999999999997
13,6400,32,logistic_regression,fine,0.0553793700108654,26.8,0.2,32.0,27.037891737891737
13,6400,8,logistic_regression,coarse,0.2767332751351884,5.0,0.0,8.0,7.88
13,6400,8,logistic_regression,fine,0.05929477751590536,26.8,0.2,8.0,7.424786324786325
14,3200,16,logistic_regression,coarse,0.26469811264510773,5.0,0.0,16.0,15.239999999999998
14,3200,16,logistic_regression,fine,0.05425995984841438,26.4,0.6,16.0,13.901994301994302
14,3200,32,logistic_regression,coarse,0.27451183351162445,5.0,0.0,32.0,28.04
14,3200,32,logistic_regression,fine,0.05695611529158727,26.4,0.6,32.0,24.835327635327634
14,3200,8,logistic_regression,coarse,0.256647102250529,5.0,0.0,8.0,7.959999999999999
14,3200,8,logistic_regression,fine,0.056015500438990846,26.4,0.6,8.0,7.245584045584044
14,6400,16,logistic_regression,coarse,0.27202594131960617,5.0,0.0,16.0,15.84
14,6400,16,logistic_regression,fine,0.05603005178088928,26.4,0.6,16.0,14.432763532763534
14,6400,32,logistic_regression,coarse,0.28411202351947057,5.0,0.0,32.0,30.359999999999996
14,6400,32,logistic_regression,fine,0.05606206314562004,26.4,0.6,32.0,27.462678062678066
14,6400,8,logistic_regression,coarse,0.2633297624384017,5.0,0.0,8.0,7.959999999999999
14,6400,8,logistic_regression,fine,0.05874382703736679,26.4,0.6,8.0,7.305413105413106
15,3200,16,logistic_regression,coarse,0.26763637512449223,5.0,0.0,16.0,15.48
15,3200,16,logistic_regression,fine,0.05674257552550448,26.8,0.2,16.0,13.913390313390314
15,3200,32,logistic_regression,coarse,0.2738767953339967,5.0,0.0,32.0,29.04
15,3200,32,logistic_regression,fine,0.05435261526144796,26.8,0.2,32.0,25.488319088319088
15,3200,8,logistic_regression,coarse,0.26419390921114455,5.0,0.0,8.0,7.92
15,3200,8,logistic_regression,fine,0.05729213044077414,26.8,0.2,8.0,7.168945868945869
15,6400,16,logistic_regression,coarse,0.27740669892028713,5.0,0.0,16.0,15.8
15,6400,16,logistic_regression,fine,0.05606475873131792,26.8,0.2,16.0,14.273504273504273
15,6400,32,logistic_regression,coarse,0.28220190064102557,5.0,0.0,32.0,30.919999999999998
15,6400,32,logistic_regression,fine,0.055432685086746335,26.8,0.2,32.0,27.801139601139603
15,6400,8,logistic_regression,coarse,0.2692310398530354,5.0,0.0,8.0,7.92
15,6400,8,logistic_regression,fine,0.057409991245666744,26.8,0.2,8.0,7.213675213675214
16,3200,16,logistic_regression,coarse,0.2716794151462727,5.0,0.0,16.0,15.280000000000001
16,3200,16,logistic_regression,fine,0.0545656967782936,26.6,0.4,16.0,14.168945868945869
16,3200,32,logistic_regression,coarse,0.2734164989996633,5.0,0.0,32.0,28.639999999999997
16,3200,32,logistic_regression,fine,0.054612965956645575,26.6,0.4,32.0,25.692592592592597
16,3200,8,logistic_regression,coarse,0.27294372059015465,5.0,0.0,8.0,7.92
16,3200,8,logistic_regression,fine,0.05732112044735516,26.6,0.4,8.0,7.227635327635328
16,6400,16,logistic_regression,coarse,0.282230775092859,5.0,0.0,16.0,15.84
16,6400,16,logistic_regression,fine,0.05460886488940521,26.6,0.4,16.0,14.575783475783476
16,6400,32,logistic_regression,coarse,0.2836996613563627,5.0,0.0,32.0,30.360000000000003
16,6400,32,logistic_regression,fine,0.052945286736905225,26.6,0.4,32.0,28.103703703703708
16,6400,8,logistic_regression,coarse,0.27704134050760354,5.0,0.0,8.0,7.92
16,6400,8,logistic_regression,fine,0.05864930455298853,26.6,0.4,8.0,7.257549857549857
