actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
32,2.8304589120671153,0,0.03093545138835907,31.6,30,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,2,success,coarse,6400,0,2.9579731728881598
32,4.887412566691637,0,0.05364495888352394,27.666666666666668,1,logistic_regression,27,66980,6400,27,32,d53c22dd7c1e22fc,2,success,fine,6400,0,5.046352514997125
8,2.8296614568680525,0,0.029284720309078693,7.6,6,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,2,success,coarse,6400,0,2.928425501100719
8,5.7534843403846025,0,0.05796570051461458,6.703703703703703,1,logistic_regression,27,66980,6400,27,8,d53c22dd7c1e22fc,2,success,fine,6400,0,5.885748103260994
16,1.101887813769281,0,0.030087190680205822,14.6,9,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,3,success,coarse,3200,0,1.2076450176537037
16,2.1034330604597926,0,0.0539851039648056,13.807692307692308,2,logistic_regression,27,66980,3200,26,16,d53c22dd7c1e22fc,3,success,fine,3200,1,2.2416463745757937
32,1.0685751978307962,0,0.029556140303611755,27.4,9,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,3,success,coarse,3200,0,1.1968419523909688
32,2.844197235070169,0,0.05147298984229565,25.192307692307693,2,logistic_regression,27,66980,3200,26,32,d53c22dd7c1e22fc,3,success,fine,3200,1,2.999479888007045
8,1.1762967873364687,0,0.031007475219666958,7.6,6,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,3,success,coarse,3200,0,1.2737726522609591
8,1.9714994756504893,0,0.05076392274349928,6.884615384615385,2,logistic_regression,27,66980,3200,26,8,d53c22dd7c1e22fc,3,success,fine,3200,1,2.0915697338059545
16,2.763820882886648,0,0.030519460327923298,15.6,14,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,3,success,coarse,6400,0,2.8737421687692404
16,4.314222913235426,0,0.05330258887261152,14.423076923076923,4,logistic_regression,27,66980,6400,26,16,d53c22dd7c1e22fc,3,success,fine,6400,1,4.45422154571861
32,2.4845635974779725,0,0.029311773367226124,28.8,16,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,3,success,coarse,6400,0,2.6083143036812544
32,4.859435896389186,0,0.053713574074208736,27.384615384615383,4,logistic_regression,27,66980,6400,26,32,d53c22dd7c1e22fc,3,success,fine,6400,1,5.022934961132705
8,2.518147154711187,0,0.031043989583849907,7.6,6,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,3,success,coarse,6400,0,2.6167628625407815
8,4.43966212682426,0,0.04807340446859598,6.961538461538462,4,logistic_regression,27,66980,6400,26,8,d53c22dd7c1e22fc,3,success,fine,6400,1,4.5542415184900165
16,1.1663815136998892,0,0.032410623505711555,15.6,14,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,4,success,coarse,3200,0,1.2865305598825216
16,3.4134739665314555,0,0.05402266513556242,13.62962962962963,1,logistic_regression,27,66980,3200,27,16,d53c22dd7c1e22fc,4,success,fine,3200,0,3.547189923003316
32,1.4212468704208732,0,0.031026942655444145,29.0,17,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,4,success,coarse,3200,0,1.54739323630929
32,2.642528899013996,0,0.05549210123717785,25.296296296296298,1,logistic_regression,27,66980,3200,27,32,d53c22dd7c1e22fc,4,success,fine,3200,0,2.80200160946697
8,1.2106654960662127,0,0.02961939200758934,7.6,6,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,4,success,coarse,3200,0,1.307750086300075
8,2.6986436154693365,0,0.053994701243937016,6.666666666666667,1,logistic_regression,27,66980,3200,27,8,d53c22dd7c1e22fc,4,success,fine,3200,0,2.8220531195402145
16,2.808306971564889,0,0.02961064036935568,15.6,14,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,4,success,coarse,6400,0,2.923079256899655
16,6.209570433944464,0,0.056710364297032356,13.814814814814815,1,logistic_regression,27,66980,6400,27,16,d53c22dd7c1e22fc,4,success,fine,6400,0,6.355296392925084
32,2.8200846454128623,0,0.03149485029280186,31.6,30,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,4,success,coarse,6400,0,2.9492289163172245
32,6.247150804847479,0,0.055752892047166824,27.666666666666668,1,logistic_regression,27,66980,6400,27,32,d53c22dd7c1e22fc,4,success,fine,6400,0,6.403667213395238
8,2.777907603420317,0,0.030368279665708542,7.6,6,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,4,success,coarse,6400,0,2.879660500213504
8,6.45849399920553,0,0.059324296191334724,6.703703703703703,1,logistic_regression,27,66980,6400,27,8,d53c22dd7c1e22fc,4,success,fine,6400,0,6.5918639320880175
16,1.163085849955678,0,0.029128453694283962,15.4,13,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,5,success,coarse,3200,0,1.273192236199975
16,2.221525319851935,0,0.0510849067941308,14.692307692307692,2,logistic_regression,27,66980,3200,26,16,d53c22dd7c1e22fc,5,success,fine,3200,1,2.3583657909184694
32,1.2307462925091386,0,0.029345696792006493,28.2,13,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,5,success,coarse,3200,0,1.3601555973291397
32,2.093742160126567,0,0.05082070268690586,26.0,2,logistic_regression,27,66980,3200,26,32,d53c22dd7c1e22fc,5,success,fine,3200,1,2.246144992299378
8,1.2635709773749113,0,0.03075292706489563,7.8,7,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,5,success,coarse,3200,0,1.3633261574432254
8,2.4455509688705206,0,0.049999031238257885,7.384615384615385,2,logistic_regression,27,66980,3200,26,8,d53c22dd7c1e22fc,5,success,fine,3200,1,2.567698289640248
16,2.8672790713608265,0,0.03212270699441433,15.8,15,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,5,success,coarse,6400,0,2.986186762340367
16,5.700539213605225,0,0.053754192776978016,15.0,4,logistic_regression,27,66980,6400,26,16,d53c22dd7c1e22fc,5,success,fine,6400,1,5.846471408382058
32,2.5832068352028728,0,0.029376767575740814,30.8,26,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,5,success,coarse,6400,0,2.7143597034737468
32,4.670434430241585,0,0.051290628500282764,28.576923076923077,4,logistic_regression,27,66980,6400,26,32,d53c22dd7c1e22fc,5,success,fine,6400,1,4.8260074416175485
8,2.993479333817959,0,0.031437584199011326,7.8,7,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,5,success,coarse,6400,0,3.096799706108868
8,5.106215070001781,0,0.047329358756542206,7.461538461538462,4,logistic_regression,27,66980,6400,26,8,d53c22dd7c1e22fc,5,success,fine,6400,1,5.2268937630578876
16,1.136029570363462,0,0.03155436832457781,14.8,10,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,6,success,coarse,3200,0,1.2474439358338714
16,2.039363546296954,0,0.05198871623724699,13.555555555555555,1,logistic_regression,27,66980,3200,27,16,d53c22dd7c1e22fc,6,success,fine,3200,0,2.165307438932359
32,1.069373314268887,0,0.031106463633477688,27.6,10,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,6,success,coarse,3200,0,1.1949143633246422
32,2.624440722167492,0,0.054871478118002415,24.37037037037037,1,logistic_regression,27,66980,3200,27,32,d53c22dd7c1e22fc,6,success,fine,3200,0,2.781023579649627
8,1.0423871958628297,0,0.02939619030803442,7.8,7,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,6,success,coarse,3200,0,1.1359220882877707
8,1.8751010550186038,0,0.05400026123970747,6.925925925925926,1,logistic_regression,27,66980,3200,27,8,d53c22dd7c1e22fc,6,success,fine,3200,0,2.0010097036138177
16,2.8584848027676344,0,0.03003084473311901,15.6,14,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,6,success,coarse,6400,0,2.9716251343488693
16,4.653921187855303,0,0.051543411798775196,14.148148148148149,2,logistic_regression,27,66980,6400,27,16,d53c22dd7c1e22fc,6,success,fine,6400,0,4.788402936421335
32,2.718618093058467,0,0.03119127918034792,29.6,20,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,6,success,coarse,6400,0,2.848693265579641
32,5.420151715166867,0,0.05545144900679588,26.814814814814813,2,logistic_regression,27,66980,6400,27,32,d53c22dd7c1e22fc,6,success,fine,6400,0,5.57657933793962
8,2.4888641806319356,0,0.029669418931007385,7.8,7,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,6,success,coarse,6400,0,2.589662787504494
8,4.824886618182063,0,0.05786370765417814,6.962962962962963,1,logistic_regression,27,66980,6400,27,8,d53c22dd7c1e22fc,6,success,fine,6400,0,4.956323252990842
16,1.2394003849476576,0,0.029638143256306648,15.0,11,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,7,success,coarse,3200,0,1.3468462964519858
16,1.9981170743703842,0,0.05063999071717262,14.076923076923077,2,logistic_regression,27,66980,3200,26,16,d53c22dd7c1e22fc,7,success,fine,3200,1,2.130193146876991
32,1.339894407428801,0,0.02987917885184288,27.8,11,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,7,success,coarse,3200,0,1.4640513136982918
32,2.1708750566467643,0,0.050011434592306614,25.576923076923077,2,logistic_regression,27,66980,3200,26,32,d53c22dd7c1e22fc,7,success,fine,3200,1,2.3206803491339087
8,1.1592445047572255,0,0.03103974461555481,8.0,8,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,7,success,coarse,3200,0,1.2597545878961682
8,2.317350495606661,0,0.05420819763094187,7.346153846153846,2,logistic_regression,27,66980,3200,26,8,d53c22dd7c1e22fc,7,success,fine,3200,1,2.4462301647290587
16,2.7592594493180513,0,0.031021111644804478,15.8,15,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,7,success,coarse,6400,0,2.8708024695515633
16,4.598293683491647,0,0.05142574477940798,14.538461538461538,3,logistic_regression,27,66980,6400,26,16,d53c22dd7c1e22fc,7,success,fine,6400,1,4.737852797843516
32,2.3288823990151286,0,0.029276564717292786,29.8,21,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,7,success,coarse,6400,0,2.454209830611944
32,5.275361304171383,0,0.05373893119394779,28.115384615384617,3,logistic_regression,27,66980,6400,26,32,d53c22dd7c1e22fc,7,success,fine,6400,1,5.435843540355563
8,2.704098326154053,0,0.033170207403600216,8.0,8,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,7,success,coarse,6400,0,2.8139568027108908
8,5.092500407248735,0,0.04906964208930731,7.384615384615385,3,logistic_regression,27,66980,6400,26,8,d53c22dd7c1e22fc,7,success,fine,6400,1,5.21320304274559
16,0.9939601626247168,0,0.03205314837396145,14.8,10,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,8,success,coarse,3200,0,1.1058441577479243
16,1.9532874068245292,0,0.0518514309078455,13.666666666666666,1,logistic_regression,27,66980,3200,27,16,d53c22dd7c1e22fc,8,success,fine,3200,0,2.082861895672977
32,1.1356833335012197,0,0.030757411383092403,27.6,10,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,8,success,coarse,3200,0,1.2626811508089304
32,2.5726876463741064,0,0.054463885724544525,24.48148148148148,1,logistic_regression,27,66980,3200,27,32,d53c22dd7c1e22fc,8,success,fine,3200,0,2.7279955223202705
8,0.977122388780117,0,0.028999456204473972,7.8,7,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,8,success,coarse,3200,0,1.0719930035993457
8,1.722946242429316,0,0.05253984592854977,6.888888888888889,1,logistic_regression,27,66980,3200,27,8,d53c22dd7c1e22fc,8,success,fine,3200,0,1.8424195563420653
16,1.909946477971971,0,0.028850886970758438,15.8,15,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,8,success,coarse,6400,0,2.0191956348717213
16,4.26888198684901,0,0.052589776925742626,14.25925925925926,2,logistic_regression,27,66980,6400,27,16,d53c22dd7c1e22fc,8,success,fine,6400,0,4.403596672229469
32,2.8919838033616543,0,0.03134310059249401,29.4,19,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,8,success,coarse,6400,0,3.0218077655881643
32,4.882933394983411,0,0.05228262580931187,26.88888888888889,2,logistic_regression,27,66980,6400,27,32,d53c22dd7c1e22fc,8,success,fine,6400,0,5.033745185472071
8,1.9729916471987963,0,0.03093541320413351,7.8,7,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,8,success,coarse,6400,0,2.0751952920109034
8,4.38946761097759,0,0.05419175233691931,6.962962962962963,1,logistic_regression,27,66980,6400,27,8,d53c22dd7c1e22fc,8,success,fine,6400,0,4.512808091938496
16,1.192559938877821,0,0.029965398833155632,15.6,14,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,9,success,coarse,3200,0,1.2981513105332851
16,2.357330782338977,0,0.05421638395637274,13.814814814814815,1,logistic_regression,27,66980,3200,27,16,d53c22dd7c1e22fc,9,success,fine,3200,0,2.4915056424215436
32,1.2070378446951509,0,0.02958741970360279,29.0,17,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,9,success,coarse,3200,0,1.332932598888874
32,2.297468171454966,0,0.05536997318267822,24.51851851851852,1,logistic_regression,27,66980,3200,27,32,d53c22dd7c1e22fc,9,success,fine,3200,0,2.4548904690891504
8,1.1869521830230951,0,0.03119587991386652,7.8,7,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,9,success,coarse,3200,0,1.2869734279811382
8,2.2659677090123296,0,0.053997128270566463,7.074074074074074,1,logistic_regression,27,66980,3200,27,8,d53c22dd7c1e22fc,9,success,fine,3200,0,2.390609612688422
16,2.8498015888035297,0,0.03170156478881836,15.6,14,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,9,success,coarse,6400,0,2.964025183580816
16,6.457030136138201,0,0.05777144245803356,14.074074074074074,1,logistic_regression,27,66980,6400,27,16,d53c22dd7c1e22fc,9,success,fine,6400,0,6.599213885143399
32,2.7521479539573193,0,0.029502304270863533,31.6,30,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,9,success,coarse,6400,0,2.879947405308485
32,6.43852293677628,0,0.05818112753331661,27.77777777777778,1,logistic_regression,27,66980,6400,27,32,d53c22dd7c1e22fc,9,success,fine,6400,0,6.602425227873027
