total,model,task,n_seeds,p8_mean,p32_mean,delta_p32_minus_p8_mean,delta_ci_low,delta_ci_high,patient_bootstrap_ci_low,patient_bootstrap_ci_high,joint_resampling_ci_low,joint_resampling_ci_high,joint_probability_positive,positive_seed_fraction,mean_class_donor_coverage_p8,mean_class_donor_coverage_p32
3200,logistic_regression,coarse,20,0.26789036422851953,0.2740599616326437,0.006169597404124111,-0.0024866652852559095,0.01611694018936094,0.0008406861413412959,0.01287033207321761,-0.008009666624521242,0.022059936343390034,0.7785,0.85,7.889999999999999,28.47
3200,logistic_regression,fine,20,0.05754126848540599,0.055092634652695024,-0.002448633832710976,-0.006524139454248529,0.0012581024072644887,-0.0042345475743179786,-0.0003671448122467582,-0.00769618937403071,0.0029177860813259272,0.1625,0.1,7.145484330484331,24.957507122507124
6400,logistic_regression,coarse,20,0.2754598919826172,0.28327472824139627,0.007814836258779092,-0.0012694298293482744,0.020219721976900626,0.002182447825002398,0.016027020316988112,-0.007033088888549845,0.026453334639182747,0.8355,0.95,7.889999999999999,30.479999999999997
6400,logistic_regression,fine,20,0.059714987936312525,0.05475363140896041,-0.004961356527352112,-0.008366228578696167,-0.0021590856498338853,-0.0068183772085340395,-0.0026120998608811304,-0.010530039116746584,0.0009063441535894881,0.0425,0.0,7.217763532763534,27.402008547008545
