model,scope,method,mean,seed_values,patient_counts,cell_counts
sgd,B,lineage_shuffle_1,0.522932232075677,"[0.52177831959707, 0.5261070976264912, 0.5209112790034699]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,lineage_shuffle_2,0.5305256856506647,"[0.53529108575608, 0.5248301414997145, 0.5314558296961998]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,prior_expected_cm,0.19909091845523494,"[0.19909091845523494, 0.19909091845523494, 0.19909091845523494]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,Myeloid,rna,0.644108519319989,"[0.6439671175801507, 0.6425464321479417, 0.6458120082318746]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,apt,0.1473679741529299,"[0.14081127628102785, 0.16027045105028595, 0.14102219512747596]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,rna_apt,0.6541979135630664,"[0.6537792777825622, 0.6577759502898783, 0.6510385126167588]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,rna_noise,0.6366658463615814,"[0.6367736483030769, 0.6359862221462727, 0.6372376686353944]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,rna_oracle,0.6613280750835652,"[0.6601898168776286, 0.6614495711520482, 0.6623448372210187]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,apt_oracle,0.20149846435246635,"[0.20949323483051943, 0.2083976153013424, 0.1866045429255372]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,prior_oracle,0.07235695600142827,"[0.07235695600142827, 0.07235695600142827, 0.07235695600142827]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,patient_shuffle_0,0.6494445466509892,"[0.6446424040974295, 0.6477155703482327, 0.6559756655073052]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,patient_shuffle_1,0.6491251563413696,"[0.6463023935042582, 0.6500053452845133, 0.6510677302353371]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,patient_shuffle_2,0.6470305928762546,"[0.644031609130816, 0.6436613436959688, 0.6533988258019788]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,lineage_shuffle_0,0.6488965115371518,"[0.6414448351666612, 0.6500644625531575, 0.6551802368916366]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,lineage_shuffle_1,0.6502984591459445,"[0.65340918996116, 0.6493677249125851, 0.6481184625640884]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,lineage_shuffle_2,0.6526056963597637,"[0.6452971614601498, 0.654072253388144, 0.6584476742309973]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,Myeloid,prior_expected_cm,0.12431728808880127,"[0.12431728808880127, 0.12431728808880127, 0.12431728808880127]","[40, 40, 40]","[67995, 67995, 67995]"
sgd,NK,rna,0.648125648634715,"[0.6564975133577686, 0.6302296594840373, 0.6576497730623392]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,apt,0.2201530338426999,"[0.23279650944670635, 0.16072498506205168, 0.26693760701934166]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,rna_apt,0.6609796126061095,"[0.6123777541566682, 0.6655496194746302, 0.70501146418703]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,rna_noise,0.617903479504991,"[0.6141939133162408, 0.5969000870860783, 0.6426164381126538]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,rna_oracle,0.791075928085327,"[0.8034662868789026, 0.761549650405959, 0.8082118469711197]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,apt_oracle,0.8395448795779407,"[0.8291594348009007, 0.8417151960801056, 0.8477600078528158]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,prior_oracle,0.4344805798057183,"[0.4344805798057183, 0.4344805798057183, 0.4344805798057183]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,patient_shuffle_0,0.6200954000394884,"[0.5359192843458858, 0.6514866929094605, 0.6728802228631188]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,patient_shuffle_1,0.6800339008973596,"[0.6690337464496187, 0.6923118852776001, 0.6787560709648599]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,patient_shuffle_2,0.6516044518834577,"[0.6355813186626628, 0.6431721313472178, 0.6760599056404928]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,lineage_shuffle_0,0.660114223383358,"[0.6650966556146825, 0.6356497033269081, 0.6795963112084834]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,lineage_shuffle_1,0.6498453315927272,"[0.6113633812717161, 0.6620537786507488, 0.6761188348557167]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,lineage_shuffle_2,0.6804624991521516,"[0.6498690874792634, 0.7098929882870867, 0.6816254216901048]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,NK,prior_expected_cm,0.49387290257674393,"[0.493872902576744, 0.493872902576744, 0.493872902576744]","[40, 40, 40]","[96949, 96949, 96949]"
sgd,Other,rna,0.5848228851564771,"[0.5689921044047191, 0.56017415205429, 0.6253023990104221]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,apt,0.01830998670228068,"[0.02355912818723712, 0.010495297052037307, 0.020875534867567606]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,rna_apt,0.5828143601923546,"[0.5624738396550502, 0.5647080344032195, 0.621261206518794]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,rna_noise,0.589241105004675,"[0.5589430815648092, 0.5830202486350868, 0.6257599848141291]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,rna_oracle,0.6031341702548222,"[0.5941301475933278, 0.5737425371954088, 0.64152982597573]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,apt_oracle,0.46979495657063164,"[0.45671874710214133, 0.49597093015628174, 0.45669519245347195]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,prior_oracle,0.4961010168451507,"[0.4961010168451507, 0.4961010168451507, 0.4961010168451507]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,patient_shuffle_0,0.589395008725108,"[0.5719801903705155, 0.5736999991530436, 0.6225048366517647]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,patient_shuffle_1,0.5820263068470338,"[0.5509958577905828, 0.5759334558133878, 0.619149606937131]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,patient_shuffle_2,0.5902818771103863,"[0.5713806599036315, 0.5853997384479304, 0.6140652329795971]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,lineage_shuffle_0,0.5816055489072859,"[0.5418323994251862, 0.5797228369040583, 0.623261410392613]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,lineage_shuffle_1,0.6029913316810118,"[0.6127659019138907, 0.5773636155577879, 0.618844477571357]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,lineage_shuffle_2,0.5874645975431818,"[0.5675262775464779, 0.5679284464359926, 0.6269390686470748]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,Other,prior_expected_cm,0.48735202819889434,"[0.48735202819889434, 0.48735202819889434, 0.48735202819889434]","[38, 38, 38]","[1639, 1639, 1639]"
sgd,T,rna,0.3599516761220496,"[0.36660902443226184, 0.35730798780825135, 0.3559380161256357]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,apt,0.11858389393521677,"[0.13248272784743897, 0.11874157627321129, 0.104527377685]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,rna_apt,0.38823935108920554,"[0.3812823188627476, 0.39287382794715964, 0.39056190645770944]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,rna_noise,0.33720362465511666,"[0.3402816308870337, 0.33969792894498585, 0.3316313141333306]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,rna_oracle,0.37912875490780334,"[0.38584396404470345, 0.3811958356045514, 0.37034646507415514]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,apt_oracle,0.18412411570157383,"[0.19585666549454966, 0.1857418747661686, 0.17077380684400328]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,prior_oracle,0.0674855718080696,"[0.0674855718080696, 0.0674855718080696, 0.0674855718080696]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,patient_shuffle_0,0.38487662988844,"[0.39201705833673794, 0.38577448338409204, 0.3768383479444899]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,patient_shuffle_1,0.38249585437375816,"[0.3818429820879138, 0.38702647862206996, 0.3786181024112908]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,patient_shuffle_2,0.3879057395583005,"[0.4015345831443434, 0.38523409917148277, 0.3769485363590751]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,lineage_shuffle_0,0.37399038911453647,"[0.3876922573769166, 0.37352734503590507, 0.36075156493078764]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,lineage_shuffle_1,0.3746267459363763,"[0.38258156134655785, 0.3722605352585164, 0.36903814120405465]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,lineage_shuffle_2,0.37585037679909333,"[0.3784368122440253, 0.36671394867576795, 0.38240036947748685]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,T,prior_expected_cm,0.09791123130913389,"[0.0979112313091339, 0.0979112313091339, 0.0979112313091339]","[40, 40, 40]","[163120, 163120, 163120]"
sgd,all,rna,0.43182952645857015,"[0.4357643189059175, 0.4294549904237887, 0.43026927004600424]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,apt,0.08863994670767938,"[0.09427552911896901, 0.08425754712879438, 0.08738676387527476]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,rna_apt,0.4503119234246167,"[0.44235092825855465, 0.4508674744512565, 0.45771736756403897]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,rna_noise,0.41087170584105087,"[0.41252016467924413, 0.4102849032078603, 0.4098100496360483]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,rna_oracle,0.5422810088461018,"[0.5462206902511579, 0.5401493774115956, 0.5404729588755516]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,apt_oracle,0.28881389096077664,"[0.2962784896070101, 0.29223141522732776, 0.27793176804799197]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,prior_oracle,0.14797434913898955,"[0.14797434913898955, 0.14797434913898955, 0.14797434913898955]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,patient_shuffle_0,0.441858288106974,"[0.43376704781261544, 0.44682590319963505, 0.4449819133086713]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,patient_shuffle_1,0.44655907237801434,"[0.44308333943392736, 0.44907141269196815, 0.44752246500814746]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,patient_shuffle_2,0.4447118562855749,"[0.44625076834701255, 0.4393042379569296, 0.44858056255278245]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,lineage_shuffle_0,0.4387550442000032,"[0.4361990375005015, 0.44162477123600036, 0.438441323863508]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,lineage_shuffle_1,0.44483804349955564,"[0.4460342468360022, 0.44439175951539756, 0.4440881241472671]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,lineage_shuffle_2,0.44808869126377543,"[0.4436528181290062, 0.4484275704379795, 0.45218568522434066]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,all,prior_expected_cm,0.18210792041895751,"[0.18210792041895751, 0.18210792041895751, 0.18210792041895751]","[40, 40, 40]","[361792, 361792, 361792]"
sgd,rna_correct,rna,1.0,"[1.0, 1.0, 1.0]","[40, 40, 40]","[199050, 196040, 197474]"
sgd,rna_correct,apt,0.09855070849533361,"[0.10445894768757145, 0.09374230007657243, 0.09745087772185698]","[40, 40, 40]","[199050, 196040, 197474]"
sgd,rna_correct,rna_apt,0.6887721589127245,"[0.6633011370464552, 0.6985356647337193, 0.7044796749579989]","[40, 40, 40]","[199050, 196040, 197474]"
sgd,rna_correct,rna_noise,0.6388953844311853,"[0.6336535151770369, 0.6448850258385924, 0.6381476122779267]","[40, 40, 40]","[199050, 196040, 197474]"
sgd,rna_correct,rna_oracle,1.0,"[1.0, 1.0, 1.0]","[40, 40, 40]","[199050, 196040, 197474]"
sgd,rna_correct,apt_oracle,0.3106786603875094,"[0.31758652270600446, 0.3139069915054283, 0.3005424669510956]","[40, 40, 40]","[199050, 196040, 197474]"
sgd,rna_correct,prior_oracle,0.14448928338517786,"[0.14453375608907382, 0.14477762412049658, 0.14415646994596323]","[40, 40, 40]","[199050, 196040, 197474]"
sgd,rna_correct,patient_shuffle_0,0.694121304870554,"[0.6707957070847291, 0.7040232787550662, 0.7075449287718663]","[40, 40, 40]","[199050, 196040, 197474]"
