model,scope,method,mean,seed_values,patient_counts,cell_counts
mlp,B,rna_oracle,0.7502761730029479,"[0.7425754563652176, 0.7499546172961538, 0.7582984453474724]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,apt_oracle,0.40494686857497,"[0.4064728008083245, 0.4124231983774935, 0.3959446065390918]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,prior_oracle,0.17560702790928176,"[0.1756070279092818, 0.1756070279092818, 0.1756070279092818]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,patient_shuffle_0,0.702580914930823,"[0.7149907627569347, 0.6990959553510276, 0.6936560266845065]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,patient_shuffle_1,0.7049514238035209,"[0.7132315570657093, 0.6976771291826823, 0.7039455851621713]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,patient_shuffle_2,0.7039106536980896,"[0.7112383312341352, 0.6983992150289495, 0.7020944148311845]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,lineage_shuffle_0,0.7041436805810681,"[0.7092624014044141, 0.7059416180571433, 0.6972270222816472]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,lineage_shuffle_1,0.7050216348484234,"[0.7131607223093581, 0.6985669979043901, 0.7033371843315217]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,lineage_shuffle_2,0.702441722931953,"[0.710499719820129, 0.6964961205927468, 0.700329328382983]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,B,prior_expected_cm,0.19909091845523494,"[0.19909091845523494, 0.19909091845523494, 0.19909091845523494]","[40, 40, 40]","[32089, 32089, 32089]"
mlp,Myeloid,rna,0.7366919893889463,"[0.7360321742491842, 0.7388892946287778, 0.7351544992888768]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,apt,0.1623172516366763,"[0.16145106292201597, 0.1640271812778866, 0.16147351071012633]","[40, 40, 40]","[67995, 67995, 67995]"
