model,scope,metric,comparison,mean,seed_values,valid_bootstrap,low,high
sgd,B,sb_f1,rna_apt-minus-rna,0.024689434350132194,"[np.float64(0.025299311422235737), np.float64(0.0229884813708382), np.float64(0.025780510257322642)]",2000,0.0038839323338718864,0.03931000540767035
sgd,B,subject_accuracy,rna_apt-minus-rna,0.027620283664913203,"[np.float64(0.012649287519848396), np.float64(0.040013780992181225), np.float64(0.03019778248270999)]",2000,0.0033813589956065014,0.04669964926762669
sgd,B,sb_f1,rna_apt-minus-rna_noise,0.040795905178111845,"[np.float64(0.043621140892017574), np.float64(0.03188145808035847), np.float64(0.04688511656195948)]",2000,0.013179909777910722,0.05996621801191742
sgd,B,subject_accuracy,rna_apt-minus-rna_noise,0.019260394561139555,"[np.float64(0.006015112318596971), np.float64(0.02034279001224626), np.float64(0.03142328135257544)]",2000,-0.005069823402013599,0.03950584014133222
sgd,B,sb_f1,rna_apt-minus-patient_shuffle,0.018411987801523533,"[np.float64(0.010668173637472522), np.float64(0.024599385967874476), np.float64(0.0199684037992236)]",2000,-0.0035688898967065736,0.035793160341274596
sgd,B,subject_accuracy,rna_apt-minus-patient_shuffle,0.011287129146139607,"[np.float64(-0.007736747629549234), np.float64(0.027516446142517026), np.float64(0.01408168892545103)]",2000,-0.012899894917648338,0.031956508349000344
sgd,B,sb_f1,rna_apt-minus-lineage_shuffle,0.016736041761805653,"[np.float64(0.0204131769838517), np.float64(0.01622675876319757), np.float64(0.013568189538367692)]",2000,-0.0032840081299603326,0.03439926527507946
sgd,B,subject_accuracy,rna_apt-minus-lineage_shuffle,0.01075396765495181,"[np.float64(0.011062891008003395), np.float64(0.020512669162536468), np.float64(0.0006863427943155642)]",2000,-0.007190630779038507,0.028400451594494485
sgd,B,sb_f1,apt_oracle-minus-prior_oracle,0.1580565846523194,"[np.float64(0.17172878270954628), np.float64(0.1568605971772689), np.float64(0.14558037407014301)]",2000,0.09620096472533964,0.20364326592416024
sgd,B,subject_accuracy,apt_oracle-minus-prior_oracle,-0.15441254635643162,"[np.float64(-0.10601670879598779), np.float64(-0.14178699665807892), np.float64(-0.2154339336152281)]",2000,-0.2496955829849298,-0.0696278523572779
sgd,B,sb_f1,rna_oracle-minus-prior_oracle,0.3803870186312972,"[np.float64(0.38278631496515875), np.float64(0.38213285810260195), np.float64(0.37624188282613097)]",2000,0.303183870063517,0.42522835881501836
sgd,B,subject_accuracy,rna_oracle-minus-prior_oracle,0.038821161232761504,"[np.float64(0.04190753339373876), np.float64(0.041525517956594205), np.float64(0.033030432347951555)]",2000,-0.008462680794674627,0.08301870748477438
sgd,B,sb_f1,apt_oracle-minus-prior_expected_cm,0.13457269410636627,"[np.float64(0.14824489216359313), np.float64(0.13337670663131576), np.float64(0.12209648352418986)]",2000,0.07726710715746622,0.1787261919358683
sgd,B,subject_accuracy,apt_oracle-minus-prior_expected_cm,-0.005025639007419221,"[np.float64(0.0433701985530246), np.float64(0.007599910690933465), np.float64(-0.06604702626621572)]",2000,-0.09851861815110424,0.07634081594908
sgd,B,sb_f1,rna_oracle-minus-prior_expected_cm,0.3569031280853441,"[np.float64(0.35930242441920557), np.float64(0.35864896755664877), np.float64(0.3527579922801778)]",2000,0.2863694777024033,0.398419886579689
sgd,B,subject_accuracy,rna_oracle-minus-prior_expected_cm,0.18820806858177389,"[np.float64(0.19129444074275115), np.float64(0.1909124253056066), np.float64(0.18241733969696394)]",2000,0.1466306718776448,0.2280254924525198
sgd,Myeloid,sb_f1,rna_apt-minus-rna,0.010089394243077457,"[np.float64(0.00981216020241149), np.float64(0.015229518141936627), np.float64(0.005226504384884256)]",2000,-0.0051560514151867964,0.021127313992093357
sgd,Myeloid,subject_accuracy,rna_apt-minus-rna,0.0026764764823974385,"[np.float64(0.0021795061521991954), np.float64(0.0003933357232913659), np.float64(0.005456587571701754)]",2000,-0.008427233340756101,0.01299873102549139
sgd,Myeloid,sb_f1,rna_apt-minus-rna_noise,0.017532067201485108,"[np.float64(0.01700562947948525), np.float64(0.02178972814360569), np.float64(0.013800843981364386)]",2000,0.0038221264940453293,0.027966181940084947
sgd,Myeloid,subject_accuracy,rna_apt-minus-rna_noise,-0.003874462746673616,"[np.float64(-0.009343598844117174), np.float64(-0.002414979459288369), np.float64(0.00013519006338469364)]",2000,-0.016506481596611288,0.006798122155509769
sgd,Myeloid,sb_f1,rna_apt-minus-patient_shuffle,0.005664481606861986,"[np.float64(0.008787142205060938), np.float64(0.010648530513640009), np.float64(-0.0024422278981149903)]",2000,-0.00849686755545144,0.01483567779029427
