feature_set,n_features,accuracy,macro_f1,macro_auroc,log_loss
Recorded QC,6,0.55,0.5659438600615071,0.8594592192937781,1.313533136388538
Recorded QC + predicted lineage,11,0.575,0.5827320827320827,0.875221490111196,1.6445496059897657
Recorded QC + predicted subtype,33,0.6,0.5989843489843489,0.825440095545794,2.8621817733233117
