actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,0.28763798251748085,0,0.08230034168809652,13.564102564102564,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,3,success,fine,3200,0,0.5243926187977195
32,0.03455884009599686,0,0.0379906352609396,29.6,20,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,3,success,coarse,3200,0,0.2441424811258912
32,0.24551946390420198,0,0.07689385022968054,21.82051282051282,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,3,success,fine,3200,0,0.49524646159261465
8,0.02216361928731203,0,0.03889873903244734,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,3,success,coarse,3200,0,0.20393862295895815
8,0.17602364905178547,0,0.07833539042621851,7.256410256410256,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,3,success,fine,3200,0,0.3982279133051634
16,0.06374868471175432,0,0.03762153536081314,16.0,16,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,3,success,coarse,6400,0,0.2555983420461416
16,0.5756201557815075,0,0.08016234450042248,14.41025641025641,1,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,3,success,fine,6400,0,0.8138501355424523
32,0.055986084043979645,0,0.04103167075663805,32.0,32,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,3,success,coarse,6400,0,0.2719698203727603
32,0.646441631950438,0,0.08147439174354076,26.76923076923077,1,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,3,success,fine,6400,0,0.8997901622205973
8,0.035076881758868694,0,0.037381467409431934,8.0,8,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,3,success,coarse,6400,0,0.21820645779371262
8,0.5345657588914037,0,0.07724618725478649,7.358974358974359,1,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,3,success,fine,6400,0,0.7557277427986264
