total,model,task,n_seeds,p8_mean,p32_mean,delta_p32_minus_p8_mean,delta_ci_low,delta_ci_high,patient_bootstrap_ci_low,patient_bootstrap_ci_high,positive_seed_fraction,mean_class_donor_coverage_p8,mean_class_donor_coverage_p32
3200,logistic_regression,coarse,20,0.9798712053236791,0.9809349500154985,0.0010637446918192795,-0.0024120128776789567,0.007354483515027287,0.0005110680034550424,0.0016658451486014378,0.6,7.976000000000001,29.012
3200,logistic_regression,fine,20,0.5089628356097576,0.5082954344675371,-0.000667401142220761,-0.007324148257775273,0.006935847221355844,-0.0013884501353241875,0.0006020629287371363,0.45,7.1795546558704455,22.498987854251013
6400,logistic_regression,coarse,20,0.9820390297884852,0.9820491140065426,1.008421805740456e-05,-0.003658337810532658,0.0031360997465480762,-0.0003633446217429642,0.0004433750479760439,0.55,7.976000000000001,31.276
6400,logistic_regression,fine,20,0.5225810540352648,0.5197760324349415,-0.00280502160032321,-0.009745503262357267,0.0014143986957005999,-0.003720906473209373,-0.0017750793075339644,0.25,7.298717948717948,26.555580296896085
