condition,model,fine_sb_macro_f1,fine_sb_macro_f1_ci_low,fine_sb_macro_f1_ci_high,coarse_sb_macro_f1,coarse_sb_macro_f1_ci_low,coarse_sb_macro_f1_ci_high,cross_lineage_fraction_of_errors,cross_lineage_fraction_of_errors_ci_low,cross_lineage_fraction_of_errors_ci_high,within_lineage_fraction_of_errors,within_lineage_fraction_of_errors_ci_low,within_lineage_fraction_of_errors_ci_high,cross_lineage_error_rate,cross_lineage_error_rate_ci_low,cross_lineage_error_rate_ci_high,fine_outside_parent_given_coarse_correct,fine_outside_parent_given_coarse_correct_ci_low,fine_outside_parent_given_coarse_correct_ci_high,oracle_fine_sb_macro_f1,oracle_fine_sb_macro_f1_ci_low,oracle_fine_sb_macro_f1_ci_high,hierarchy_gap,hierarchy_gap_ci_low,hierarchy_gap_ci_high,correct_rate,correct_rate_ci_low,correct_rate_ci_high,within_lineage_error_rate,within_lineage_error_rate_ci_low,within_lineage_error_rate_ci_high
plain,Plain MLP,0.13601048390624015,0.12016192677211396,0.14907023461222177,0.3348251349754648,0.31043955675090446,0.3568631426684805,0.7437724991229633,0.7188163880385366,0.7684394989810139,0.2562275008770368,0.23156050101898604,0.28118361196146335,0.490920115399244,0.46678078423494557,0.5153339923666969,0.17556804001127443,0.145201323394156,0.20777076710372566,0.3783606536571578,0.33922936296120215,0.38996336824567623,0.2423501697509177,0.21167031644855905,0.2489114666690248,0.34042286985867004,0.318546504939358,0.3623069207691764,0.16865701474208591,0.15131741034675622,0.18575990906636988
parent,+ parent-mass,0.1359623321750345,0.1202442483745072,0.14866143360389455,0.33420152218080895,0.30920443108844226,0.355881853397485,0.7467283445130285,0.7226945001728926,0.7729857202657614,0.2532716554869714,0.2270142797342387,0.27730549982710734,0.4963376544136664,0.47236896324958966,0.5215300878578929,0.1787106487499701,0.14720603233457016,0.21036317685443115,0.37837992741694504,0.3395873491940781,0.39005118671973266,0.24241759524191056,0.20882199885494085,0.24902052964448368,0.33566923824981937,0.31399663420628476,0.3580962315994124,0.1679931073365142,0.15036333724089235,0.18596050942244202
parent_cons,+ parent-mass + consistency,0.1390016402821296,0.12166798675153344,0.1526217134516057,0.33709054224224483,0.31248329790851204,0.3585333755594711,0.7460378290100259,0.7222053032709019,0.7710696799875492,0.25396217098997415,0.2289303200124508,0.2777946967290981,0.4947273434630441,0.47163725899802766,0.518671027159637,0.17843495545929203,0.14581932396151823,0.21087283603961357,0.37971769769454083,0.34018598533812827,0.39220261961135383,0.24071605741241128,0.2082584025672861,0.24824319054720187,0.33713292561748115,0.3153570427566643,0.35926615857502414,0.16813973091947476,0.15048342643783635,0.1853739244124287
kd,+ KD,0.1400332552718113,0.12278629074082122,0.1518644200306586,0.33525250628232656,0.3111326868727623,0.35663664922491495,0.7433496426199101,0.7189585074431617,0.7689484504622339,0.25665035738008984,0.231051549537766,0.2810414925568383,0.4919943673274068,0.46761406138447675,0.5162395151543502,0.17232133497911462,0.14172184069607066,0.20720774599254435,0.3838215364499651,0.34293366448806284,0.3967163251450417,0.24378828117815377,0.21300675487013776,0.25276590511403024,0.33838290679790556,0.31640715637472355,0.36105498072412956,0.1696227258746876,0.15131382115872447,0.1875731465375835
parent_kd,+ parent-mass + KD,0.13896318891700468,0.12080410068810807,0.15324205973776164,0.33238008165110094,0.30716613132722675,0.35561904811899975,0.7439864366997551,0.7196328787621811,0.7699000492986502,0.25601356330024483,0.23009995070134973,0.2803671212378188,0.4924889720398063,0.4670885059544673,0.518381849289692,0.1783765053378408,0.1444440986164662,0.21714039509327793,0.3753268328549792,0.33517016371834063,0.3883230127523515,0.2363636439379745,0.20776361494353304,0.24566853861262908,0.33875738848245174,0.3168529079040969,0.36216508833014366,0.16875363947774194,0.1509865630197139,0.18637895256392947
full,Full HBM,0.13752866714176396,0.12040583943045735,0.15160666018395355,0.33648146312288046,0.3111988059160234,0.3587377075612891,0.7457600714878262,0.7211747323576227,0.7702015649332328,0.2542399285121738,0.22979843506676717,0.2788252676423772,0.4953793545993444,0.47024686054659454,0.5205483354226329,0.1797313553486921,0.14835440950406073,0.21356512327177862,0.3721337876762232,0.33362360567941374,0.3854980857738504,0.23460512053445923,0.20590779408202076,0.24415131760168937,0.33629893830948615,0.3142237986385893,0.35910291913406783,0.16832170709116945,0.15065336850242675,0.18590653443250782
