width,contrast,scope,true_subtype,rna_wrong_subtype,feature,difference,ci_low,ci_high,eligible_patients_min,eligible_patients_max
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-187,-0.026426719013230664,-0.1450170298099113,0.07467706432673796,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-188,-0.09080285313869212,-0.21486789435062267,0.003172603503748941,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-189,-0.06036238697706772,-0.2101701762262453,0.07449679802510298,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-190,-0.059508586387170326,-0.20981961544582012,0.06308145309469923,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-191,-0.05957842890182435,-0.1526924388961091,0.027008242846422125,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-192,-0.04233210817160335,-0.15857925213166355,0.07125779442264533,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-193,-0.06854131768302571,-0.23506957956063285,0.06554987366477447,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-194,-0.034900202864647734,-0.14753841496996878,0.05795443366867859,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-195,-0.05095463762645177,-0.15451651687877493,0.028707329338837576,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-196,-0.030250990866559937,-0.18338944294125906,0.1094215991617255,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-197,-0.05459941537630326,-0.17320277957303298,0.061089506556388826,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-198,-0.0382423793328954,-0.19284380429593057,0.08736199403739747,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-199,-0.05560055280719297,-0.1901836681643606,0.06640606592488732,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-200,-0.07306163017176721,-0.2249443499770201,0.05620269441752415,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-201,-0.0427485752865756,-0.15218989777894992,0.05219072512895326,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-202,-0.0762996309846775,-0.22226763263356752,0.06394100669269631,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-203,-0.052258940611004084,-0.17470304747336446,0.04513263709330589,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-204,-0.051633055709614455,-0.17849626575502048,0.07063384725238929,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-205,-0.058593257366989455,-0.16679754755992268,0.03953563213046218,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-206,-0.03059716774460571,-0.15120350326753423,0.08661153069681944,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-207,-0.04959997224348742,-0.16948348948729144,0.06919084237088106,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-208,-0.08305697822466004,-0.20873572580574964,0.04093651573450859,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-209,-0.07136510316016373,-0.20907672807392688,0.03746211660656469,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-210,-0.06668359190645202,-0.1886383168974661,0.053774179890852446,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-211,-0.08373118989442341,-0.24993232175911534,0.0589419649896508,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-212,-0.061164933203991495,-0.1667124056261229,0.021589238703338454,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-213,-0.0742052128631082,-0.19825175853788127,0.03118000919261475,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-214,-0.050404206767270754,-0.20133714475110495,0.0693460324823238,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-215,-0.08931837573344181,-0.22404730580331064,0.0018125523359788234,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-216,-0.0743567413896606,-0.2012668600355805,0.04210100140273845,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-217,-0.0487985292895875,-0.16669945382724977,0.03056274857769583,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-218,-0.0210445171525498,-0.11574075220246595,0.0696007306582668,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-219,-0.08237340071699256,-0.22301065467246467,0.03896104007634864,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-220,-0.04702669887743525,-0.16014960374379128,0.06286103353033966,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-221,-0.06587055679776443,-0.19874207743512792,0.041160614031584726,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-222,-0.03310732947859607,-0.11411170536623247,0.04981813413175385,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-223,-0.09754505054166823,-0.233715028613117,0.02312092568470455,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-224,-0.06501624173535024,-0.19361777419816614,0.06503984879838351,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-225,-0.06576592026305512,-0.19351700524686294,0.038991192395013634,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-226,-0.013648140332080866,-0.100249749083231,0.08717847631320993,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-227,-0.05152386975632803,-0.16528259641765602,0.04251497502386968,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-228,-0.0829829523257425,-0.2224274535387089,0.05815523854681049,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-229,-0.026750819096315177,-0.1383080102054798,0.06155746641945464,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-230,-0.0831334954254526,-0.2132544298953332,0.041987293651465814,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-231,-0.04964453602412761,-0.21677603548622304,0.07628898436246202,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-232,-0.028740858216545335,-0.1383956119647637,0.09253080251138204,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-233,-0.0466465275490183,-0.17874604242633213,0.06725771189518624,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-234,-0.1008799070514922,-0.26705334567032424,0.03740150604899032,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-235,-0.026705670464043856,-0.15781701643012044,0.09478678227516223,8,8
