width,model,true_subtype,predicted_subtype,delta_rna_minus_paired,ci_low,ci_high,true_class_patients,rna_cells_mean,rna_patient_rate,paired_cells_mean,paired_patient_rate,rescued_cells_mean,rescued_patient_rate,harmed_cells_mean,harmed_patient_rate,rerouted_out_cells_mean,rerouted_out_patient_rate,rerouted_in_cells_mean,rerouted_in_patient_rate,delta_seed_20260912,delta_seed_20260913,delta_seed_20260914,rescue_patients_union,harm_patients_union
2000,sgd,Atypical Memory B,Atypical Memory B,-0.0008554727708166664,-0.01752675289355554,0.019147328724071943,34,171.66666666666666,0.08346697650360074,168.0,0.08432244927441741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00471765905351284,0.006698134000038309,-0.004546893258975469,0,0
2000,sgd,Atypical Memory B,CD14 Monocyte-1,0.03177705830008222,-0.011959449306298147,0.10454707902665207,34,100.33333333333333,0.2167339890937033,80.0,0.18495693079362108,6.333333333333333,0.001921285941747156,4.0,0.003853522803065248,37.333333333333336,0.05412300479843035,19.333333333333332,0.02041370963703003,0.08105699652242264,0.01786795653471001,-0.0035937781568859783,4,7
2000,sgd,Atypical Memory B,CD14 Monocyte-2,-0.012404013189823699,-0.0588235294117647,0.012214851165232785,34,5.666666666666667,0.03231303177707571,6.666666666666667,0.0447170449668994,0.0,0.0,0.3333333333333333,0.0008912655971479501,1.0,0.008746635909265667,1.6666666666666667,0.020259383501941414,-0.029411764705882353,0.006905607489352436,-0.014705882352941176,0,1
2000,sgd,Atypical Memory B,CD14 Monocyte-3,0.0072225130027865,-0.004102951564805124,0.019781657420496992,34,54.666666666666664,0.01867023371131987,39.0,0.01144772070853337,6.0,0.0014580531091723831,6.333333333333333,0.001500300828220019,32.666666666666664,0.011771104592436294,16.666666666666668,0.004506343870602162,0.011715874955956732,-0.0010474711729403115,0.010999135225343078,4,5
2000,sgd,Atypical Memory B,CD16 Monocyte-1,0.010026248404527113,-0.019679390982979873,0.061926017816316646,34,69.33333333333333,0.19818221883172973,72.0,0.18815597042720258,3.0,0.002758996318834047,4.333333333333333,0.004511385291737707,10.333333333333334,0.022409662245769294,11.666666666666666,0.010631024868338524,0.033918447693753594,-0.00917359112132412,0.00533388864115186,3,4
2000,sgd,Atypical Memory B,CD16 Monocyte-2,0.00702726141783751,-0.03658640245145766,0.032479482540500294,34,82.0,0.08878637139450962,64.66666666666667,0.08175910997667211,7.333333333333333,0.005286915178814949,5.0,0.0011305516484328385,24.0,0.016974794739576363,9.0,0.014103896852120962,0.009900542902031632,0.0233744916499182,-0.012193250298437295,6,3
2000,sgd,Atypical Memory B,CD16 NK,-0.015052885720610034,-0.03773631891025273,0.004160536826616341,34,1.6666666666666667,0.00724881455850314,24.666666666666668,0.022301700279113174,0.3333333333333333,0.0012254901960784314,1.0,0.000224517287831163,0.3333333333333333,0.0010893246187363833,22.666666666666668,0.017143183247593688,-0.02815881110043171,0.004131288085798553,-0.021131134147196945,1,1
2000,sgd,Atypical Memory B,CD4 + Tcm-1,-0.08005200941930922,-0.14158425060369306,-0.031226720322418893,34,12.333333333333334,0.029880816196964297,108.66666666666667,0.1099328256162735,0.0,0.0,8.0,0.0021277173036315217,5.666666666666667,0.015525001963984028,94.0,0.09344929407966172,-0.0960453919999745,-0.07831791107679933,-0.06579272518115381,0,4
2000,sgd,Atypical Memory B,CD4 + Tcm-2,0.0006709956422815375,-0.0077099000104265784,0.008267800945959951,34,24.333333333333332,0.010253843908657892,33.666666666666664,0.009582848266376355,1.6666666666666667,0.0003804967492046624,3.6666666666666665,0.0008142268558689043,11.333333333333334,0.005314390939747444,18.666666666666668,0.004209665190801664,0.0002802779442916939,-3.4650974896881195e-05,0.0017673599574497998,3,2
2000,sgd,Atypical Memory B,CD4 Monocyte-4,0.00048328052814527577,-0.0010884353741496598,0.0021864451654967677,34,3.0,0.0009840747155520392,1.3333333333333333,0.0005007941874067634,0.0,0.0,0.3333333333333333,0.00013616557734204792,3.0,0.0009840747155520392,1.0,0.0003646286100647156,0.0007996323913438324,-0.0006158188466226185,0.0012660280397146135,0,1
2000,sgd,Atypical Memory B,CD56 NK,0.03786525794641082,0.006757295002329495,0.10197330600065654,34,39.0,0.04100746198581209,11.0,0.0031422040394012787,0.6666666666666666,0.00021489511835268455,0.6666666666666666,0.00014967819188744198,30.333333333333332,0.038454348544482105,2.3333333333333335,0.0006543075245365322,0.020329081550828052,0.03762308447233368,0.0556436078160707,2,1
2000,sgd,Atypical Memory B,CD8 + CTL-1,0.009533496628361232,0.0025830281244961016,0.019052446050221692,34,16.666666666666668,0.009533496628361232,0.0,0.0,1.3333333333333333,0.0004704794539174893,0.0,0.0,15.333333333333334,0.009063017174443742,0.0,0.0,0.008431564681508753,0.010183221895569375,0.009985703308005568,2,0
2000,sgd,Atypical Memory B,CD8 + CTL-2,0.0013100067613252197,0.0,0.006946439974457205,34,0.6666666666666666,0.0013100067613252197,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0013100067613252197,0.0,0.0,0.0,0.0002535496957403651,0.003676470588235294,0,0
2000,sgd,Atypical Memory B,CD8 + CTL-3,0.013035944714033484,0.0028942235394251717,0.02709953562194268,34,32.666666666666664,0.013035944714033484,0.0,0.0,2.0,0.0005176308008446449,0.0,0.0,30.666666666666668,0.012518313913188838,0.0,0.0,0.012292022370708276,0.012330374613816785,0.01448543715757539,3,0
2000,sgd,Atypical Memory B,CD8 Tem-1,0.015282583621683969,-0.014296218487394957,0.05555555555555555,34,2.0,0.025086505190311418,0.6666666666666666,0.00980392156862745,0.0,0.0,0.0,0.0,1.6666666666666667,0.020184544405997693,0.3333333333333333,0.004901960784313725,0.0017301038062283742,0.014705882352941176,0.029411764705882353,0,0
2000,sgd,Atypical Memory B,CD8 Tem-2,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2000,sgd,Atypical Memory B,Cycling T,-0.0015586420493700365,-0.0043199835242464305,0.0,34,1.0,0.007352941176470587,4.0,0.008911583225840626,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0015586420493700365,0.0,-0.002117157542628702,-0.002558768605481408,0,0
2000,sgd,Atypical Memory B,Erythrocyte,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2000,sgd,Atypical Memory B,GCB,0.0023804364750655295,-0.004107941792371435,0.008274537492248641,34,28.666666666666668,0.00865224089090026,19.666666666666668,0.006271804415834729,5.0,0.0013043797475014794,2.0,0.0005194273716746227,13.0,0.003957320769134725,7.0,0.0023618366698960522,0.002539907435560102,0.0060107444965142665,-0.0014093425068777807,5,3
2000,sgd,Atypical Memory B,Memory B-1,-0.025125216317313914,-0.08880782555559752,0.035620218492110306,34,53.333333333333336,0.13595284397848484,59.666666666666664,0.16107806029579877,1.0,0.00035684771993088426,3.0,0.003341687552213868,13.333333333333334,0.021090410817482346,17.666666666666668,0.04323078730251328,-0.036937981518376156,-0.045457915359066875,0.0070202479255012905,2,3
2000,sgd,Atypical Memory B,Memory B-2,0.0018987944897956948,0.0004339995941558441,0.00392237278932587,34,9.666666666666666,0.005203445107878884,3.3333333333333335,0.0033046506180831902,0.0,0.0,0.0,0.0,6.333333333333333,0.0018987944897956948,0.0,0.0,0.001784391576578857,0.0013608473095349561,0.0025511445832732712,0,0
2000,sgd,Atypical Memory B,Naive T,0.01919044880322041,0.0072338656998890225,0.03226041474237213,34,41.0,0.023342063971666147,7.333333333333333,0.004151615168445733,5.666666666666667,0.005462360819802188,0.3333333333333333,7.483909594372099e-05,32.0,0.015055984922729158,3.6666666666666665,0.0012530578433672156,0.02100639547888096,0.016675898411742874,0.0198890525190374,7,1
2000,sgd,Atypical Memory B,Plasma,-0.010762604769103104,-0.034435354634511715,-0.00014712855270130975,34,0.3333333333333333,7.483909594372099e-05,4.666666666666667,0.010837443865046823,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.010762604769103104,-0.022728999193088247,-0.000224517287831163,-0.009334297826389903,0,0
2000,sgd,Atypical Memory B,Tcm,0.00211732275607444,-0.0005163021527525343,0.009009009009009009,34,1.0,0.0022534883334164877,0.3333333333333333,0.00013616557734204792,0.0,0.0,0.0,0.0,1.0,0.0022534883334164877,0.3333333333333333,0.00013616557734204792,0.003492491144040313,-0.00040849673202614375,0.00326797385620915,0,0
2000,sgd,Atypical Memory B,cDC2,-0.010739269372527782,-0.05095941483160405,0.02470779056402619,34,27.333333333333332,0.039622118282768216,59.0,0.050361387655296,0.6666666666666666,0.00016903313049357674,5.333333333333333,0.0012560500864718938,5.333333333333333,0.014788572555112551,32.333333333333336,0.024440824971662015,0.013710182830623734,-0.021949041089953252,-0.023978949858253818,1,4
2000,sgd,Atypical Memory B,pDC,-0.0031353703054144526,-0.010358784549278924,0.0016109540824415978,34,2.6666666666666665,0.0010522331910110322,12.333333333333334,0.004187603496425485,0.0,0.0,0.3333333333333333,0.00014005602240896358,1.6666666666666667,0.0006398460139179727,11.0,0.003635160296923462,-0.004987305713491735,0.001633986928104575,-0.006052792130856198,0,1
2000,sgd,Atypical Memory B,platelet,-0.00013616557734204792,-0.0007716049382716049,0.0,34,0.0,0.0,0.3333333333333333,0.00013616557734204792,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.00013616557734204792,0.0,-0.00040849673202614375,0.0,0,0
2000,sgd,CD14 Monocyte-1,Atypical Memory B,0.002098048773683257,0.00039975946673347903,0.003892444826398058,40,311.3333333333333,0.009254481084866813,234.0,0.007156432311183555,95.0,0.0024955491642571484,48.0,0.001427990597545938,76.0,0.002484341532664447,45.666666666666664,0.0014538513256923998,0.001816269800272213,0.0024978971680792153,0.0019799793526983434,33,27
2000,sgd,CD14 Monocyte-1,CD14 Monocyte-1,-0.005366236481024876,-0.0330348153859545,0.027952578926142065,40,19456.0,0.616397375876772,19744.0,0.6217636123577969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01816133449294119,-0.011740657751329795,-0.022519386184686026,0,0
2000,sgd,CD14 Monocyte-1,CD14 Monocyte-2,0.005966721797472128,-0.0023225620700301985,0.014087388476954413,40,1602.0,0.06281917047232806,1394.0,0.05685244867485593,494.3333333333333,0.017556351452334685,315.3333333333333,0.011684331078562094,170.33333333333334,0.006816515820633556,141.33333333333334,0.0067218143969340225,0.007065466274744886,0.0069837836384618575,0.0038509154792096406,31,36
2000,sgd,CD14 Monocyte-1,CD14 Monocyte-3,0.007922437636524898,-0.011012114940886332,0.02389544987062981,40,2744.0,0.07218098854788789,2478.6666666666665,0.064258550911363,658.6666666666666,0.01724562517270015,481.3333333333333,0.01232543789221615,367.3333333333333,0.010485830462897172,279.3333333333333,0.007483580106856273,0.01348503898051634,-0.0076310774937374,0.017913351422795758,36,33
2000,sgd,CD14 Monocyte-1,CD16 Monocyte-1,0.00013273408908862764,-0.005738483032890569,0.00805784086506886,40,1137.3333333333333,0.06153236112815617,1183.0,0.061399627039067546,233.66666666666666,0.008662646476172407,257.0,0.008265105367874523,170.0,0.008368111995634718,192.33333333333334,0.008632919014843976,-0.003699344137202186,0.000250290010317707,0.003847256394150361,36,36
2000,sgd,CD14 Monocyte-1,CD16 Monocyte-2,-0.001697507973323211,-0.011637879888525186,0.006179658349167588,40,1517.0,0.050442923278629904,1517.3333333333333,0.05214043125195311,224.66666666666666,0.006606197062310126,194.0,0.007440903919119927,245.66666666666666,0.009195603853553015,276.6666666666667,0.010058404970066421,-0.007735257231805103,-3.393685028914364e-05,0.0026766701621246166,36,36
2000,sgd,CD14 Monocyte-1,CD16 NK,-0.0037146607515985267,-0.009684020222805723,0.0027902094890025837,40,147.66666666666666,0.008012660955860859,250.33333333333334,0.011727321707459387,19.333333333333332,0.000774389123332204,54.333333333333336,0.0024212912815130545,54.666666666666664,0.003470416859920224,122.33333333333333,0.005538175453337901,-0.006533840507447997,0.0031182802018082764,-0.00772842194915586,20,32
2000,sgd,CD14 Monocyte-1,CD4 + Tcm-1,-0.01778842927704871,-0.034911535045565885,-0.005951260886196413,40,317.3333333333333,0.017258764518587846,739.3333333333334,0.035047193795636554,66.33333333333333,0.003110053591935341,276.6666666666667,0.011845088330341811,94.66666666666667,0.005147638940095641,306.3333333333333,0.01420103347873788,-0.024860139949250085,-0.009629571425429318,-0.018875576456466717,28,34
2000,sgd,CD14 Monocyte-1,CD4 + Tcm-2,0.0012136058833141488,-0.00047665314184381843,0.003024905107810721,40,88.33333333333333,0.004077765492004836,64.33333333333333,0.0028641596086906875,23.0,0.0009729077031533457,9.0,0.0003056516364071722,42.666666666666664,0.0018149806318776467,32.666666666666664,0.0012686308153096715,0.00028230272445715676,0.002758889342709272,0.0005996255827760177,22,14
2000,sgd,CD14 Monocyte-1,CD4 Monocyte-4,0.005143082666688556,-0.0009791846486625177,0.011085820216421446,40,976.6666666666666,0.027344515561977114,783.3333333333334,0.022201432895288555,261.6666666666667,0.00754828963132428,156.66666666666666,0.004838488234280553,197.66666666666666,0.005610945575247719,109.33333333333333,0.00317766430560289,0.000644932241879159,0.0064945673380301825,0.008289748420156326,37,36
