model,task,design,mean,min,max
logistic_regression,coarse,matched_cell_doubling,0.01678085553415149,0.003270527600567924,0.03212507863080636
logistic_regression,coarse,matched_patient_doubling,0.019103897440730884,0.003421507098766313,0.035103385460548184
logistic_regression,fine,matched_cell_doubling,0.04765162917165953,0.03822081499967385,0.06321460310545454
logistic_regression,fine,matched_patient_doubling,0.05205737105731171,0.04288481899721178,0.06921728134573431
xgboost,coarse,matched_cell_doubling,0.028692848947687977,0.015716928047211042,0.038112002940503924
xgboost,coarse,matched_patient_doubling,0.028730029308366354,0.017113867002650378,0.03568263682271641
xgboost,fine,matched_cell_doubling,0.05804564805778732,0.048455472347947906,0.06763464439115544
xgboost,fine,matched_patient_doubling,0.06191529998958379,0.05225986936553826,0.07240729876498724
