model,task,metric,total_training_cells,patient_budget,cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,coarse,macro_f1,3200,8,400,20,0.9144415599556138,0.006480038180696339,0.9029469657289413,0.927366440299642,1.0,0.9117693354743096,0.9170756941003491
logistic_regression,coarse,patient_balanced_macro_f1,3200,8,400,20,0.9146094791898556,0.006506182392651703,0.9030458575149788,0.9277271293526469,1.0,0.911957046175238,0.9171496812668886
logistic_regression,coarse,mean_patient_macro_f1,3200,8,400,20,0.8868635925962185,0.006564641582495742,0.8748076882921624,0.8992570306114729,1.0,0.8856390409734998,0.8934166668782249
logistic_regression,coarse,macro_f1,3200,16,200,20,0.917208676373835,0.007357362459995157,0.9029527933106433,0.9269917266318042,1.0,0.9148695341815376,0.9199755130800883
logistic_regression,coarse,patient_balanced_macro_f1,3200,16,200,20,0.9174060090649894,0.007311370920533598,0.9033851860120223,0.9271757934613246,1.0,0.9147864021336747,0.9199464497480546
logistic_regression,coarse,mean_patient_macro_f1,3200,16,200,20,0.8896538300552749,0.007132140066604005,0.8746373684893958,0.8997289383069019,1.0,0.8886390855897459,0.8965003494078932
logistic_regression,coarse,macro_f1,3200,32,100,20,0.9186922390945276,0.005950972579947184,0.9083055791441987,0.9289309691709905,1.0,0.9163434633198893,0.9211729427537837
logistic_regression,coarse,patient_balanced_macro_f1,3200,32,100,20,0.9189415213927268,0.005828667829499462,0.9084575495770364,0.9288564117755158,1.0,0.9164979706081802,0.9215625597459902
logistic_regression,coarse,mean_patient_macro_f1,3200,32,100,20,0.8909192095087534,0.006376049728122868,0.8801151688714712,0.9014282828927277,1.0,0.8897255775848409,0.8976819488367312
logistic_regression,coarse,macro_f1,6400,8,800,20,0.929363895031544,0.0056930186240862195,0.917748516251999,0.936440338974624,1.0,0.9270613210208793,0.9317627701952268
logistic_regression,coarse,patient_balanced_macro_f1,6400,8,800,20,0.9294399166700525,0.0057300503382287545,0.9175039970108971,0.9365045658436477,1.0,0.9271116689617909,0.9317273879310064
logistic_regression,coarse,mean_patient_macro_f1,6400,8,800,20,0.9024513191184778,0.006801073295739569,0.8874265526646203,0.9105980698866153,1.0,0.9001490143287534,0.9081323539593498
logistic_regression,coarse,macro_f1,6400,16,400,20,0.9321839464915493,0.004000436434341227,0.9263757856101077,0.9384874609014265,1.0,0.9298665988541017,0.9344146881023878
logistic_regression,coarse,patient_balanced_macro_f1,6400,16,400,20,0.9322671550447229,0.003898312121290865,0.9264346372648491,0.9384595427709138,1.0,0.9299458643008474,0.9345740441118424
logistic_regression,coarse,mean_patient_macro_f1,6400,16,400,20,0.9063012287369135,0.003835541994704846,0.9005815744436463,0.9126983374868132,1.0,0.9034309173458707,0.9114430654384291
logistic_regression,coarse,macro_f1,6400,32,200,20,0.9344590652201903,0.0030131919570886446,0.929722076354111,0.9389282606759216,1.0,0.9322752804991559,0.9366502652810702
logistic_regression,coarse,patient_balanced_macro_f1,6400,32,200,20,0.9346150086937085,0.003014302394235495,0.9301484619450727,0.9391139870853775,1.0,0.9324699472479526,0.9368568878703961
logistic_regression,coarse,mean_patient_macro_f1,6400,32,200,20,0.9082573732315835,0.0038237676857700627,0.9022011245893655,0.9139148262850225,1.0,0.9054484287949701,0.9135076754086743
logistic_regression,fine,macro_f1,3200,8,400,20,0.5000425180324506,0.010020965786817137,0.48210161530418705,0.5169059758352689,1.0,0.49938324779860876,0.5049219154735826
logistic_regression,fine,patient_balanced_macro_f1,3200,8,400,20,0.49963717442971883,0.009755370462247177,0.4820969282090885,0.5161747207537163,1.0,0.49875069238809494,0.5044849035527694
logistic_regression,fine,mean_patient_macro_f1,3200,8,400,20,0.39822514566073314,0.006420793472531373,0.38412955720055264,0.4073966288940639,1.0,0.4071646196178926,0.4131104583499295
logistic_regression,fine,macro_f1,3200,16,200,20,0.5053171024670338,0.008304398744326683,0.49195726175334087,0.5186254766670136,1.0,0.5050932167755192,0.5105982458759836
logistic_regression,fine,patient_balanced_macro_f1,3200,16,200,20,0.5047289996888134,0.008101515192700293,0.4914467169424667,0.5176912409911278,1.0,0.5043844038257269,0.509980838227918
logistic_regression,fine,mean_patient_macro_f1,3200,16,200,20,0.4030299647794138,0.0038970282841231142,0.3958347069579466,0.40900182757428055,1.0,0.41103363531855064,0.4173093160211342
logistic_regression,fine,macro_f1,3200,32,100,20,0.5072181244794677,0.008901684678800191,0.4940021893583601,0.5235970122409076,1.0,0.5070557938305722,0.5128017631910622
logistic_regression,fine,patient_balanced_macro_f1,3200,32,100,20,0.5068034544569333,0.008881101751898483,0.4941333219635122,0.5230238296439833,1.0,0.5068343688253406,0.5123488983233006
logistic_regression,fine,mean_patient_macro_f1,3200,32,100,20,0.4046973089087434,0.004876081241154909,0.3964856235030122,0.41293327704365124,1.0,0.4130478800059166,0.41924106681222356
logistic_regression,fine,macro_f1,6400,8,800,20,0.5455372566206209,0.009455297639515541,0.5270022880992795,0.5612971567962262,1.0,0.5440962047434674,0.5495712431189581
logistic_regression,fine,patient_balanced_macro_f1,6400,8,800,20,0.5450249920713126,0.009247811904298232,0.5264076182836209,0.5604922104270044,1.0,0.5434959029484276,0.5493175378616334
logistic_regression,fine,mean_patient_macro_f1,6400,8,800,20,0.43181692891494405,0.004961677462397972,0.4208265035117824,0.4393995730383406,1.0,0.43724397593992986,0.4438231724619992
logistic_regression,fine,macro_f1,6400,16,400,20,0.5481115256816885,0.007466091576007335,0.5339083591644394,0.5597587113093139,1.0,0.5467998083580746,0.5524297226847252
logistic_regression,fine,patient_balanced_macro_f1,6400,16,400,20,0.5475202116207403,0.007119453653682673,0.5340164637651728,0.5587414708649734,1.0,0.5459756901881094,0.55174456229838
