model,task,metric,term,estimate,cluster_seed_bootstrap_q025,cluster_seed_bootstrap_q975,standardized_estimate,standardized_bootstrap_q025,standardized_bootstrap_q975,n_subset_seeds,outer_fold_adjustment,interpretation
logistic_regression,coarse,macro_f1,intercept,0.8636001128060765,0.857658746760494,0.8696272061675461,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_patient_budget,0.03243872152931343,0.028934689743422008,0.03576043818940984,0.7936143277272473,0.7078880814699096,0.8748802287807345,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_cells_per_patient,0.025814658158362303,0.02322578491749367,0.0284104279567814,0.8647942330131212,0.7780666600593829,0.9517528414956159,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,interaction,-0.008295233385068141,-0.00947265124066987,-0.0071178023822416996,-0.47050431855398694,-0.5372872720993787,-0.4037206193001001,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,intercept,0.8626251979814336,0.8564186722013793,0.8686943925034522,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_patient_budget,0.030496366249504806,0.027555376596021995,0.03339776863457545,0.9306020870948,0.8408572602107197,1.0191389013814007,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_cells_per_patient,0.024281868559910214,0.022100592511995063,0.026597347628805466,1.014608899717286,0.9234650865673871,1.1113603364781686,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,interaction,-0.0076171466559790055,-0.008636528196740413,-0.0065825044535191895,-0.5388867173771124,-0.6110044272054437,-0.46568936864210425,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,intercept,0.8317855045963352,0.8264096046226228,0.837926753840782,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_patient_budget,0.03200905140934124,0.028954076478837916,0.034783380906993545,0.9168657106711668,0.8293591574491271,0.9963334697737887,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_cells_per_patient,0.025680941945975068,0.02343727606165615,0.027795482411884842,1.0072667828567243,0.9192649439110346,1.0902040200031646,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,interaction,-0.007668633634338101,-0.008681258564293848,-0.0065891307015493745,-0.5092606868483831,-0.5765073558038456,-0.4375727654766795,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,macro_f1,intercept,0.36595193069481435,0.3598391812286952,0.372208771831602,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_patient_budget,0.06698386242542917,0.06447722160170606,0.06959184203556425,0.7063557952147926,0.6799228573660694,0.7338573671564187,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_cells_per_patient,0.05820460982999999,0.05628466228687367,0.06027009341836627,0.8404489612481147,0.8127257633264324,0.8702736356405325,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,interaction,-0.007003174188599402,-0.008126767968406534,-0.005951059978455855,-0.17121329656013295,-0.19868286819358008,-0.14549125432253107,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,intercept,0.3899747048401423,0.38556353310132946,0.3942697891709398,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_patient_budget,0.06051621793987656,0.05773267559844432,0.06330838891221378,0.720379727815359,0.687244684969891,0.7536174851230711,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_cells_per_patient,0.05313841887261323,0.05138641130436818,0.05496767729333533,0.8661616847628848,0.8376037814751269,0.8959787848794247,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,interaction,-0.00582074558558291,-0.006866616425099628,-0.004810812777060462,-0.16064142809945897,-0.18950545982826034,-0.13276921718418042,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,intercept,0.3125395803825828,0.3095756452477565,0.31561710545261207,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_patient_budget,0.04810743106172023,0.04669050708487054,0.04961382002551664,0.7709099823033811,0.7482041172465458,0.795049502202758,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_cells_per_patient,0.04142036791133733,0.04029189061766817,0.04261304479308272,0.9088790465887564,0.8841170896461589,0.9350497225588387,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,interaction,-0.006382308668998176,-0.0070052695109343015,-0.005789029963423661,-0.23711473417212517,-0.2602588975299457,-0.21507331783549333,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,macro_f1,intercept,0.8068516199463952,0.8007577571110839,0.8130499254883216,,,,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,macro_f1,log2_patient_budget,0.03275359327267621,0.029526837805653842,0.036266753506747004,0.5747360238566822,0.5181152863505674,0.6363823820834503,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,macro_f1,log2_cells_per_patient,0.031646114000860925,0.030264288529765215,0.033119531221673264,0.7603796610106743,0.7271777334925251,0.795782316984741,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,macro_f1,interaction,-0.002400917452172447,-0.0034329985504043224,-0.0013423996856054968,-0.09767331553466983,-0.13966009132896318,-0.054611052098916466,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,intercept,0.8002733866718661,0.7944131136576904,0.8060420993264134,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,log2_patient_budget,0.03282102920823085,0.029522784200808585,0.03637800107268683,0.6458125596561273,0.5809136792126632,0.7158023546084765,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,log2_cells_per_patient,0.03159270603363425,0.03003840393722878,0.033344464244936325,0.8512198717960936,0.8093414448634302,0.8984184687904383,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,interaction,-0.002658938747263474,-0.0037845834768041532,-0.0014979453085138348,-0.12129750234317616,-0.1726480249377889,-0.06833441528369373,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,intercept,0.7862151279211764,0.7821291321747632,0.7903304138233973,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,log2_patient_budget,0.026572671773662754,0.02410505461016692,0.029318534779552884,0.5895489565653714,0.5348016907904763,0.6504694648146947,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,log2_cells_per_patient,0.026510776235556643,0.025441547462882724,0.027711408973754858,0.8053927799581702,0.7729097954546789,0.8418677941235163,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,interaction,-0.0006276330914788148,-0.00143629244587034,0.00022722270797980766,-0.032283433628897525,-0.07387827773498959,0.01168760747582744,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,macro_f1,intercept,0.29695965780001876,0.2908697883937332,0.30293540433634547,,,,20,fixed effects,descriptive response surface; not causal
xgboost,fine,macro_f1,log2_patient_budget,0.07393108639241829,0.071758996904369,0.07641684185720325,0.681467039905587,0.6614455920132322,0.7043797347025332,20,fixed effects,descriptive response surface; not causal
xgboost,fine,macro_f1,log2_cells_per_patient,0.06621707073404307,0.06467165449656694,0.06812022016224341,0.8357730601402863,0.8162672553128029,0.8597940716993719,20,fixed effects,descriptive response surface; not causal
