outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,3,8,100,fine,0,ASDC,0,0,False
0,3,8,100,fine,1,B intermediate,7,24,True
0,3,8,100,fine,2,B memory,7,30,True
0,3,8,100,fine,3,B naive,8,38,True
0,3,8,100,fine,4,CD14 Mono,7,16,True
0,3,8,100,fine,5,CD16 Mono,6,16,True
0,3,8,100,fine,6,CD4 CTL,4,5,True
0,3,8,100,fine,7,CD4 Naive,8,147,True
0,3,8,100,fine,8,CD4 Proliferating,0,0,False
0,3,8,100,fine,9,CD4 TCM,8,188,True
0,3,8,100,fine,10,CD4 TEM,7,20,True
0,3,8,100,fine,11,CD8 Naive,7,43,True
0,3,8,100,fine,12,CD8 Proliferating,0,0,False
0,3,8,100,fine,13,CD8 TCM,4,5,True
0,3,8,100,fine,14,CD8 TEM,8,101,True
0,3,8,100,fine,15,Eryth,1,1,True
0,3,8,100,fine,16,HSPC,2,2,True
0,3,8,100,fine,17,ILC,1,1,True
0,3,8,100,fine,18,MAIT,2,6,True
0,3,8,100,fine,19,NK,8,98,True
0,3,8,100,fine,20,NK Proliferating,0,0,False
0,3,8,100,fine,21,NK_CD56bright,4,11,True
0,3,8,100,fine,22,Plasmablast,2,4,True
0,3,8,100,fine,23,Platelet,1,1,True
0,3,8,100,fine,24,Treg,8,28,True
0,3,8,100,fine,25,cDC1,0,0,False
0,3,8,100,fine,26,cDC2,1,1,True
0,3,8,100,fine,27,dnT,2,2,True
0,3,8,100,fine,28,gdT,5,9,True
0,3,8,100,fine,29,pDC,2,3,True
0,4,8,100,coarse,0,B,8,84,True
0,4,8,100,coarse,1,Myeloid,7,50,True
0,4,8,100,coarse,2,NK,8,131,True
0,4,8,100,coarse,3,Other,5,6,True
0,4,8,100,coarse,4,T,8,529,True
0,4,8,100,fine,0,ASDC,0,0,False
0,4,8,100,fine,1,B intermediate,7,19,True
0,4,8,100,fine,2,B memory,7,21,True
0,4,8,100,fine,3,B naive,8,43,True
0,4,8,100,fine,4,CD14 Mono,6,33,True
0,4,8,100,fine,5,CD16 Mono,6,14,True
0,4,8,100,fine,6,CD4 CTL,6,15,True
0,4,8,100,fine,7,CD4 Naive,8,117,True
0,4,8,100,fine,8,CD4 Proliferating,0,0,False
0,4,8,100,fine,9,CD4 TCM,8,207,True
0,4,8,100,fine,10,CD4 TEM,7,30,True
0,4,8,100,fine,11,CD8 Naive,6,16,True
0,4,8,100,fine,12,CD8 Proliferating,1,1,True
0,4,8,100,fine,13,CD8 TCM,4,9,True
0,4,8,100,fine,14,CD8 TEM,8,90,True
0,4,8,100,fine,15,Eryth,1,1,True
0,4,8,100,fine,16,HSPC,3,4,True
0,4,8,100,fine,17,ILC,0,0,False
0,4,8,100,fine,18,MAIT,2,2,True
0,4,8,100,fine,19,NK,8,124,True
0,4,8,100,fine,20,NK Proliferating,2,3,True
0,4,8,100,fine,21,NK_CD56bright,3,4,True
0,4,8,100,fine,22,Plasmablast,1,1,True
0,4,8,100,fine,23,Platelet,1,1,True
0,4,8,100,fine,24,Treg,8,24,True
0,4,8,100,fine,25,cDC1,0,0,False
0,4,8,100,fine,26,cDC2,2,3,True
0,4,8,100,fine,27,dnT,1,1,True
0,4,8,100,fine,28,gdT,4,17,True
0,4,8,100,fine,29,pDC,0,0,False
0,5,8,100,coarse,0,B,8,58,True
