model,task,metric,effect_type,fixed_axis,fixed_value,n_paired_seeds,mean,std,median,q025,q975,min,max,fraction_positive
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.061964196764606,0.01488801004731524,0.06204576373409365,0.03621913273560227,0.08537433299002496,0.035391453323407096,0.08740128800967695,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.045605944259462516,0.012939038162213336,0.04603507411431962,0.022356387186156047,0.06949092787053979,0.021271320766073187,0.07176854466652882,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.028456422988570436,0.0071749686945183164,0.029148957934995556,0.015161370463542887,0.041778932127739,0.012836914087944407,0.04233882505432973,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.01680461551320811,0.006856317438061122,0.0166473681676112,0.005306662437541456,0.02908822168882931,0.0019970904872030903,0.031086468878187112,1.0
logistic_regression,coarse,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.038207794881461775,0.008402988581067168,0.03793777966498578,0.02148150284196296,0.052870509633720746,0.01844528225567424,0.05296637637528939,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.06179674829301464,0.014842096991223408,0.062128156121485034,0.03557174958547305,0.08526371343867581,0.03483127943681574,0.08755665360042919,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.04565956304669231,0.012769849047032817,0.04674509764824003,0.022325686489852368,0.06873902007508935,0.021482561141898504,0.07147509031036581,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.02830985077379799,0.007197727815328474,0.028796299464099562,0.014974970813274719,0.04161844782773491,0.012320745087663676,0.042141496878198126,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.016799008010784842,0.006859194688659841,0.01663973582017164,0.005163244432492211,0.029166834750179962,0.0019493992689586515,0.03147356133790269,1.0
logistic_regression,coarse,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.03814129253107244,0.00833213161010411,0.038245145357156965,0.021348909453969285,0.052465534145734946,0.018089746416967756,0.05255810902242947,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.1240177839393487,0.013985389966158945,0.12539777582718722,0.10248495632086504,0.1453204302331418,0.10237228993381203,0.148892066814713,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.1071934623449238,0.01317473603607673,0.1052321198433896,0.08695446542666123,0.12948596089090111,0.08320746067730789,0.13122884367358056,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.0962608228813587,0.011369044218949183,0.09712949439951263,0.07858238132722917,0.11374266528624638,0.07641369536348741,0.11925660636677116,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.08898689929286241,0.009302330571920116,0.08912776071492162,0.07521098956788844,0.1052227920273103,0.07386693222890994,0.11158063791691397,1.0
logistic_regression,fine,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.10411474211462342,0.00982145696341268,0.10434053987841128,0.08898936623197015,0.12076964188222353,0.08806403347113535,0.12410650944679444,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.12350438456059128,0.013995952687354653,0.12508756144410868,0.10151708881409784,0.14509706988444518,0.10125729606875211,0.14801013493269782,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.10670456485252922,0.01297694191564138,0.1043727381909215,0.08657569299737385,0.12900631397301737,0.08285950566825878,0.1306736420450756,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.09570636720702189,0.011121345898515878,0.09679986519707484,0.07785993391673626,0.11283232532576844,0.07590478555174973,0.11828451500138493,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.08836547987187429,0.008959085870280643,0.08878404912065219,0.07488465713044051,0.1036758157984816,0.07397232992649594,0.10991751316267306,1.0
logistic_regression,fine,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.10357019912300416,0.009595146324578382,0.10433684444419314,0.08871753619992287,0.11969306267840271,0.08782740778625273,0.12318758151023623,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.059861949374794,0.017339924300693865,0.058466271310876394,0.033221349282881105,0.0909783015850499,0.03258388103724408,0.09224814627810007,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.06740786523725624,0.013302299373683739,0.07095611387789852,0.03962342803521077,0.0843412900379978,0.03897570096108749,0.08674955472268431,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.05707665276232336,0.011831132760704712,0.057545049401627524,0.03299434620626451,0.07727179895915712,0.03151606647737781,0.08112291356362822,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.04549376709255725,0.008337922795862658,0.046630487002567944,0.029662306397492334,0.05797687356358956,0.02938929890000541,0.05842468849805116,1.0
xgboost,coarse,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.057460058616732715,0.010830033926651368,0.058016974434788385,0.03593405540259384,0.07364844547948744,0.035569591825749286,0.07392373563653312,1.0
