model,task,metric,effect_type,fixed_axis,fixed_value,n_paired_seeds,mean,std,median,q025,q975,min,max,fraction_positive
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.028463814983942654,0.004601690277190173,0.029369695290334535,0.018481998074424154,0.03434203767258006,0.018153815636287873,0.03456568953477468,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.03085473784989009,0.005123013576645319,0.03156877378992798,0.021700021712182434,0.03813888201017163,0.020626142267499703,0.038418659165369407,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.02771631573187504,0.005654384727946623,0.027440020132790788,0.016965775262302037,0.03728838991547646,0.01538818745983661,0.037611690952690346,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.019455619821217657,0.006763180383608007,0.0181992892247064,0.00717535814030669,0.031410060945597305,0.003905524695059226,0.03572370044109413,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.005861792125326693,0.0068815734187173735,0.006063254377667221,-0.0074571436121135615,0.018571574409070563,-0.011902072366326732,0.02016774025554746,0.9
logistic_regression,coarse,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.022470456102450426,0.005049302965152124,0.022011769176242896,0.011927873608384123,0.03003190207901673,0.00968647930465354,0.03223264547857827,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.02972553574296256,0.004617162637137479,0.029711451878748685,0.021515665685687562,0.037711042629518035,0.02058400851783937,0.039366568038314176,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.031958049426789044,0.004320222187424971,0.03240715189537874,0.02531751840329169,0.03939755987151276,0.025308258414132312,0.0402869157365382,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.028693114833955362,0.005492922331915693,0.028683244425541987,0.01855302591524518,0.037775274627776655,0.01827782778603737,0.038837018059581674,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.021568029190804118,0.005860700703162675,0.021303657841456186,0.010818636375445109,0.03184571638872181,0.010619527895649239,0.03528121685733687,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.010752671819846593,0.006174377306203724,0.01126686610450034,-0.0006168511564840827,0.022008138458588237,-0.002072620001871972,0.023033246918155503,0.95
logistic_regression,coarse,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.024539480202871538,0.004643344943000256,0.025119943632616003,0.015165296944041536,0.03262561875290514,0.015055449063921634,0.033888804540798304,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.01475431319951474,0.004042191385066117,0.01457447187018078,0.008363338477171547,0.0221043175974888,0.008325936671186543,0.022746731704026565,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.01432688889368775,0.0028076936354570446,0.014349129063677836,0.010282022155513968,0.01881486362971072,0.010215086521627892,0.019443429632139214,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.013105965581967808,0.002398476388667043,0.013039697211919644,0.008555258377967443,0.016532357365927754,0.008254475259392935,0.016901162476091053,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.011200891786152908,0.002824634943688384,0.011400350589813535,0.006423223050415734,0.016441684180395197,0.005837388157111073,0.017705669530760637,1.0
