model,task,metric,term,estimate,cluster_seed_bootstrap_q025,cluster_seed_bootstrap_q975,standardized_estimate,standardized_bootstrap_q025,standardized_bootstrap_q975,n_subset_seeds,outer_fold_adjustment,interpretation
logistic_regression,coarse,macro_f1,intercept,0.24901202903022615,0.24625659099524566,0.2521800663268161,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_patient_budget,0.017175475621840144,0.01620524673897091,0.01814122162955178,0.7532870790038025,0.7107344943049348,0.7956430524409295,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_cells_per_patient,0.0077519182854651056,0.007207813871732496,0.008256431656110048,0.5888728874195935,0.5475401068905167,0.6271981424562123,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,interaction,-0.002692508037305055,-0.0030029289217271353,-0.0023501003682090257,-0.35426643650613837,-0.3951100288065593,-0.3092141866772255,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,intercept,0.25254149319054614,0.250485779699837,0.25457892393371007,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_patient_budget,0.017103314909657462,0.016185414531629836,0.018000882394090974,0.9806788927389007,0.9280478366469342,1.0321440906518313,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_cells_per_patient,0.008060514389992484,0.007477656387154698,0.008588377500067332,0.8005158235670146,0.7426303051510179,0.8529396208394125,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,interaction,-0.002416787404110803,-0.0027039880145411912,-0.002101734468830382,-0.4157250932876916,-0.4651280736079172,-0.3615310790822083,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,intercept,0.23183758769839907,0.22996792086092974,0.233683296706207,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_patient_budget,0.013777143103999195,0.012831409288238041,0.014651306296059924,1.0491498048684527,0.9771307773550277,1.1157186236322991,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_cells_per_patient,0.004925673774312771,0.00439149697123617,0.005365520985043392,0.6496876441336393,0.5792306701960798,0.707702711962243,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,interaction,-0.0017645172705766264,-0.0019838531541535756,-0.0015135540231831085,-0.40311179236610556,-0.4532200472600992,-0.34577812600773705,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,macro_f1,intercept,0.06414950290840592,0.06306215298993349,0.0653198161181405,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_patient_budget,0.007653308278598844,0.0071050327017685355,0.008250436216035033,0.5495241612819355,0.5101567837320788,0.5923992444554711,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_cells_per_patient,0.0036970066821752708,0.0034035633828546122,0.004002772583189927,0.45977827624783546,0.4232841971355019,0.4978048558538985,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,interaction,-3.16659544960135e-05,-0.00026666209197355825,0.00021677461669456914,-0.006821052982122735,-0.05744075258821944,0.046694665270208484,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,intercept,0.07243508247999716,0.07093835877725649,0.07397523493875116,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_patient_budget,0.00658111909249352,0.0057852466687781335,0.0073729149724153014,0.7308487549900561,0.6424652503264257,0.8187795498767709,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_cells_per_patient,0.002384493467550918,0.0020505201475342814,0.002733579303439955,0.4586533035234766,0.3944140977555276,0.5257993762733455,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,interaction,0.000252682043933608,4.248993429877079e-06,0.0004820147477939386,0.08418280597346686,0.0014155821439526622,0.16058661453818365,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,intercept,0.04373294905787958,0.04330775361949751,0.04417851299837597,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_patient_budget,0.0036970776344308325,0.0034664380260632658,0.003911511315644092,0.8021047268651998,0.7520659831961224,0.8486274906011959,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_cells_per_patient,0.001538842274935644,0.0013791733800413188,0.0016924093437112925,0.5782654451676864,0.5182651409848806,0.6359728079267196,20,not applicable after pooled patient summary,descriptive response surface; not causal
