outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,3,8,100,fine,1,CD14 Monocyte-1,8,73,True
0,3,8,100,fine,2,CD14 Monocyte-2,2,8,True
0,3,8,100,fine,3,CD14 Monocyte-3,2,2,True
0,3,8,100,fine,4,CD16 Monocyte-1,8,50,True
0,3,8,100,fine,5,CD16 Monocyte-2,4,7,True
0,3,8,100,fine,6,CD16 NK,8,197,True
0,3,8,100,fine,7,CD4 + Tcm-1,8,221,True
0,3,8,100,fine,8,CD4 + Tcm-2,4,17,True
0,3,8,100,fine,9,CD4 Monocyte-4,1,1,True
0,3,8,100,fine,10,CD56 NK,5,41,True
0,3,8,100,fine,11,CD8 + CTL-1,2,5,True
0,3,8,100,fine,12,CD8 + CTL-2,1,4,True
0,3,8,100,fine,13,CD8 + CTL-3,1,4,True
0,3,8,100,fine,14,CD8 Tem-1,7,74,True
0,3,8,100,fine,15,CD8 Tem-2,5,9,True
0,3,8,100,fine,16,Cycling T,5,11,True
0,3,8,100,fine,17,Erythrocyte,0,0,False
0,3,8,100,fine,18,GCB,1,2,True
0,3,8,100,fine,19,Memory B-1,8,30,True
0,3,8,100,fine,20,Memory B-2,1,1,True
0,3,8,100,fine,21,Naive T,3,10,True
0,3,8,100,fine,22,Plasma,5,7,True
0,3,8,100,fine,23,Tcm,0,0,False
0,3,8,100,fine,24,cDC2,6,19,True
0,3,8,100,fine,25,pDC,3,5,True
0,3,8,100,fine,26,platelet,2,2,True
0,4,8,100,coarse,0,B,7,40,True
0,4,8,100,coarse,1,Myeloid,8,132,True
0,4,8,100,coarse,2,NK,8,227,True
0,4,8,100,coarse,3,Other,2,3,True
0,4,8,100,coarse,4,T,8,398,True
0,4,8,100,fine,0,Atypical Memory B,0,0,False
0,4,8,100,fine,1,CD14 Monocyte-1,6,34,True
0,4,8,100,fine,2,CD14 Monocyte-2,3,4,True
0,4,8,100,fine,3,CD14 Monocyte-3,1,5,True
0,4,8,100,fine,4,CD16 Monocyte-1,8,46,True
0,4,8,100,fine,5,CD16 Monocyte-2,5,11,True
0,4,8,100,fine,6,CD16 NK,8,198,True
0,4,8,100,fine,7,CD4 + Tcm-1,8,237,True
0,4,8,100,fine,8,CD4 + Tcm-2,3,11,True
0,4,8,100,fine,9,CD4 Monocyte-4,2,2,True
0,4,8,100,fine,10,CD56 NK,5,29,True
0,4,8,100,fine,11,CD8 + CTL-1,2,9,True
0,4,8,100,fine,12,CD8 + CTL-2,3,12,True
0,4,8,100,fine,13,CD8 + CTL-3,1,3,True
0,4,8,100,fine,14,CD8 Tem-1,8,87,True
0,4,8,100,fine,15,CD8 Tem-2,4,11,True
0,4,8,100,fine,16,Cycling T,6,10,True
0,4,8,100,fine,17,Erythrocyte,0,0,False
0,4,8,100,fine,18,GCB,1,3,True
0,4,8,100,fine,19,Memory B-1,7,25,True
0,4,8,100,fine,20,Memory B-2,1,3,True
0,4,8,100,fine,21,Naive T,4,17,True
0,4,8,100,fine,22,Plasma,5,9,True
0,4,8,100,fine,23,Tcm,1,1,True
0,4,8,100,fine,24,cDC2,7,24,True
0,4,8,100,fine,25,pDC,4,6,True
0,4,8,100,fine,26,platelet,2,3,True
0,5,8,100,coarse,0,B,8,54,True
0,5,8,100,coarse,1,Myeloid,8,149,True
0,5,8,100,coarse,2,NK,8,188,True
0,5,8,100,coarse,3,Other,2,3,True
0,5,8,100,coarse,4,T,8,406,True
0,5,8,100,fine,0,Atypical Memory B,1,1,True
0,5,8,100,fine,1,CD14 Monocyte-1,8,87,True
0,5,8,100,fine,2,CD14 Monocyte-2,3,12,True
0,5,8,100,fine,3,CD14 Monocyte-3,1,3,True
0,5,8,100,fine,4,CD16 Monocyte-1,6,22,True
0,5,8,100,fine,5,CD16 Monocyte-2,2,4,True
0,5,8,100,fine,6,CD16 NK,8,154,True
0,5,8,100,fine,7,CD4 + Tcm-1,8,202,True
0,5,8,100,fine,8,CD4 + Tcm-2,5,14,True
0,5,8,100,fine,9,CD4 Monocyte-4,1,1,True
0,5,8,100,fine,10,CD56 NK,6,34,True
0,5,8,100,fine,11,CD8 + CTL-1,3,6,True
0,5,8,100,fine,12,CD8 + CTL-2,1,1,True
0,5,8,100,fine,13,CD8 + CTL-3,1,5,True
0,5,8,100,fine,14,CD8 Tem-1,7,113,True
0,5,8,100,fine,15,CD8 Tem-2,6,31,True
0,5,8,100,fine,16,Cycling T,6,13,True
0,5,8,100,fine,17,Erythrocyte,0,0,False
0,5,8,100,fine,18,GCB,1,4,True
0,5,8,100,fine,19,Memory B-1,8,42,True
0,5,8,100,fine,20,Memory B-2,2,4,True
0,5,8,100,fine,21,Naive T,7,20,True
0,5,8,100,fine,22,Plasma,3,3,True
0,5,8,100,fine,23,Tcm,1,1,True
0,5,8,100,fine,24,cDC2,6,17,True
0,5,8,100,fine,25,pDC,2,3,True
0,5,8,100,fine,26,platelet,2,3,True
0,6,8,100,coarse,0,B,8,47,True
0,6,8,100,coarse,1,Myeloid,8,161,True
0,6,8,100,coarse,2,NK,8,238,True
0,6,8,100,coarse,3,Other,1,1,True
0,6,8,100,coarse,4,T,8,353,True
0,6,8,100,fine,0,Atypical Memory B,1,1,True
0,6,8,100,fine,1,CD14 Monocyte-1,8,56,True
0,6,8,100,fine,2,CD14 Monocyte-2,4,6,True
0,6,8,100,fine,3,CD14 Monocyte-3,1,5,True
0,6,8,100,fine,4,CD16 Monocyte-1,8,61,True
0,6,8,100,fine,5,CD16 Monocyte-2,4,7,True
0,6,8,100,fine,6,CD16 NK,8,211,True
0,6,8,100,fine,7,CD4 + Tcm-1,8,204,True
0,6,8,100,fine,8,CD4 + Tcm-2,4,20,True
0,6,8,100,fine,9,CD4 Monocyte-4,3,4,True
0,6,8,100,fine,10,CD56 NK,5,27,True
0,6,8,100,fine,11,CD8 + CTL-1,2,3,True
0,6,8,100,fine,12,CD8 + CTL-2,1,2,True
0,6,8,100,fine,13,CD8 + CTL-3,1,5,True
0,6,8,100,fine,14,CD8 Tem-1,7,76,True
0,6,8,100,fine,15,CD8 Tem-2,5,9,True
0,6,8,100,fine,16,Cycling T,5,10,True
0,6,8,100,fine,17,Erythrocyte,0,0,False
0,6,8,100,fine,18,GCB,1,2,True
0,6,8,100,fine,19,Memory B-1,7,38,True
0,6,8,100,fine,20,Memory B-2,1,3,True
0,6,8,100,fine,21,Naive T,5,24,True
0,6,8,100,fine,22,Plasma,3,3,True
0,6,8,100,fine,23,Tcm,0,0,False
0,6,8,100,fine,24,cDC2,6,19,True
0,6,8,100,fine,25,pDC,2,3,True
