level,fold,alpha,inner_mae
lineage,0,10,0.0543560450445431
lineage,1,100,0.05455350922134006
lineage,2,100,0.05591519044133096
lineage,3,10,0.04924694910371137
lineage,4,100,0.05100169164274691
subtype,0,10,0.013944400784693056
subtype,1,10,0.015576149946597662
subtype,2,10,0.015134399200258069
subtype,3,10,0.013708515227702651
subtype,4,10,0.015264869130144645
