level,method,metric,estimate,low,high
lineage,constant,mae,0.05494909753110694,0.04755556454184781,0.06233863072569312
lineage,constant,tv,0.13737274382776735,0.11888891135461953,0.1558465768142328
lineage,soft,mae,0.05827109392345838,0.04941886964441202,0.06756998867576745
lineage,soft,tv,0.14567773480864596,0.12354717411103004,0.16892497168941864
lineage,direct,mae,0.05323875061104142,0.046864589921251934,0.05996795738292973
lineage,direct,tv,0.13309687652760355,0.11716147480312984,0.14991989345732434
lineage,soft_minus_direct_mae,mae,0.005032343312416971,-0.0041484677586838565,0.014691591121426765
lineage,soft_minus_direct_mae,tv,0.012580858281042426,-0.01037116939670964,0.03672897780356691
lineage,constant_minus_direct_mae,mae,0.0017103469200655144,-0.0011928611329150723,0.004571041146819863
lineage,constant_minus_direct_mae,tv,0.004275867300163786,-0.002982152832287681,0.011427602867049656
subtype,constant,mae,0.023142757475788985,0.021563661983915808,0.025085391390887984
subtype,constant,tv,0.3124272259231513,0.2911094367828634,0.3386527837769878
subtype,soft,mae,0.01478193788207668,0.01303004371769119,0.016619796465560388
subtype,soft,tv,0.19955616140803517,0.17590559018883106,0.22436725228506527
subtype,direct,mae,0.01420955479255695,0.013027016500243927,0.015520301869393661
subtype,direct,tv,0.19182898969951884,0.175864722753293,0.20952407523681446
subtype,soft_minus_direct_mae,mae,0.0005723830895197268,-0.0009176096373744786,0.0021063392787208537
subtype,soft_minus_direct_mae,tv,0.007727171708516311,-0.012387730104555461,0.028435580262731523
subtype,constant_minus_direct_mae,mae,0.00893320268323203,0.007691961375736152,0.010301875545220503
subtype,constant_minus_direct_mae,tv,0.1205982362236324,0.10384147857243806,0.1390753198604768
