seed,scope,eligible_patients,cells,correct,cross_error,within_error,repair,oracle_correct,cross_repair_fraction,cross_ratio_eligible_patients
20260912,All,40,361792,0.3357049257245752,0.4929262158131432,0.17136885846228161,0.30718910776558345,0.6428940334901585,0.6313990554955449,40
20260912,B,40,32089,0.07192840752855781,0.9189062991347807,0.00916529333666149,0.7684685105762764,0.8403969181048339,0.8356105063257868,40
20260912,Myeloid,40,67995,0.2777082319315546,0.45971159609201856,0.2625801719764269,0.18035631913064507,0.4580645510621995,0.3883549741343402,40
20260912,NK,40,96949,0.3942410608536658,0.5676623911385017,0.03809654800783235,0.5154088234098102,0.9096498842634759,0.895216726724596,40
20260912,Other,38,1639,0.009069190653949908,0.99093080934605,0.0,0.9875271013780932,0.9965962920320434,0.9964644860848105,38
20260912,T,40,163120,0.3369743412141024,0.43312841281880016,0.22989724596709743,0.201357006602022,0.5383313478161245,0.5007382124159374,40
20260913,All,40,361792,0.3331825537135508,0.49471719297526884,0.17210025331118034,0.3080599682446342,0.641242521958185,0.6307315966955279,40
20260913,B,40,32089,0.08543767014347446,0.9024074211461528,0.01215490871037297,0.7517898694332431,0.8372275395767176,0.8319755320619567,40
20260913,Myeloid,40,67995,0.2716151960881894,0.4703233174478242,0.2580614864639866,0.18373130093426343,0.4553464970224529,0.38611768458907025,40
20260913,NK,40,96949,0.39314837813550246,0.5708184072657913,0.03603321459870638,0.5153347607567589,0.9084831388922614,0.8892051335922317,40
20260913,Other,38,1639,0.0161259187696418,0.9838740812303582,0.0,0.9770226258313061,0.993148544600948,0.9930124000697368,38
20260913,T,40,163120,0.3362367562980931,0.4281729698090988,0.23559027389280796,0.20291388997880705,0.5391506462769001,0.5013646635034357,40
20260914,All,40,361792,0.33270845784706765,0.49293282929687565,0.17435871285605653,0.3085868260056595,0.6412952838527272,0.6327592145677186,40
20260914,B,40,32089,0.07721785140101171,0.9118357371392891,0.010946411459699209,0.7609876978934266,0.8382055492944381,0.8335411624423227,40
20260914,Myeloid,40,67995,0.2658338625314742,0.47977799021593126,0.2543881472525945,0.18747208421411002,0.453305946745584,0.39064992784521085,40
20260914,NK,40,96949,0.3904255890297739,0.5711967758303507,0.0383776351398755,0.5181061638484572,0.9085317528782312,0.892096276865141,40
20260914,Other,38,1639,0.011773414304511086,0.9882265856954889,0.0,0.9816043360904206,0.9933777503949317,0.9932338856798845,38
20260914,T,40,163120,0.34411145875995863,0.414301118372181,0.24158742286786034,0.19562513509030968,0.5397365938502684,0.4960274376608435,40
