scope,patients,cells,correct,correct_min,correct_max,cross_error,cross_error_min,cross_error_max,within_error,within_error_min,within_error_max,repair,repair_min,repair_max,oracle_correct,oracle_correct_min,oracle_correct_max,cross_repair_fraction,cross_repair_fraction_min,cross_repair_fraction_max,cross_ratio_patients_min,cross_ratio_patients_max
All,40,361792,0.3338653124283979,0.33270845784706765,0.3357049257245752,0.49352541269509587,0.4929262158131432,0.49471719297526884,0.17260927487650615,0.17136885846228161,0.17435871285605653,0.307945300671959,0.30718910776558345,0.3085868260056595,0.6418106131003568,0.641242521958185,0.6428940334901585,0.6316299555862638,0.6307315966955279,0.6327592145677186,40,40
B,40,32089,0.07819464302434799,0.07192840752855781,0.08543767014347446,0.9110498191400742,0.9024074211461528,0.9189062991347807,0.010755537835577889,0.00916529333666149,0.01215490871037297,0.760415359300982,0.7517898694332431,0.7684685105762764,0.8386100023253299,0.8372275395767176,0.8403969181048339,0.8337090669433554,0.8319755320619567,0.8356105063257868,40,40
Myeloid,40,67995,0.271719096850406,0.2658338625314742,0.2777082319315546,0.46993763458525795,0.45971159609201856,0.47977799021593126,0.258343268564336,0.2543881472525945,0.2625801719764269,0.18385323475967283,0.18035631913064507,0.18747208421411002,0.4555723316100788,0.453305946745584,0.4580645510621995,0.38837419552287383,0.38611768458907025,0.39064992784521085,40,40
NK,40,96949,0.39260500933964737,0.3904255890297739,0.3942410608536658,0.5698925247448812,0.5676623911385017,0.5711967758303507,0.037502465915471406,0.03603321459870638,0.0383776351398755,0.5162832493383421,0.5153347607567589,0.5181061638484572,0.9088882586779895,0.9084831388922614,0.9096498842634759,0.8921727123939895,0.8892051335922317,0.895216726724596,40,40
Other,38,1639,0.012322841242700932,0.009069190653949908,0.0161259187696418,0.9876771587572991,0.9838740812303582,0.99093080934605,0.0,0.0,0.0,0.9820513544332733,0.9770226258313061,0.9875271013780932,0.9943741956759743,0.993148544600948,0.9965962920320434,0.9942369239448107,0.9930124000697368,0.9964644860848105,38,38
T,40,163120,0.3391075187573847,0.3362367562980931,0.34411145875995863,0.4252008336666933,0.414301118372181,0.43312841281880016,0.2356916475759219,0.22989724596709743,0.24158742286786034,0.19996534389037957,0.19562513509030968,0.20291388997880705,0.5390728626477643,0.5383313478161245,0.5397365938502684,0.49937677119340557,0.4960274376608435,0.5013646635034357,40,40
