model,seed,scope,metric,mean,eligible_patients
mlp,29,4,repair_among_cross,0.5001576487501562,40
mlp,29,4,fine_cross_given_coarse_correct,0.27764119796216186,40
mlp,29,4,fine_cross_given_coarse_wrong,0.9067082543481995,40
mlp,43,-1,correct,0.3388221869156331,40
mlp,43,-1,cross,0.48951598122324497,40
mlp,43,-1,within,0.17166183186112188,40
mlp,43,-1,oracle_correct,0.6467781490076165,40
mlp,43,-1,fixed_mass,0.3079559620919835,40
mlp,43,-1,cross_among_errors,0.7401962853101652,40
mlp,43,-1,repair_among_cross,0.6362439132123294,40
mlp,43,-1,fine_cross_given_coarse_correct,0.17635830764706958,40
mlp,43,-1,fine_cross_given_coarse_wrong,0.8438838609152166,40
mlp,43,0,correct,0.06994866753812061,40
mlp,43,0,cross,0.9211790864890548,40
mlp,43,0,within,0.008872245972824678,40
mlp,43,0,oracle_correct,0.8395915624273934,40
mlp,43,0,fixed_mass,0.7696428948892728,40
mlp,43,0,cross_among_errors,0.9900375599624557,40
mlp,43,0,repair_among_cross,0.8350766763583162,40
mlp,43,0,fine_cross_given_coarse_correct,0.0660446865560567,37
mlp,43,0,fine_cross_given_coarse_wrong,0.9699510296198584,40
mlp,43,1,correct,0.2705415745772861,40
mlp,43,1,cross,0.47596716071214223,40
mlp,43,1,within,0.2534912647105715,40
mlp,43,1,oracle_correct,0.45762189929027935,40
mlp,43,1,fixed_mass,0.18708032471299313,40
mlp,43,1,cross_among_errors,0.5952717825456657,40
mlp,43,1,repair_among_cross,0.38744624278704676,40
mlp,43,1,fine_cross_given_coarse_correct,0.10736683555365137,40
mlp,43,1,fine_cross_given_coarse_wrong,0.9687310955194885,40
mlp,43,2,correct,0.39846260821886587,40
mlp,43,2,cross,0.5630037277254694,40
mlp,43,2,within,0.03853366405566486,40
mlp,43,2,oracle_correct,0.9105748154922978,40
mlp,43,2,fixed_mass,0.5121122072734318,40
mlp,43,2,cross_among_errors,0.8855850976361754,40
mlp,43,2,repair_among_cross,0.8946151045120979,40
mlp,43,2,fine_cross_given_coarse_correct,0.003133071810316512,40
mlp,43,2,fine_cross_given_coarse_wrong,0.6766401597892309,40
mlp,43,3,correct,0.013840896699996214,38
mlp,43,3,cross,0.9861591033000039,38
mlp,43,3,within,0.0,38
mlp,43,3,oracle_correct,0.9924856813859312,38
mlp,43,3,fixed_mass,0.9786447846859351,38
mlp,43,3,cross_among_errors,1.0,38
mlp,43,3,repair_among_cross,0.9922868162224688,38
mlp,43,3,fine_cross_given_coarse_correct,0.0,4
mlp,43,3,fine_cross_given_coarse_wrong,0.9953040956636908,38
mlp,43,4,correct,0.34553697075355105,40
mlp,43,4,cross,0.4185910572480627,40
mlp,43,4,within,0.23587197199838625,40
mlp,43,4,oracle_correct,0.5475652300438446,40
mlp,43,4,fixed_mass,0.20202825929029355,40
mlp,43,4,cross_among_errors,0.5929078488084742,40
mlp,43,4,repair_among_cross,0.5076384451274315,40
mlp,43,4,fine_cross_given_coarse_correct,0.2797031585757928,40
mlp,43,4,fine_cross_given_coarse_wrong,0.9071150184906159,40
flat,17,-1,correct,0.33567562151149727,40
flat,17,-1,cross,0.49208499285426266,40
flat,17,-1,within,0.17223938563424007,40
flat,17,-1,oracle_correct,0.6481041673592379,40
flat,17,-1,fixed_mass,0.31242854584774066,40
flat,17,-1,cross_among_errors,0.7394034751418497,40
flat,17,-1,repair_among_cross,0.6454027235876825,40
flat,17,-1,fine_cross_given_coarse_correct,0.14278695802911306,40
flat,17,-1,fine_cross_given_coarse_wrong,0.8772559634126409,40
flat,17,0,correct,0.0780335485006151,40
flat,17,0,cross,0.9150331344511919,40
flat,17,0,within,0.006933317048192969,40
flat,17,0,oracle_correct,0.849203534123226,40
flat,17,0,fixed_mass,0.771169985622611,40
flat,17,0,cross_among_errors,0.9925022721606581,40
flat,17,0,repair_among_cross,0.844193148294055,40
flat,17,0,fine_cross_given_coarse_correct,0.01519628552344605,40
flat,17,0,fine_cross_given_coarse_wrong,0.9819529755338625,40
flat,17,1,correct,0.275053524097599,40
flat,17,1,cross,0.4557487116818587,40
flat,17,1,within,0.2691977642205424,40
flat,17,1,oracle_correct,0.457382944500268,40
flat,17,1,fixed_mass,0.1823294204026691,40
flat,17,1,cross_among_errors,0.5676474282394184,40
flat,17,1,repair_among_cross,0.39613191254291935,40
flat,17,1,fine_cross_given_coarse_correct,0.12213773964734242,40
flat,17,1,fine_cross_given_coarse_wrong,0.9705565951106786,40
flat,17,2,correct,0.3767147948046904,40
flat,17,2,cross,0.5878356968123862,40
flat,17,2,within,0.035449508382923364,40
flat,17,2,oracle_correct,0.9123069525465729,40
flat,17,2,fixed_mass,0.5355921577418825,40
flat,17,2,cross_among_errors,0.884048215917011,40
flat,17,2,repair_among_cross,0.893806652360263,40
flat,17,2,fine_cross_given_coarse_correct,0.006860698415330334,40
flat,17,2,fine_cross_given_coarse_wrong,0.7266826470280949,40
flat,17,3,correct,0.016713372525558642,38
flat,17,3,cross,0.9832866274744415,38
flat,17,3,within,0.0,38
flat,17,3,oracle_correct,0.9862830679340625,38
flat,17,3,fixed_mass,0.9695696954085037,38
flat,17,3,cross_among_errors,1.0,38
flat,17,3,repair_among_cross,0.9860973801520929,38
flat,17,3,fine_cross_given_coarse_correct,0.05735294117647059,4
flat,17,3,fine_cross_given_coarse_wrong,0.9947615647951205,38
flat,17,4,correct,0.3438954601089829,40
flat,17,4,cross,0.4267202462442903,40
flat,17,4,within,0.2293842936467267,40
flat,17,4,oracle_correct,0.5480883873476113,40
flat,17,4,fixed_mass,0.2041929272386283,40
flat,17,4,cross_among_errors,0.5999761750453536,40
flat,17,4,repair_among_cross,0.5103469864024086,40
flat,17,4,fine_cross_given_coarse_correct,0.2588707193526291,40
flat,17,4,fine_cross_given_coarse_wrong,0.8944391729100356,40
flat,29,-1,correct,0.3368412030795011,40
flat,29,-1,cross,0.48424056031241997,40
flat,29,-1,within,0.17891823660807898,40
flat,29,-1,oracle_correct,0.6449401932530794,40
flat,29,-1,fixed_mass,0.30809899017357834,40
flat,29,-1,cross_among_errors,0.730275483294516,40
flat,29,-1,repair_among_cross,0.6430213030554492,40
flat,29,-1,fine_cross_given_coarse_correct,0.1505383001539369,40
flat,29,-1,fine_cross_given_coarse_wrong,0.8586798876366835,40
flat,29,0,correct,0.08256342499841743,40
flat,29,0,cross,0.9053171574194725,40
flat,29,0,within,0.01211941758211017,40
flat,29,0,oracle_correct,0.8459796432084469,40
flat,29,0,fixed_mass,0.7634162182100294,40
flat,29,0,cross_among_errors,0.986723537906219,40
flat,29,0,repair_among_cross,0.840843357388205,40
flat,29,0,fine_cross_given_coarse_correct,0.02300463910112289,40
flat,29,0,fine_cross_given_coarse_wrong,0.976956891229619,40
flat,29,1,correct,0.27654814154613155,40
flat,29,1,cross,0.4666981618773379,40
flat,29,1,within,0.2567536965765305,40
flat,29,1,oracle_correct,0.4648299919120807,40
flat,29,1,fixed_mass,0.18828185036594916,40
flat,29,1,cross_among_errors,0.5829367358910487,40
flat,29,1,repair_among_cross,0.3972454074237133,40
flat,29,1,fine_cross_given_coarse_correct,0.10604912992022839,40
flat,29,1,fine_cross_given_coarse_wrong,0.9828827954165318,40
flat,29,2,correct,0.373010143551606,40
flat,29,2,cross,0.5907377201541586,40
flat,29,2,within,0.03625213629423542,40
flat,29,2,oracle_correct,0.9097077466361714,40
flat,29,2,fixed_mass,0.5366976030845654,40
flat,29,2,cross_among_errors,0.8991309766450541,40
flat,29,2,repair_among_cross,0.8953546340153486,40
flat,29,2,fine_cross_given_coarse_correct,0.008668815877403695,40
flat,29,2,fine_cross_given_coarse_wrong,0.7171864390028775,40
flat,29,3,correct,0.020724991059405097,38
flat,29,3,cross,0.9792750089405948,38
flat,29,3,within,0.0,38
flat,29,3,oracle_correct,0.9873306389878587,38
flat,29,3,fixed_mass,0.9666056479284535,38
flat,29,3,cross_among_errors,1.0,38
flat,29,3,repair_among_cross,0.987233868138907,38
flat,29,3,fine_cross_given_coarse_correct,0.27346938775510204,7
flat,29,3,fine_cross_given_coarse_wrong,0.9895661366773478,38
flat,29,4,correct,0.3519675173163678,40
flat,29,4,cross,0.3988940021775482,40
flat,29,4,within,0.24913848050608395,40
flat,29,4,oracle_correct,0.5415274513535951,40
flat,29,4,fixed_mass,0.18955993403722737,40
flat,29,4,cross_among_errors,0.5716803436521868,40
flat,29,4,repair_among_cross,0.5047960565007376,40
flat,29,4,fine_cross_given_coarse_correct,0.24083291090079614,40
flat,29,4,fine_cross_given_coarse_wrong,0.8909362162298683,40
flat,43,-1,correct,0.33353709332700265,40
flat,43,-1,cross,0.4890644614014815,40
flat,43,-1,within,0.1773984452715158,40
flat,43,-1,oracle_correct,0.6421419185148881,40
flat,43,-1,fixed_mass,0.30860482518788535,40
flat,43,-1,cross_among_errors,0.733935008442016,40
flat,43,-1,repair_among_cross,0.6378921030878459,40
flat,43,-1,fine_cross_given_coarse_correct,0.13982381128817675,40
flat,43,-1,fine_cross_given_coarse_wrong,0.8769685102185838,40
flat,43,0,correct,0.08624580733354756,40
flat,43,0,cross,0.8966955571915601,40
flat,43,0,within,0.017058635474892204,40
flat,43,0,oracle_correct,0.8401086767539543,40
flat,43,0,fixed_mass,0.7538628694204066,40
flat,43,0,cross_among_errors,0.9802921713780393,40
flat,43,0,repair_among_cross,0.8390483809376803,40
flat,43,0,fine_cross_given_coarse_correct,0.024241300552641377,40
flat,43,0,fine_cross_given_coarse_wrong,0.9738265161721695,40
flat,43,1,correct,0.27462661896063334,40
flat,43,1,cross,0.46601688618732623,40
flat,43,1,within,0.2593564948520405,40
flat,43,1,oracle_correct,0.4634591559747621,40
flat,43,1,fixed_mass,0.18883253701412878,40
flat,43,1,cross_among_errors,0.5837823778269114,40
flat,43,1,repair_among_cross,0.39757593018473386,40
flat,43,1,fine_cross_given_coarse_correct,0.11835556823379942,40
flat,43,1,fine_cross_given_coarse_wrong,0.9767528779480547,40
flat,43,2,correct,0.36980974228437036,40
flat,43,2,cross,0.589647938614874,40
flat,43,2,within,0.04054231910075564,40
flat,43,2,oracle_correct,0.9060796360419318,40
flat,43,2,fixed_mass,0.5362698937575614,40
flat,43,2,cross_among_errors,0.8894746794107562,40
flat,43,2,repair_among_cross,0.8880173926142746,40
flat,43,2,fine_cross_given_coarse_correct,0.0050707923479615825,40
flat,43,2,fine_cross_given_coarse_wrong,0.7460883165485228,40
flat,43,3,correct,0.015090678865017608,38
flat,43,3,cross,0.9847129346463727,38
flat,43,3,within,0.00019638648860958365,38
flat,43,3,oracle_correct,0.9911008316830575,38
flat,43,3,fixed_mass,0.97601015281804,38
flat,43,3,cross_among_errors,0.9997493734335838,38
flat,43,3,repair_among_cross,0.9911946328238898,38
flat,43,3,fine_cross_given_coarse_correct,0.10169082125603864,6
flat,43,3,fine_cross_given_coarse_wrong,0.9934820035079601,38
flat,43,4,correct,0.34827242139860765,40
flat,43,4,cross,0.40961178256945663,40
flat,43,4,within,0.24211579603193564,40
flat,43,4,oracle_correct,0.5391953651416193,40
flat,43,4,fixed_mass,0.19092294374301166,40
flat,43,4,cross_among_errors,0.5816908216507894,40
flat,43,4,repair_among_cross,0.4993426625994644,40
flat,43,4,fine_cross_given_coarse_correct,0.23362284570514097,40
flat,43,4,fine_cross_given_coarse_wrong,0.8981295199802826,40
hce,17,-1,correct,0.34055821219520965,40
hce,17,-1,cross,0.4881324204384369,40
hce,17,-1,within,0.17130936736635344,40
hce,17,-1,oracle_correct,0.6508854224948875,40
hce,17,-1,fixed_mass,0.3103272102996778,40
hce,17,-1,cross_among_errors,0.7397980651077847,40
hce,17,-1,repair_among_cross,0.6452417687206609,40
hce,17,-1,fine_cross_given_coarse_correct,0.14544813489994116,40
hce,17,-1,fine_cross_given_coarse_wrong,0.8711292084345663,40
hce,17,0,correct,0.08149946563991677,40
hce,17,0,cross,0.9080125551230559,40
hce,17,0,within,0.010487979237027477,40
hce,17,0,oracle_correct,0.8459736386390221,40
hce,17,0,fixed_mass,0.7644741729991053,40
hce,17,0,cross_among_errors,0.9885334403706001,40
hce,17,0,repair_among_cross,0.8403442433127413,40
hce,17,0,fine_cross_given_coarse_correct,0.010315904542138269,40
hce,17,0,fine_cross_given_coarse_wrong,0.9796892191790239,40
hce,17,1,correct,0.2706357787526354,40
hce,17,1,cross,0.47552912989622076,40
hce,17,1,within,0.2538350913511439,40
hce,17,1,oracle_correct,0.46395929791136775,40
hce,17,1,fixed_mass,0.19332351915873228,40
hce,17,1,cross_among_errors,0.5959398208375675,40
hce,17,1,repair_among_cross,0.39699624652267174,40
hce,17,1,fine_cross_given_coarse_correct,0.11289724745564836,40
hce,17,1,fine_cross_given_coarse_wrong,0.99211840514911,40
hce,17,2,correct,0.3731743439786575,40
hce,17,2,cross,0.5903880431547248,40
hce,17,2,within,0.036437612866617765,40
hce,17,2,oracle_correct,0.9118903172400767,40
hce,17,2,fixed_mass,0.5387159732614193,40
hce,17,2,cross_among_errors,0.887793828588201,40
hce,17,2,repair_among_cross,0.8954616314699766,40
hce,17,2,fine_cross_given_coarse_correct,9.083126547879163e-05,39
hce,17,2,fine_cross_given_coarse_wrong,0.7223112267910554,40
hce,17,3,correct,0.016580282578342338,38
hce,17,3,cross,0.9833280247754079,38
hce,17,3,within,9.169264624977077e-05,38
hce,17,3,oracle_correct,0.9860186426175626,38
hce,17,3,fixed_mass,0.9694383600392203,38
hce,17,3,cross_among_errors,0.9998875393612235,38
hce,17,3,repair_among_cross,0.9859479169261849,38
hce,17,3,fine_cross_given_coarse_correct,0.0,6
hce,17,3,fine_cross_given_coarse_wrong,0.9927437030785619,38
hce,17,4,correct,0.3629631423909185,40
hce,17,4,cross,0.40302565755701913,40
hce,17,4,within,0.23401120005206238,40
hce,17,4,oracle_correct,0.5529942914588689,40
hce,17,4,fixed_mass,0.1900311490679504,40
hce,17,4,cross_among_errors,0.5844002154869143,40
hce,17,4,repair_among_cross,0.5081629319475758,40
hce,17,4,fine_cross_given_coarse_correct,0.2424651452060751,40
hce,17,4,fine_cross_given_coarse_wrong,0.8922767781063049,40
hce,29,-1,correct,0.33222942819474427,40
hce,29,-1,cross,0.49137290317121796,40
hce,29,-1,within,0.17639766863403786,40
hce,29,-1,oracle_correct,0.6449446387210969,40
hce,29,-1,fixed_mass,0.31271521052635276,40
hce,29,-1,cross_among_errors,0.7352935225960733,40
hce,29,-1,repair_among_cross,0.6452566351987225,40
hce,29,-1,fine_cross_given_coarse_correct,0.1507864107870783,40
hce,29,-1,fine_cross_given_coarse_wrong,0.8673983501132593,40
hce,29,0,correct,0.08430718286411303,40
hce,29,0,cross,0.9060255841074781,40
hce,29,0,within,0.009667233028408977,40
hce,29,0,oracle_correct,0.8533651480321833,40
hce,29,0,fixed_mass,0.7690579651680702,40
hce,29,0,cross_among_errors,0.9894732023156394,40
hce,29,0,repair_among_cross,0.8481106036811783,40
hce,29,0,fine_cross_given_coarse_correct,0.01161027732048174,40
hce,29,0,fine_cross_given_coarse_wrong,0.9750446098973133,40
hce,29,1,correct,0.27813072976950803,40
hce,29,1,cross,0.4498081277349664,40
hce,29,1,within,0.2720611424955255,40
hce,29,1,oracle_correct,0.4618540905143275,40
hce,29,1,fixed_mass,0.18372336074481954,40
hce,29,1,cross_among_errors,0.5645378984174956,40
hce,29,1,repair_among_cross,0.39446366838855934,40
hce,29,1,fine_cross_given_coarse_correct,0.09669817615041165,40
