model,seed,decoding,subtype,parent,cells,patient_coverage,sb_per_class_f1,largest_error_target,largest_error_mass
flat,17,ordinary,CD8 + CTL-2,4,4049,33,0.05529588026239385,CD56 NK,0.08290669051639943
flat,17,ordinary,CD8 + CTL-3,4,3244,27,0.016464183011801015,CD56 NK,0.08576551369265323
flat,17,ordinary,CD8 Tem-1,4,26714,40,0.21325777138756952,CD4 + Tcm-1,1.6736040923445936
flat,17,ordinary,CD8 Tem-2,4,10548,40,0.011058430172425682,CD4 + Tcm-1,0.24634108215982953
flat,17,ordinary,Cycling T,4,3667,40,0.01745227781597636,CD4 + Tcm-1,0.21331310543879364
flat,17,ordinary,Erythrocyte,3,65,6,0.1143391769111176,Plasma,0.0040955961630584365
flat,17,ordinary,GCB,0,3283,31,0.015869915371895516,CD56 NK,0.05277690715815643
flat,17,ordinary,Memory B-1,0,23722,40,0.031970916329029236,CD4 + Tcm-1,1.2244706363693505
flat,17,ordinary,Memory B-2,0,2130,33,0.010858495521995604,CD56 NK,0.03998212833259103
flat,17,ordinary,Naive T,4,17960,40,0.1319652995920579,CD56 NK,0.4079818398106772
flat,17,ordinary,Plasma,0,2173,40,0.5717374855880383,CD4 + Tcm-1,0.06437473865579417
flat,17,ordinary,Tcm,4,2121,36,0.0031253639609418907,CD56 NK,0.2146577291729285
flat,17,ordinary,cDC2,1,7376,40,0.1160393222939292,CD4 + Tcm-1,0.3596447625297264
flat,17,ordinary,pDC,1,2615,40,0.014800918008317393,CD4 + Tcm-1,0.16975727098472615
flat,17,ordinary,platelet,3,1574,38,0.06711998867059672,CD56 NK,0.041419589049650055
flat,17,oracle,Atypical Memory B,0,781,34,0.34565362165422064,Memory B-1,0.028002792597851284
flat,17,oracle,CD14 Monocyte-1,1,29871,40,0.6140586764123285,CD16 Monocyte-1,0.688839501480689
flat,17,oracle,CD14 Monocyte-2,1,3931,40,0.18204737384027822,CD14 Monocyte-1,0.3923545519794884
flat,17,oracle,CD14 Monocyte-3,1,2977,32,0.31352596092153545,CD14 Monocyte-1,0.07835636129311152
flat,17,oracle,CD16 Monocyte-1,1,14678,40,0.40898473373942035,CD14 Monocyte-1,0.9138374481518814
flat,17,oracle,CD16 Monocyte-2,1,5142,40,0.19202743014918489,CD14 Monocyte-1,0.24621907422236783
flat,17,oracle,CD16 NK,2,58507,40,0.9413893201861117,CD56 NK,0.35163974435742895
flat,17,oracle,CD4 + Tcm-1,4,70653,40,0.7300312960788872,CD8 Tem-1,0.9887764641593174
flat,17,oracle,CD4 + Tcm-2,4,16861,39,0.41547613728937655,CD4 + Tcm-1,0.21088385889641406
flat,17,oracle,CD4 Monocyte-4,1,1405,35,0.019222755154427777,CD14 Monocyte-1,0.07238378037400621
flat,17,oracle,CD56 NK,2,38442,40,0.8210775379201674,CD16 NK,0.5543718305348545
flat,17,oracle,CD8 + CTL-1,4,7303,40,0.03088780337726727,CD4 + Tcm-2,0.20621740575176956
flat,17,oracle,CD8 + CTL-2,4,4049,33,0.15866709318953673,CD4 + Tcm-2,0.08947671990445741
flat,17,oracle,CD8 + CTL-3,4,3244,27,0.04130104170893556,CD4 + Tcm-2,0.09224502735394412
flat,17,oracle,CD8 Tem-1,4,26714,40,0.3431593924653626,CD4 + Tcm-1,2.7118618569898736
flat,17,oracle,CD8 Tem-2,4,10548,40,0.05174313813554602,CD4 + Tcm-1,0.41830936761001053
flat,17,oracle,Cycling T,4,3667,40,0.20011192928222946,CD4 + Tcm-1,0.385883658087331
flat,17,oracle,Erythrocyte,3,65,6,0.32604771569892965,platelet,0.00456619568205107
flat,17,oracle,GCB,0,3283,31,0.3587632511136118,Memory B-1,0.09058317280385272
flat,17,oracle,Memory B-1,0,23722,40,0.9095625888745621,GCB,0.08664995375191673
flat,17,oracle,Memory B-2,0,2130,33,0.05885013681845588,Memory B-1,0.09678282299489595
flat,17,oracle,Naive T,4,17960,40,0.28851361196526276,CD4 + Tcm-2,0.4175885314493407
flat,17,oracle,Plasma,0,2173,40,0.7398760523705494,Memory B-1,0.109262062281457
flat,17,oracle,Tcm,4,2121,36,0.007528046828436017,CD4 + Tcm-1,0.13642615301384647
flat,17,oracle,cDC2,1,7376,40,0.1746532317207113,CD14 Monocyte-1,0.40958246882585253
flat,17,oracle,pDC,1,2615,40,0.09173071313963561,CD16 Monocyte-1,0.1578282409886295
flat,17,oracle,platelet,3,1574,38,0.9809917428764344,,0.0
flat,29,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.022643563641467867
flat,29,ordinary,CD14 Monocyte-1,1,29871,40,0.45564136537439515,CD4 + Tcm-1,0.7692600743120864
flat,29,ordinary,CD14 Monocyte-2,1,3931,40,0.08696405041153144,CD14 Monocyte-1,0.3008440114504251
flat,29,ordinary,CD14 Monocyte-3,1,2977,32,0.21991900706612633,CD14 Monocyte-1,0.06385289490246229
flat,29,ordinary,CD16 Monocyte-1,1,14678,40,0.13877642015631095,CD4 + Tcm-1,0.8565592561662627
flat,29,ordinary,CD16 Monocyte-2,1,5142,40,0.09843727214556562,CD14 Monocyte-1,0.1686193499105593
flat,29,ordinary,CD16 NK,2,58507,40,0.3977155728207033,CD4 + Tcm-1,3.2688136515379638
flat,29,ordinary,CD4 + Tcm-1,4,70653,40,0.43813113923278735,CD16 NK,1.9330932481537415
flat,29,ordinary,CD4 + Tcm-2,4,16861,39,0.2081207302315238,CD56 NK,0.4154981247231646
