model,rank,true_subtype,predicted_subtype,mass,per_seed_mass,true_cells,true_patients
mlp,151,CD8 Tem-1,CD8 + CTL-3,0.0005189926650653175,"[0.001109951409760437, 0.000356098257582742, 9.092832785277338e-05]",26714,40
mlp,152,CD14 Monocyte-3,pDC,0.0004938228098334136,"[0.0004861448711716091, 0.0006070035142840308, 0.00038832004404460113]",2977,32
mlp,153,CD8 + CTL-3,CD8 + CTL-1,0.00045429080135620664,"[0.000595363524261095, 0.0006273088611141891, 0.00014020001869333583]",3244,27
mlp,154,CD4 Monocyte-4,pDC,0.00041545891210841853,"[0.0003756530318436194, 0.00046633821897396034, 0.0004043854855076758]",1405,35
mlp,155,CD8 + CTL-2,Tcm,0.00032859089304077905,"[0.000363398320945894, 0.00031118717908822156, 0.00031118717908822156]",4049,33
mlp,156,CD14 Monocyte-2,CD14 Monocyte-3,0.000272690481827668,"[0.0001978369823265629, 0.000443184182067827, 0.0001770502810886142]",3931,40
mlp,157,Cycling T,CD8 + CTL-3,0.000224188015910937,"[0.0001779205833672262, 0.00031418452972224145, 0.00018045893464334336]",3667,40
mlp,158,Plasma,Memory B-2,0.00016473482971815026,"[0.00023091903750947312, 4.4194988288328104e-05, 0.00021909046335664954]",2173,40
mlp,159,Cycling T,CD8 + CTL-1,0.00016318892060445016,"[0.0001337255950788981, 0.0002221155716555543, 0.0001337255950788981]",3667,40
mlp,160,CD8 Tem-1,CD8 + CTL-1,0.00010902546840442814,"[0.0002169357561494353, 4.4194988288328104e-05, 6.594566077552098e-05]",26714,40
mlp,161,Atypical Memory B,Memory B-2,0.0001006675458800262,"[0.0001325849648649843, 0.00010807550616976978, 6.13421666053245e-05]",781,34
mlp,162,CD14 Monocyte-1,CD4 Monocyte-4,8.099864728804506e-05,"[0.00011110462031309324, 6.594566077552098e-05, 6.594566077552098e-05]",29871,40
mlp,163,CD16 Monocyte-1,CD4 Monocyte-4,6.766563980503692e-05,"[0.0001562635798506655, 0.0, 4.6733339564445275e-05]",14678,40
mlp,164,Tcm,CD8 + CTL-2,6.021194605009634e-05,"[0.0, 0.00013547687861271675, 4.515895953757225e-05]",2121,36
mlp,165,platelet,Erythrocyte,5.455537370430988e-05,"[0.0, 0.0, 0.00016366612111292964]",1574,38
mlp,166,CD14 Monocyte-3,CD4 Monocyte-4,2.978464927530012e-05,"[8.935394782590036e-05, 0.0, 0.0]",2977,32
flat,1,CD8 Tem-1,CD4 + Tcm-1,2.7288352009548418,"[2.711861856989873, 2.7822397673219332, 2.6924039785527167]",26714,40
flat,2,CD4 + Tcm-1,CD8 Tem-1,1.0328677027270186,"[0.9887764641593171, 1.0022902952577772, 1.107536348763961]",70653,40
flat,3,CD16 Monocyte-1,CD14 Monocyte-1,0.8528953336820565,"[0.9138374481518814, 0.8166713648192976, 0.8281771880749903]",14678,40
flat,4,CD14 Monocyte-1,CD16 Monocyte-1,0.7078089087489131,"[0.6888395014806891, 0.6918187292604021, 0.7427684955056483]",29871,40
flat,5,CD56 NK,CD16 NK,0.5865046590265125,"[0.5543718305348544, 0.575477935500095, 0.6296642110445881]",38442,40
flat,6,CD8 Tem-2,CD4 + Tcm-1,0.4200026924327997,"[0.4183093676100106, 0.42581515087156446, 0.41588355881682393]",10548,40
flat,7,Naive T,CD4 + Tcm-2,0.40457550098752604,"[0.4175885314493407, 0.39873919750216963, 0.3973987740110678]",17960,40
flat,8,cDC2,CD16 Monocyte-1,0.3947698477947659,"[0.37566611520626947, 0.3973610405221181, 0.41128238765590996]",7376,40
flat,9,CD14 Monocyte-2,CD14 Monocyte-1,0.3853526987812009,"[0.3923545519794884, 0.37441546446970814, 0.38928807989440595]",3931,40
flat,10,Cycling T,CD4 + Tcm-1,0.3849605517029177,"[0.38588365808733105, 0.3777702045050848, 0.39122779251633727]",3667,40
flat,11,cDC2,CD14 Monocyte-1,0.3824969678291385,"[0.4095824688258526, 0.36334228821541015, 0.3745661464461529]",7376,40
flat,12,CD16 NK,CD56 NK,0.3552047094706469,"[0.351639744357429, 0.3616515348165044, 0.35232284923800744]",58507,40
flat,13,Naive T,CD4 + Tcm-1,0.30254657525291073,"[0.30394009480451917, 0.30878359373046305, 0.29491603722375015]",17960,40
flat,14,CD16 Monocyte-2,CD14 Monocyte-1,0.25027642991745463,"[0.2462190742223678, 0.25283486428352153, 0.2517753512464747]",5142,40
flat,15,CD4 + Tcm-2,CD4 + Tcm-1,0.22150202214355397,"[0.21088385889641403, 0.22537509324628674, 0.228247114287961]",16861,39
flat,16,CD4 + Tcm-1,CD4 + Tcm-2,0.20197740467374214,"[0.21247072886674156, 0.1946441863739852, 0.19881729878049975]",70653,40
flat,17,CD8 + CTL-1,CD4 + Tcm-2,0.19842185023173864,"[0.2062174057517695, 0.19274435021801412, 0.19630379472543222]",7303,40
flat,18,CD8 Tem-2,CD8 Tem-1,0.1616646477773733,"[0.16040340541592193, 0.15915054189629543, 0.16543999601990245]",10548,40
flat,19,CD4 + Tcm-1,Cycling T,0.16155581626463392,"[0.15735170710805402, 0.1486578254282971, 0.17865791625755068]",70653,40
flat,20,CD8 Tem-2,CD4 + Tcm-2,0.16116903054362527,"[0.16630879309160002, 0.15870991804405463, 0.15848838049522113]",10548,40
flat,21,pDC,CD16 Monocyte-1,0.16097479060714345,"[0.15782824098862946, 0.1611913914751892, 0.16390473935761166]",2615,40
flat,22,Tcm,CD4 + Tcm-1,0.1366745029541089,"[0.13642615301384647, 0.12904356227921368, 0.1445537935692666]",2121,36
flat,23,CD16 Monocyte-2,CD16 Monocyte-1,0.11563001623094205,"[0.1221379022207315, 0.10234014647042844, 0.12241200000166624]",5142,40
flat,24,CD16 Monocyte-1,cDC2,0.11312892931448537,"[0.10787631699019311, 0.138817263630171, 0.09269320732309201]",14678,40
flat,25,CD14 Monocyte-1,cDC2,0.1121196590805637,"[0.11786122572286141, 0.12890073372521751, 0.0895970177936121]",29871,40
flat,26,CD14 Monocyte-1,CD14 Monocyte-2,0.11065296436102717,"[0.10443753360648175, 0.1152904572702948, 0.11223090220630505]",29871,40
flat,27,pDC,CD14 Monocyte-1,0.1089673808818135,"[0.12214308247305963, 0.10046084628219183, 0.10429821389018908]",2615,40
flat,28,Plasma,Memory B-1,0.10733295807579407,"[0.10926206228145699, 0.10794193905966039, 0.1047948728862648]",2173,40
flat,29,CD4 + Tcm-2,Naive T,0.10666959455296561,"[0.12849613821832975, 0.09086069287297956, 0.10065195256758755]",16861,39
flat,30,CD8 + CTL-1,Naive T,0.10319512028398521,"[0.11241252467807455, 0.09918477080379617, 0.09798806537008495]",7303,40
flat,31,CD8 + CTL-3,CD4 + Tcm-2,0.0930260488673111,"[0.0922450273539441, 0.09290374598832774, 0.09392937325966144]",3244,27
flat,32,Memory B-2,Memory B-1,0.09251390441263159,"[0.09678282299489593, 0.0884279107257693, 0.09233097951722952]",2130,33
flat,33,CD14 Monocyte-2,CD16 Monocyte-1,0.09025364594254122,"[0.08655806587314596, 0.09058332782828177, 0.093619544126196]",3931,40
flat,34,Memory B-1,GCB,0.09013683566038984,"[0.08664995375191673, 0.10156450784875876, 0.08219604538049403]",23722,40
flat,35,CD14 Monocyte-1,CD16 Monocyte-2,0.08932607758828388,"[0.08558734292284173, 0.0932035238073638, 0.08918736603464612]",29871,40
flat,36,GCB,Memory B-1,0.08546310343261,"[0.09058317280385272, 0.08117134204187666, 0.08463479545210059]",3283,31
flat,37,CD8 + CTL-2,CD4 + Tcm-2,0.08231172456836304,"[0.08947671990445741, 0.07770481877989872, 0.07975363502073296]",4049,33
flat,38,CD14 Monocyte-3,CD14 Monocyte-1,0.07948887201220582,"[0.07835636129311153, 0.08002274796214359, 0.08008750678136234]",2977,32
flat,39,CD8 Tem-2,Naive T,0.07662601448494409,"[0.08375072756200251, 0.07137447753764799, 0.07475283835518176]",10548,40
flat,40,Naive T,CD8 + CTL-2,0.07622970281377202,"[0.05444530687200618, 0.08980951844932313, 0.08443428311998677]",17960,40
flat,41,CD4 Monocyte-4,CD14 Monocyte-1,0.07172142854695444,"[0.07238378037400622, 0.07051412628283622, 0.07226637898402088]",1405,35
flat,42,Naive T,CD8 Tem-1,0.06983797549527863,"[0.0667162500590453, 0.06990722651485261, 0.072890449911938]",17960,40
flat,43,CD8 + CTL-1,CD4 + Tcm-1,0.06720776183229718,"[0.06797231394748346, 0.06693562890155924, 0.06671534264784883]",7303,40
flat,44,CD4 + Tcm-2,CD8 + CTL-2,0.06228391564847152,"[0.03952873813916449, 0.07953748270367765, 0.06778552610257242]",16861,39
flat,45,CD4 + Tcm-2,CD8 Tem-1,0.059170039776768636,"[0.05245982345378422, 0.06808636296991291, 0.05696393290660878]",16861,39
flat,46,CD4 + Tcm-1,Naive T,0.0530371488256404,"[0.06102296948397126, 0.048623550929109714, 0.049464926063840266]",70653,40
flat,47,Tcm,CD8 Tem-1,0.04883796853824762,"[0.018628365828779837, 0.09570523385180371, 0.032180305934159305]",2121,36
flat,48,Memory B-1,Plasma,0.04792880117220272,"[0.03556841452617636, 0.04075840834056227, 0.06745958064986952]",23722,40
flat,49,CD4 + Tcm-1,Tcm,0.047196722161713604,"[0.02940718842383694, 0.058192002489497435, 0.05399097557180644]",70653,40
flat,50,CD8 + CTL-2,Naive T,0.04597080418811588,"[0.048362706588862006, 0.045039239869154715, 0.04451046610633092]",4049,33
flat,51,CD16 Monocyte-1,CD16 Monocyte-2,0.04417000900097675,"[0.040991346265740934, 0.04930102681189608, 0.04221765392529322]",14678,40
flat,52,CD8 Tem-1,Cycling T,0.04384046272023435,"[0.05087083984323277, 0.037219128822312035, 0.04343141949515825]",26714,40
flat,53,CD16 Monocyte-1,CD14 Monocyte-2,0.041312279394394996,"[0.04375712514999532, 0.04564067479869897, 0.03453903823449071]",14678,40
flat,54,Tcm,CD4 + Tcm-2,0.0403889136682141,"[0.07853292787963244, 0.020755113220585746, 0.021878699904424103]",2121,36
flat,55,CD8 + CTL-3,Naive T,0.03957123015128134,"[0.04506760381464259, 0.03628359143012901, 0.0373624952090724]",3244,27
flat,56,Tcm,CD8 + CTL-3,0.033868528684506564,"[0.006840615391297082, 0.024203192079066644, 0.07056177858315596]",2121,36
flat,57,CD14 Monocyte-1,pDC,0.03371667554217142,"[0.02161586435409666, 0.03820508146323032, 0.0413290808091873]",29871,40
flat,58,Cycling T,CD8 Tem-1,0.03293697017696511,"[0.03185234496745649, 0.033978001574132825, 0.032980563989306017]",3667,40
flat,59,CD8 + CTL-1,CD8 + CTL-2,0.03074218352904934,"[0.02202334186539416, 0.038552482083215746, 0.0316507266385381]",7303,40
flat,60,CD8 Tem-2,CD8 + CTL-2,0.02942797522236988,"[0.020123096850568373, 0.03522139527005509, 0.03293943354648619]",10548,40
flat,61,CD16 Monocyte-2,cDC2,0.02875680671000456,"[0.03050489575675347, 0.029372658958860248, 0.02639286541439996]",5142,40
flat,62,CD8 + CTL-3,CD4 + Tcm-1,0.028431953573147734,"[0.03221696211032504, 0.026375728828297397, 0.026703169780820758]",3244,27
flat,63,CD14 Monocyte-1,CD14 Monocyte-3,0.02815962316451982,"[0.023275850858548285, 0.036803971356163215, 0.024399047278847952]",29871,40
flat,64,CD8 + CTL-3,Tcm,0.02769565893885172,"[0.022405476894351954, 0.031118717908822157, 0.02956278201338105]",3244,27
flat,65,Atypical Memory B,Memory B-1,0.027527281416963242,"[0.028002792597851274, 0.027166073344546328, 0.027412978308492104]",781,34
flat,66,CD16 Monocyte-1,pDC,0.02717510962536973,"[0.016632996524733185, 0.031592510761642524, 0.03329982158973349]",14678,40
flat,67,CD4 + Tcm-2,CD8 Tem-2,0.026715021502789277,"[0.025687710097913277, 0.029746110877264226, 0.024711243533190333]",16861,39
flat,68,CD8 Tem-1,CD4 + Tcm-2,0.02418235311074521,"[0.024650139501826793, 0.02435483164475472, 0.023542088185654113]",26714,40
flat,69,Memory B-2,GCB,0.02288769555019791,"[0.019321404321110507, 0.026879605263135285, 0.022462077066347938]",2130,33
flat,70,pDC,cDC2,0.021891123403482104,"[0.022121256526023432, 0.0257633881311879, 0.017788725553234967]",2615,40
flat,71,cDC2,CD16 Monocyte-2,0.021526426374055385,"[0.02157804824315494, 0.022380778359371484, 0.020620452519639745]",7376,40
flat,72,cDC2,pDC,0.0213704576576758,"[0.019163615678873067, 0.01676642132289468, 0.02818133597125966]",7376,40
flat,73,CD4 Monocyte-4,CD16 Monocyte-1,0.021000656301102344,"[0.020224891992658922, 0.02168689756240871, 0.021090179348239424]",1405,35
flat,74,CD4 + Tcm-2,CD8 + CTL-3,0.02009980702974868,"[0.013917435446073982, 0.01663795469719375, 0.029744030945978307]",16861,39
flat,75,cDC2,CD14 Monocyte-2,0.019813425725808218,"[0.019975566369948978, 0.0198151657807479, 0.01964954502672777]",7376,40
flat,76,Naive T,CD8 Tem-2,0.019086646946460718,"[0.017299108656579364, 0.02167989419457629, 0.01828093798822649]",17960,40
flat,77,GCB,Atypical Memory B,0.01860781910976238,"[0.0178123202250774, 0.01644537039690635, 0.0215657667073034]",3283,31
flat,78,Tcm,Naive T,0.017641315548995517,"[0.03847705364469638, 0.006073953898519889, 0.008372939103770285]",2121,36
flat,79,CD4 + Tcm-2,Cycling T,0.01631504605183934,"[0.01834231315126397, 0.014555258378464636, 0.016047566625789416]",16861,39
flat,80,CD14 Monocyte-3,cDC2,0.01624446638727395,"[0.023873161412295417, 0.008908665156820463, 0.01595157259270598]",2977,32
flat,81,CD8 + CTL-1,CD8 Tem-1,0.016075299833254113,"[0.01323315114181045, 0.019119460424971525, 0.015873287932980366]",7303,40
flat,82,CD4 + Tcm-1,CD8 Tem-2,0.016006813002715944,"[0.016890330088124343, 0.01895331483137127, 0.012176794088652214]",70653,40
flat,83,Naive T,Cycling T,0.015970527772506776,"[0.016474697108064915, 0.014853950155851666, 0.016582936053603746]",17960,40
flat,84,CD4 + Tcm-2,Tcm,0.01530951394192818,"[0.010330519076516635, 0.016926792003974612, 0.018671230745293293]",16861,39
flat,85,CD8 + CTL-2,CD4 + Tcm-1,0.015168764004270245,"[0.015576900342938264, 0.01487181255761472, 0.015057579112257748]",4049,33
flat,86,Memory B-1,Atypical Memory B,0.01511764464416395,"[0.014289889864398162, 0.014933170841084146, 0.016129873227009536]",23722,40
flat,87,CD8 Tem-2,Cycling T,0.014764716243195732,"[0.01924147782178725, 0.013814570247233936, 0.011238100660566014]",10548,40
flat,88,CD16 Monocyte-2,CD14 Monocyte-2,0.014018987638346971,"[0.011983001494051196, 0.0172598093345765, 0.012814152086413217]",5142,40
flat,89,CD8 Tem-1,Tcm,0.013297767029965895,"[0.008618989591531416, 0.0158705461334993, 0.015403765364866968]",26714,40
flat,90,CD14 Monocyte-2,CD16 Monocyte-2,0.012991370987335183,"[0.012842389539847272, 0.015081958798570874, 0.01104976462358741]",3931,40
flat,91,Naive T,Tcm,0.012471696463048925,"[0.007107248684378638, 0.015465107531472292, 0.014842733173295848]",17960,40
flat,92,CD8 Tem-1,CD8 Tem-2,0.01239013960553925,"[0.016031082710161414, 0.013562950050375222, 0.007576386056081115]",26714,40
flat,93,CD8 + CTL-1,CD8 Tem-2,0.012097457584902318,"[0.012094463534221831, 0.013471576663577466, 0.01072633255690766]",7303,40
flat,94,CD14 Monocyte-3,CD16 Monocyte-2,0.011826283733085821,"[0.011194056679768784, 0.013501920431948162, 0.010782874087540521]",2977,32
flat,95,Naive T,CD8 + CTL-1,0.011349743827821107,"[0.012677745334942342, 0.003961803771783612, 0.017409682376737373]",17960,40
flat,96,CD16 Monocyte-2,CD14 Monocyte-3,0.011317480276146643,"[0.009200219342268785, 0.013038202619559215, 0.01171401886661192]",5142,40
flat,97,CD4 + Tcm-1,CD8 + CTL-3,0.011052178696461218,"[0.008214214783066158, 0.009989193147419124, 0.014953128158898373]",70653,40
flat,98,Cycling T,CD4 + Tcm-2,0.010847991747213853,"[0.010780561590780927, 0.01017971644785815, 0.011583697203002483]",3667,40
flat,99,CD8 + CTL-2,Cycling T,0.009493922132385582,"[0.011873443715017445, 0.00841592381199794, 0.00819239887014136]",4049,33
flat,100,CD4 + Tcm-1,CD8 + CTL-2,0.009207078941932928,"[0.005327185011366076, 0.01265666003252772, 0.009637391781904987]",70653,40
flat,101,CD8 + CTL-1,Tcm,0.009163920840707789,"[0.005336915384064212, 0.011466407542889856, 0.010688439595169302]",7303,40
flat,102,CD8 Tem-1,Naive T,0.009158834184950365,"[0.00909801179993963, 0.00807620625793014, 0.010302284496981326]",26714,40
flat,103,Naive T,CD8 + CTL-3,0.009052970629095112,"[0.00564264069399017, 0.008789336371301328, 0.012726934821993836]",17960,40
flat,104,pDC,CD14 Monocyte-2,0.00863488937491876,"[0.009274327722327617, 0.00896253471090586, 0.007667805691522801]",2615,40
flat,105,CD14 Monocyte-2,cDC2,0.008567369843601026,"[0.010502967429032124, 0.008901373521286438, 0.00629776858048451]",3931,40
flat,106,CD4 + Tcm-2,CD8 + CTL-1,0.008139356467573628,"[0.007811970329211117, 0.0036879506885285126, 0.012918148384981254]",16861,39
flat,107,CD8 + CTL-1,CD8 + CTL-3,0.008128096599031479,"[0.005574326052565132, 0.008490882078710526, 0.010319081665818776]",7303,40
flat,108,CD8 + CTL-2,CD8 Tem-1,0.007974358837739429,"[0.0076283575414748655, 0.008996958361279412, 0.0072977606104640096]",4049,33
flat,109,pDC,CD16 Monocyte-2,0.007919594511920492,"[0.00737175043616655, 0.007821492902898745, 0.008565540196696178]",2615,40
flat,110,CD4 Monocyte-4,CD16 Monocyte-2,0.0060569243576388265,"[0.00629058025625519, 0.005894491462604703, 0.005985701354056584]",1405,35
flat,111,CD8 Tem-2,Tcm,0.0059367657021962734,"[0.004212312649645857, 0.006751866517002088, 0.006846117939940875]",10548,40
flat,112,CD8 + CTL-3,CD8 Tem-2,0.005852581751830732,"[0.005073062535594978, 0.007244935029528418, 0.0052397476903688]",3244,27
flat,113,CD8 Tem-2,CD8 + CTL-3,0.0055942906998220744,"[0.003378787893285394, 0.0058211640298009015, 0.007582920176379926]",10548,40
flat,114,CD14 Monocyte-3,CD16 Monocyte-1,0.005579491907759888,"[0.005173082238001401, 0.006481821249653384, 0.005083572235624879]",2977,32
flat,115,CD14 Monocyte-2,pDC,0.0054887934739083185,"[0.004090520839759965, 0.006539008967903085, 0.005836850614061908]",3931,40
flat,116,CD4 Monocyte-4,CD14 Monocyte-2,0.005290136510687576,"[0.005334658232659604, 0.006022623637051304, 0.004513127662351822]",1405,35
flat,117,CD8 + CTL-3,CD8 + CTL-2,0.004916465912410504,"[0.002247191305693588, 0.00702061823072251, 0.005481588200815415]",3244,27
flat,118,CD4 Monocyte-4,cDC2,0.004816802308853872,"[0.005999483971559722, 0.0034718789146185028, 0.004979044040383392]",1405,35
flat,119,CD8 + CTL-2,CD8 + CTL-1,0.004791195261182977,"[0.005792304787745961, 0.002460812001228941, 0.006120468994574027]",4049,33
flat,120,CD8 + CTL-1,Cycling T,0.004518152541587978,"[0.004843159846229642, 0.004247363490350497, 0.004463934288183797]",7303,40
flat,121,Memory B-1,Memory B-2,0.004508866360101429,"[0.004341315389461011, 0.005333701086652019, 0.0038515826041912588]",23722,40
flat,122,CD8 Tem-2,CD8 + CTL-1,0.004223004224574759,"[0.004640158189603578, 0.002318483364742446, 0.005710371119378253]",10548,40
flat,123,Atypical Memory B,GCB,0.004207691564270686,"[0.0040797608812405154, 0.0046587988406828, 0.0038845149708887448]",781,34
flat,124,cDC2,CD14 Monocyte-3,0.004176002683884958,"[0.003297548420921891, 0.005231830382861209, 0.003998629247871776]",7376,40
flat,125,CD8 + CTL-2,CD8 Tem-2,0.0038391504307665383,"[0.003309555910358547, 0.004167916197643365, 0.004039979184297703]",4049,33
flat,126,CD16 Monocyte-1,CD14 Monocyte-3,0.003570472313970903,"[0.0019189640916250643, 0.005274055351137093, 0.003518397499150552]",14678,40
flat,127,Erythrocyte,platelet,0.003319387523007362,"[0.0045661956820510705, 0.003764144022011655, 0.0016278228649593612]",65,6
flat,128,CD16 Monocyte-2,pDC,0.0033034127415546496,"[0.0025623201697641627, 0.003871726448597848, 0.003476191606301939]",5142,40
flat,129,CD4 Monocyte-4,CD14 Monocyte-3,0.0031226947272558433,"[0.002164991757423616, 0.004183411131803693, 0.0030196812925402227]",1405,35
flat,130,Cycling T,CD8 + CTL-2,0.00308028174962236,"[0.0024248761356148144, 0.004232164843763847, 0.002583804269488419]",3667,40
flat,131,Atypical Memory B,Plasma,0.0028820680503882576,"[0.0023188714495669177, 0.002825261256365442, 0.0035020714452324146]",781,34
flat,132,Memory B-2,Atypical Memory B,0.002821168455571794,"[0.002876947677119308, 0.0023617470048386117, 0.0032248106847574624]",2130,33
flat,133,CD4 + Tcm-1,CD8 + CTL-1,0.002697084152851518,"[0.0018980288400228676, 0.0005676618410986373, 0.00562556177743305]",70653,40
flat,134,Cycling T,Naive T,0.0023227998751116177,"[0.0027901487303444235, 0.0018541412971576567, 0.002324109597832773]",3667,40
flat,135,CD8 + CTL-2,CD8 + CTL-3,0.002178197636121208,"[0.001339826044137046, 0.0028398855525921364, 0.002354881311634441]",4049,33
flat,136,Plasma,Atypical Memory B,0.001971199605601301,"[0.0025486635609194247, 0.0018138663316405001, 0.0015510689242439794]",2173,40
flat,137,CD8 + CTL-3,CD8 + CTL-1,0.0019150367883360858,"[0.0018486714919005104, 0.0005788580087403686, 0.003317580864367378]",3244,27
flat,138,Memory B-2,Plasma,0.0019011587362854354,"[0.0015323779914359873, 0.0016631972757907615, 0.0025079009416295573]",2130,33
flat,139,CD14 Monocyte-1,CD4 Monocyte-4,0.0018432720031708967,"[0.001291061364617532, 0.003632018413651703, 0.0006067362312434548]",29871,40
flat,140,GCB,Plasma,0.0017411468392394501,"[0.0006772169119771238, 0.0018605803587209966, 0.0026856432470202295]",3283,31
flat,141,GCB,Memory B-2,0.0013710488908700155,"[0.0009074951462159298, 0.0015713064890587381, 0.001634345037335378]",3283,31
flat,142,Tcm,Cycling T,0.001310073163690616,"[0.0014163400785907774, 0.0011972427523368352, 0.001316636660144236]",2121,36
flat,143,CD8 + CTL-3,Cycling T,0.0013045539806984501,"[0.0013852782807489846, 0.0010447933056863554, 0.00148359035566001]",3244,27
flat,144,pDC,CD14 Monocyte-3,0.0011759458805338098,"[0.0009269822386106021, 0.0013678190322400066, 0.001233036370750821]",2615,40
flat,145,CD8 Tem-1,CD8 + CTL-2,0.0010907879233530014,"[0.0006564787600223856, 0.0014971789152567353, 0.001118706094779883]",26714,40
flat,146,CD14 Monocyte-3,CD14 Monocyte-2,0.0009585223768827281,"[0.0006928131012329559, 0.0014735642739984057, 0.0007091897554168233]",2977,32
flat,147,Cycling T,CD8 Tem-2,0.0008263751451138375,"[0.0007868098300618315, 0.001021513931843998, 0.0006708016734356828]",3667,40
flat,148,CD4 Monocyte-4,pDC,0.0007749712311989993,"[0.0002734735548287846, 0.0009282792962955189, 0.0011231608424726947]",1405,35
flat,149,Plasma,GCB,0.0007371728923450797,"[0.0006202032091378001, 0.0008472019673205939, 0.000744113500576845]",2173,40
flat,150,Cycling T,Tcm,0.0007261034178725169,"[0.0006223743581764431, 0.0009335615372646647, 0.0006223743581764431]",3667,40
flat,151,CD14 Monocyte-2,CD14 Monocyte-3,0.0006973131716522377,"[0.0004655750282126734, 0.0006321065017227622, 0.0009942579850212778]",3931,40
flat,152,CD8 + CTL-3,CD8 Tem-1,0.0006846226295496594,"[0.0007582191238815839, 0.0006463091814278353, 0.0006493395833395592]",3244,27
flat,153,CD8 Tem-1,CD8 + CTL-3,0.0006786873391204437,"[0.0009348803027303695, 0.0006519093214922784, 0.000449272393138683]",26714,40
flat,154,CD16 Monocyte-1,CD4 Monocyte-4,0.0005763878958703412,"[0.00013608728739034564, 0.0012952477306864393, 0.00029782866953423825]",14678,40
flat,155,Tcm,CD8 + CTL-1,0.0005370605215204049,"[0.00044791012480113957, 0.0005349023803155924, 0.0006283690594444829]",2121,36
flat,156,CD8 Tem-1,CD8 + CTL-1,0.00045988185723792467,"[0.0003849308772700598, 0.00018410246340871438, 0.000810612231035]",26714,40
flat,157,Cycling T,CD8 + CTL-3,0.0004394217559005116,"[0.00040691167837821106, 0.0002663105599438824, 0.0006450430293794415]",3667,40
flat,158,cDC2,CD4 Monocyte-4,0.0003988654813864184,"[0.00024976151720338557, 0.0004995230344067711, 0.0004473118925490987]",7376,40
flat,159,CD8 + CTL-2,Tcm,0.000380455422888816,"[0.00031118717908822156, 0.000363398320945894, 0.00046678076863233234]",4049,33
flat,160,CD16 Monocyte-2,CD4 Monocyte-4,0.00030420261372135797,"[0.00010442228371534485, 0.0007037632737333841, 0.00010442228371534485]",5142,40
flat,161,Cycling T,CD8 + CTL-1,0.0002970092000418885,"[0.000321060053077672, 0.0002065467792098496, 0.00036342076783814396]",3667,40
flat,162,CD14 Monocyte-3,pDC,0.00029625108597791395,"[0.00016366612111292964, 0.0004288360508428983, 0.00029625108597791395]",2977,32
flat,163,Tcm,CD8 Tem-2,0.00027212498170651713,"[0.0, 0.0006530591829487858, 0.00016331576217076566]",2121,36
flat,164,CD14 Monocyte-2,CD4 Monocyte-4,0.00022473256782328186,"[0.0003891894386090109, 0.00023827492529638947, 4.6733339564445275e-05]",3931,40
flat,165,Tcm,CD8 + CTL-2,0.00020896286431017265,"[0.00011110462031309324, 0.0003803070940047081, 0.00013547687861271675]",2121,36
flat,166,CD14 Monocyte-3,CD4 Monocyte-4,0.0001707768611382555,"[8.838997657665621e-05, 0.00042394060683811024, 0.0]",2977,32
flat,167,Plasma,Memory B-2,9.596152448880188e-05,"[0.00015433563735217718, 4.4194988288328104e-05, 8.935394782590036e-05]",2173,40
flat,168,Atypical Memory B,Memory B-2,6.548849424880866e-05,"[0.0, 0.00010553715489365261, 9.092832785277338e-05]",781,34
flat,169,platelet,Erythrocyte,4.3183486634710884e-05,"[0.0, 0.0, 0.00012955045990413266]",1574,38
flat,170,pDC,CD4 Monocyte-4,2.198188692517366e-05,"[0.0, 6.594566077552098e-05, 0.0]",2615,40
hce,1,CD8 Tem-1,CD4 + Tcm-1,2.773960711684784,"[2.855427281455664, 2.707891769921441, 2.758563083677247]",26714,40
hce,2,CD4 + Tcm-1,CD8 Tem-1,0.9444765085233419,"[0.7827548155382851, 1.1065242471726653, 0.9441504628590747]",70653,40
hce,3,CD16 Monocyte-1,CD14 Monocyte-1,0.8482316735877617,"[0.8123579028230469, 0.9424719674200399, 0.7898651505201983]",14678,40
hce,4,CD14 Monocyte-1,CD16 Monocyte-1,0.7076673145307367,"[0.7325324553236752, 0.6236729372952445, 0.7667965509732906]",29871,40
hce,5,CD56 NK,CD16 NK,0.5608162903468858,"[0.54409832819267, 0.5626464805171865, 0.5757040623308012]",38442,40
hce,6,CD8 Tem-2,CD4 + Tcm-1,0.4243084520190183,"[0.4319314402774189, 0.41058995123444497, 0.4304039645451907]",10548,40
hce,7,CD14 Monocyte-2,CD14 Monocyte-1,0.3910408299534754,"[0.39493267797107456, 0.39790683179121594, 0.3802829800981362]",3931,40
hce,8,cDC2,CD16 Monocyte-1,0.3910019539512855,"[0.3987067266213642, 0.3561476825468132, 0.4181514526856789]",7376,40
hce,9,Cycling T,CD4 + Tcm-1,0.39078721362853447,"[0.3946695890084512, 0.3794463183633835, 0.3982457335137688]",3667,40
hce,10,cDC2,CD14 Monocyte-1,0.3891822652859875,"[0.37690615862550375, 0.433302580098086, 0.3573380571343728]",7376,40
hce,11,Naive T,CD4 + Tcm-2,0.38618351414407986,"[0.40926266827723, 0.3615069176052873, 0.3877809565497222]",17960,40
hce,12,CD16 NK,CD56 NK,0.3746182578019856,"[0.3670138908979454, 0.3901733778030174, 0.366667504704994]",58507,40
