actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
32,12.476129933260381,0,1.856994061730802,21.551724137931036,1,xgboost,30,228102,6400,29,32,efe902f7ff6c11bd,5,success,fine,6400,1,15.462755025364459
8,2.4165723584592342,0,0.5525022549554706,7.8,7,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,5,success,coarse,6400,0,4.067746737971902
8,15.140359229408205,0,3.892992035485804,6.241379310344827,1,xgboost,30,228102,6400,29,8,efe902f7ff6c11bd,5,success,fine,6400,1,20.186332230456173
16,2.5248784217983484,0,0.2818098282441497,15.6,14,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,6,success,coarse,6400,0,3.908708960749209
16,11.864442551508546,0,1.824483067728579,12.448275862068966,1,xgboost,30,228102,6400,29,16,efe902f7ff6c11bd,6,success,fine,6400,1,14.79802578035742
32,2.5581041472032666,0,0.27723340690135956,29.2,18,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,6,success,coarse,6400,0,3.999656687490642
32,14.645936938934028,0,3.6654308289289474,21.896551724137932,1,xgboost,30,228102,6400,29,32,efe902f7ff6c11bd,6,success,fine,6400,1,19.519754302687943
8,2.8808148857206106,0,0.2933709640055895,8.0,8,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,6,success,coarse,6400,0,4.27210412081331
8,13.686084932647645,0,1.8281946619972587,6.551724137931035,1,xgboost,30,228102,6400,29,8,efe902f7ff6c11bd,6,success,fine,6400,1,16.63926597405225
16,2.8092017341405153,0,0.3912367019802332,16.0,16,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,7,success,coarse,6400,0,4.299693801440299
16,14.062506224960089,0,3.687101242132485,11.9,1,xgboost,30,228102,6400,30,16,efe902f7ff6c11bd,7,success,fine,6400,0,18.873212717473507
32,2.5936604207381606,0,0.36475860327482224,31.2,28,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,7,success,coarse,6400,0,4.075952542945743
32,14.248306033201516,0,3.6500493930652738,22.333333333333332,1,xgboost,30,228102,6400,30,32,efe902f7ff6c11bd,7,success,fine,6400,0,18.98147709015757
8,2.518261809833348,0,0.2848847256973386,8.0,8,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,7,success,coarse,6400,0,3.8791818199679255
8,17.052448551170528,0,4.086575132794678,6.233333333333333,1,xgboost,30,228102,6400,30,8,efe902f7ff6c11bd,7,success,fine,6400,0,22.213287997990847
16,2.2429435113444924,0,0.2847442151978612,15.6,14,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,8,success,coarse,6400,0,3.6351115945726633
16,14.140655188821256,0,3.746318280696869,12.2,1,xgboost,30,228102,6400,30,16,efe902f7ff6c11bd,8,success,fine,6400,0,18.94605963304639
32,4.223674075677991,0,0.5496201124042273,30.0,22,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,8,success,coarse,6400,0,5.900878527201712
32,14.863399718888104,0,3.7663438646122813,21.866666666666667,1,xgboost,30,228102,6400,30,32,efe902f7ff6c11bd,8,success,fine,6400,0,19.787565920501947
8,2.3336854558438063,0,0.3485654518008232,7.8,7,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,8,success,coarse,6400,0,3.7940628537908196
8,14.22247536573559,0,3.6719817174598575,6.566666666666666,1,xgboost,30,228102,6400,30,8,efe902f7ff6c11bd,8,success,fine,6400,0,18.975456207059324
16,2.414698716253042,0,0.5874196477234364,15.8,15,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,9,success,coarse,6400,0,4.196246621198952
16,13.536171222105622,0,3.7164119137451053,12.25,2,xgboost,30,228102,6400,28,16,efe902f7ff6c11bd,9,success,fine,6400,2,18.342220790684223
32,3.5926319686695933,0,0.5739774759858847,30.4,24,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,9,success,coarse,6400,0,5.288723599165678
