donor_id,pool,sex,n_valid_cells
358_359,33,female,1278
359_360,33,male,1725
360_361,32,female,1253
361_362,32,female,2398
363_364,32,female,1568
364_365,32,female,1571
365_366,32,female,1437
366_367,32,male,1687
367_368,32,female,1428
368_369,34,female,1098
369_370,41,female,1634
370_371,21,female,1352
371_372,21,female,1369
372_373,21,female,1142
373_374,21,female,1170
374_375,21,female,812
376_377,21,male,1236
377_378,21,female,1558
378_379,21,female,1495
379_380,21,female,1551
380_381,22,male,1201
381_382,41,female,1349
382_383,41,female,1420
384_385,76,male,1721
385_386,53,female,1105
386_387,53,male,916
387_388,35,male,1331
388_389,35,female,1326
389_390,35,male,1157
390_391,35,female,1211
391_392,38,female,1168
392_393,39,female,1617
393_394,38,male,1286
394_395,34,male,1139
396_397,34,female,1399
398_399,34,female,1054
399_400,34,female,1169
400_401,35,male,1158
402_403,35,male,1726
403_404,35,female,1419
404_405,36,female,1687
405_406,30,female,873
406_407,30,female,1069
407_408,39,male,1422
408_409,37,female,1086
409_410,36,female,1555
410_411,35,male,1083
411_412,36,female,1412
412_413,35,male,1539
413_414,35,female,1060
414_415,35,female,1110
415_416,34,male,1587
416_417,34,male,1198
417_418,34,male,1384
418_419,34,male,1061
419_420,34,female,1080
420_421,37,female,1515
421_422,37,male,1156
422_423,33,female,1380
423_424,33,male,1113
424_425,33,female,1569
425_426,33,female,1610
426_427,33,female,1220
427_428,33,male,1190
428_429,33,male,1372
429_430,33,male,1088
431_432,31,female,1342
432_433,31,male,1219
433_434,31,male,1488
434_435,32,female,989
435_436,32,male,1149
436_437,32,male,1139
437_438,32,female,1110
438_439,32,female,1067
439_440,32,male,1105
441_442,33,male,1202
442_443,34,male,1321
443_444,30,female,1022
445_446,30,female,985
446_447,30,female,1226
447_448,31,male,966
448_449,31,female,1302
449_450,31,female,857
450_451,31,male,1414
451_452,31,male,1078
452_453,31,male,928
453_454,30,female,1104
454_455,30,male,1324
455_456,30,female,1779
456_457,30,male,1242
457_458,30,male,1610
458_459,30,female,1406
459_460,30,female,1247
460_461,31,female,1178
461_462,31,female,1334
462_463,31,female,1443
463_464,31,female,1164
464_465,31,female,1402
465_466,54,male,1154
466_467,45,female,1296
467_468,45,female,1626
468_469,45,female,1085
469_470,45,male,1461
470_471,49,male,1098
471_472,45,female,1363
472_473,45,male,1153
473_474,46,female,1711
474_475,46,female,869
475_476,76,male,1467
476_477,76,male,1828
477_478,76,female,1712
478_479,41,male,1424
479_480,41,male,1062
480_481,41,male,1511
481_482,41,female,1181
482_483,41,male,1498
483_484,41,male,1490
484_485,41,female,1418
485_486,38,female,1550
486_487,37,female,2021
487_488,37,male,1102
488_489,37,male,1871
489_490,37,male,1326
490_491,37,male,1294
491_492,76,male,842
492_493,39,female,1247
