scope,bundle_id,outer_fold,seed,patient_budget,cell_cap,model,task,accuracy,balanced_accuracy,fit_time_sec,inference_time_sec,macro_f1,n_evaluation_classes,n_observed_training_classes,n_train_cells,n_test_cells,peak_rss_mb
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,coarse,0.9828163356393662,0.94145322638401,0.028005782514810562,0.047336106188595295,0.9522765171135781,5,5,800,165797,1237.37109375
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,fine,0.7603092938955469,0.49414991299907085,0.09303353726863861,0.09283069334924221,0.4954488468925237,39,36,800,165797,1237.37109375
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,coarse,0.9888055875558666,0.9400065634080521,0.027364956215023994,0.047033244743943214,0.9566741251119009,5,5,800,165797,1237.546875
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,fine,0.7550619130623594,0.474224939787792,0.09216215647757053,0.08752382267266512,0.48366173941658236,39,36,800,165797,1237.546875
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,coarse,0.9847524382226458,0.8125892512390536,0.022076361812651157,0.049998460337519646,0.8239457106123217,5,5,800,165797,1237.48828125
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,fine,0.7639161142843357,0.4797339831853732,0.09264515619724989,0.48537057638168335,0.471575975050352,39,34,800,165797,1237.48828125
outer_fold,fold0_seed03_P8_C100_logistic_regression,0,3,8,100,logistic_regression,coarse,0.9900963226113862,0.9736072699529441,0.050894477404654026,0.057156164199113846,0.9769864091441851,5,5,800,165797,1238.140625
outer_fold,fold0_seed03_P8_C100_logistic_regression,0,3,8,100,logistic_regression,fine,0.749730091618063,0.49547634506084864,0.12351042684167624,0.09589697141200304,0.4914334951636503,39,35,800,165797,1238.140625
outer_fold,fold0_seed04_P8_C100_logistic_regression,0,4,8,100,logistic_regression,coarse,0.9847403752782017,0.948300323963821,0.022903998382389545,0.04686215799301863,0.9559183967278653,5,5,800,165797,1238.7734375
outer_fold,fold0_seed04_P8_C100_logistic_regression,0,4,8,100,logistic_regression,fine,0.7401581452016622,0.4880605975168568,0.08810317702591419,0.08812778256833553,0.48097002808522077,39,36,800,165797,1238.7734375
