job_id,outer_fold,seed,patient_budget,cell_cap,model,task,start_time,end_time,exit_status,log_path,output_path,error
fold0_seed07_P8_C100_logistic_regression_fine,0,7,8,100,logistic_regression,fine,2026-09-08T22:21:22.104959+00:00,2026-09-08T22:21:25.950074+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed07_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed07_P8_C100_logistic_regression.npz,
fold0_seed08_P8_C100_logistic_regression_coarse,0,8,8,100,logistic_regression,coarse,2026-09-08T22:21:22.961424+00:00,2026-09-08T22:21:31.376641+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed08_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed08_P8_C100_logistic_regression.npz,
fold0_seed08_P8_C100_logistic_regression_fine,0,8,8,100,logistic_regression,fine,2026-09-08T22:21:22.961424+00:00,2026-09-08T22:21:31.376641+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed08_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed08_P8_C100_logistic_regression.npz,
fold0_seed09_P8_C100_logistic_regression_coarse,0,9,8,100,logistic_regression,coarse,2026-09-08T22:21:22.244249+00:00,2026-09-08T22:21:27.446597+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed09_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed09_P8_C100_logistic_regression.npz,
fold0_seed09_P8_C100_logistic_regression_fine,0,9,8,100,logistic_regression,fine,2026-09-08T22:21:22.244249+00:00,2026-09-08T22:21:27.446597+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed09_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed09_P8_C100_logistic_regression.npz,
fold0_seed10_P8_C100_logistic_regression_coarse,0,10,8,100,logistic_regression,coarse,2026-09-08T22:21:22.303156+00:00,2026-09-08T22:21:25.993413+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed10_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed10_P8_C100_logistic_regression.npz,
fold0_seed10_P8_C100_logistic_regression_fine,0,10,8,100,logistic_regression,fine,2026-09-08T22:21:22.303156+00:00,2026-09-08T22:21:25.993413+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed10_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed10_P8_C100_logistic_regression.npz,
fold0_seed11_P8_C100_logistic_regression_coarse,0,11,8,100,logistic_regression,coarse,2026-09-08T22:21:22.671015+00:00,2026-09-08T22:21:26.406463+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed11_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed11_P8_C100_logistic_regression.npz,
fold0_seed11_P8_C100_logistic_regression_fine,0,11,8,100,logistic_regression,fine,2026-09-08T22:21:22.671015+00:00,2026-09-08T22:21:26.406463+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed11_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed11_P8_C100_logistic_regression.npz,
fold0_seed12_P8_C100_logistic_regression_coarse,0,12,8,100,logistic_regression,coarse,2026-09-08T22:21:22.632443+00:00,2026-09-08T22:21:25.880508+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed12_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed12_P8_C100_logistic_regression.npz,
