patient_budget,cell_cap,model,task,n_unique_resampling_seeds,interval_kind,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_min,macro_f1_max,macro_f1_q025,macro_f1_q975,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,accuracy_q025,accuracy_q975,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_q025,balanced_accuracy_q975,patient_balanced_macro_f1_mean,patient_balanced_macro_f1_std,patient_balanced_macro_f1_median,patient_balanced_macro_f1_min,patient_balanced_macro_f1_max,patient_balanced_macro_f1_q025,patient_balanced_macro_f1_q975,mean_patient_macro_f1_mean,mean_patient_macro_f1_std,mean_patient_macro_f1_median,mean_patient_macro_f1_min,mean_patient_macro_f1_max,mean_patient_macro_f1_q025,mean_patient_macro_f1_q975,exact_path_accuracy_mean,exact_path_accuracy_std,exact_path_accuracy_median,exact_path_accuracy_min,exact_path_accuracy_max,exact_path_accuracy_q025,exact_path_accuracy_q975,root_excluded_hierarchical_f1_mean,root_excluded_hierarchical_f1_std,root_excluded_hierarchical_f1_median,root_excluded_hierarchical_f1_min,root_excluded_hierarchical_f1_max,root_excluded_hierarchical_f1_q025,root_excluded_hierarchical_f1_q975,subtype_tree_distance_mean,subtype_tree_distance_std,subtype_tree_distance_median,subtype_tree_distance_min,subtype_tree_distance_max,subtype_tree_distance_q025,subtype_tree_distance_q975
8,100,logistic_regression,coarse,20,empirical_seed_interval,0.9508509275347293,0.010100861638331172,0.9507976912345415,0.9244336778117669,0.9658578274028662,0.9326502642153728,0.9657371176304256,0.9877515677045723,0.0011539917924192394,0.987765196815783,0.9856616041535251,0.9895990615179547,0.9856988879786958,0.989435012687204,0.939291370476685,0.01364791339981641,0.9387494832565926,0.9034633906364217,0.9596855462750182,0.9142393222908999,0.9593888351309209,0.9535436955055147,0.00978335965727089,0.9539865784629507,0.9280368875984075,0.9673672680039257,0.9342029842417952,0.9672466274867718,0.9341154840456809,0.014210735480259359,0.9337375437330582,0.90637491648294,0.9585163934184233,0.9073896720714363,0.9566107855659691,0.7524625163763404,0.005007801970727972,0.7542706927013612,0.7408085559421498,0.7596623976389527,0.7426503769055781,0.7587574175189024,0.871627544219687,0.002664049637851831,0.8728578747720157,0.8651010552214481,0.8754092301193368,0.8662534643630853,0.8748123499727418,0.523345454441663,0.011031747092334154,0.5206334753805448,0.5064720439099993,0.548138591648994,0.5090317479798946,0.5441295636115575
8,100,logistic_regression,fine,20,empirical_seed_interval,0.4856433268176592,0.010362056497176525,0.4855375412509742,0.46763035530611946,0.5075830762068289,0.46958501247085144,0.5056092591061229,0.7555035207348019,0.0049304534063321,0.7569679723022209,0.744540506289371,0.7620285826009767,0.746072532560018,0.7616442202578543,0.46428827018886676,0.011300703573768866,0.46324338418238303,0.44238966092795706,0.48507086817982525,0.44535194080484736,0.4845779641981479,0.488180695554491,0.011104103526416368,0.48738019257115,0.4719462742613351,0.5135397734718682,0.47247602281079465,0.5089401364777211,0.4284993132116644,0.00864645486589876,0.429679223129647,0.41602392786887876,0.4480901490627762,0.4160802096454053,0.4430980826006917,0.7524625163763404,0.005007801970727972,0.7542706927013612,0.7408085559421498,0.7596623976389527,0.7426503769055781,0.7587574175189024,0.871627544219687,0.002664049637851831,0.8728578747720157,0.8651010552214481,0.8754092301193368,0.8662534643630853,0.8748123499727418,0.523345454441663,0.011031747092334154,0.5206334753805448,0.5064720439099993,0.548138591648994,0.5090317479798946,0.5441295636115575
8,200,logistic_regression,coarse,20,empirical_seed_interval,0.9632257999402108,0.004944306201947235,0.9639268809963198,0.9509291386439254,0.9715759200022698,0.9533662476431963,0.9704159845565131,0.988203825855637,0.0017008775161170345,0.9885308531680905,0.9842016480521074,0.9906251694719326,0.9847100638498885,0.9903235094319158,0.9662985854860994,0.007089827925248137,0.9672053311099981,0.9461998256435266,0.9762939956584564,0.9518125611971832,0.975542565144299,0.9669379058471843,0.004355499308672888,0.9677773915429475,0.9575624575441383,0.9746496184337856,0.9577805683209165,0.9732913484057416,0.9517855536217354,0.006874352094559056,0.9541340814030332,0.9331539702477493,0.9602392568538184,0.9359016351678852,0.9590916603753504,0.7568628640257111,0.005248024358380334,0.7569558416796773,0.7468253447237501,0.766134441548952,0.7480638456071448,0.764978642968663,0.8743797684050086,0.0027973235197901493,0.874275373694531,0.8693881599415447,0.8789998943922273,0.8699260638555971,0.8785965511926542,0.509518970866526,0.010780045703003461,0.509840075580914,0.4912902130137319,0.5302680439442505,0.49270564259475447,0.5268989419242878
8,200,logistic_regression,fine,20,empirical_seed_interval,0.5313179335233368,0.011246789133948523,0.5303521180373796,0.5098734990765977,0.5550318479450345,0.5117550884857107,0.5510297554370824,0.7605557109543801,0.004874791544617802,0.7612614991166053,0.7504873655998379,0.7691328460153045,0.7524464611406211,0.7678970566828313,0.517763950601026,0.01205158779532574,0.5158066364638644,0.49402542284818335,0.5399071631456922,0.4965631733576619,0.5368832034635638,0.5344242517885199,0.010994935857070263,0.5322905010585457,0.5172474237661966,0.5603302214045087,0.5179655824827789,0.5573308203426821,0.47239705448720504,0.006549542013959763,0.47274193094566286,0.4571389278634455,0.4811714915564831,0.4593036473823558,0.48081317183217664,0.7568628640257111,0.005248024358380334,0.7569558416796773,0.7468253447237501,0.766134441548952,0.7480638456071448,0.764978642968663,0.8743797684050086,0.0027973235197901493,0.874275373694531,0.8693881599415447,0.8789998943922273,0.8699260638555971,0.8785965511926542,0.509518970866526,0.010780045703003461,0.509840075580914,0.4912902130137319,0.5302680439442505,0.49270564259475447,0.5268989419242878
8,400,logistic_regression,coarse,20,empirical_seed_interval,0.9647965440834941,0.006261521415967184,0.9649536819184263,0.9442290065425694,0.9730472027792985,0.9515257977312083,0.9718031582714902,0.9874550810182873,0.0017146373913444733,0.9871358315755824,0.9841088844679509,0.989590498725571,0.9845989972970118,0.9895654168795472,0.9748571099014851,0.007610075721064667,0.9764473478214671,0.9489610618906037,0.9830757759662616,0.9571678820176636,0.9829741564905418,0.9693691065222471,0.005324878473611874,0.9701383326107107,0.9537360197831447,0.9763410569304465,0.9576376234999622,0.9759032509967207,0.952053401393066,0.006729748849735775,0.9524808511501088,0.9275423332920715,0.9591413708749967,0.9369647324336865,0.958810979607777,0.7538195762559476,0.005869862778544872,0.7553331925229696,0.7440010503691991,0.7633072929302732,0.7443189797147448,0.7623379134758372,0.8728496330843465,0.003223255854036469,0.8735682297568452,0.8672702959586475,0.8778303596658228,0.8675909368551147,0.8774246438591935,0.5141761309308042,0.0117049880799955,0.5104023656141092,0.49767234760370255,0.5342868478363251,0.497897406330187,0.5333689878493976
8,400,logistic_regression,fine,20,empirical_seed_interval,0.5625758838232181,0.01072925309808527,0.5630010363730698,0.5443594550803689,0.5811894179083248,0.5457328080532338,0.5790872639357841,0.7582441851504055,0.005226543274498219,0.7597137743932548,0.7490559521396991,0.7660702206060744,0.7493589679551766,0.7654208041603754,0.5576320431192202,0.01066238469974996,0.5580760732657095,0.5383809001590049,0.5792845661726507,0.5401335364070488,0.5747251098746484,0.5661875510299688,0.010832678381134261,0.5657819563634003,0.5502360894531966,0.5838414397666425,0.5506518331135872,0.5831675475439401,0.49993292176135873,0.0059736766331425556,0.4996796842264687,0.48449179528430797,0.508011040064753,0.48840265768256347,0.5077235891745411,0.7538195762559476,0.005869862778544872,0.7553331925229696,0.7440010503691991,0.7633072929302732,0.7443189797147448,0.7623379134758372,0.8728496330843465,0.003223255854036469,0.8735682297568452,0.8672702959586475,0.8778303596658228,0.8675909368551147,0.8774246438591935,0.5141761309308042,0.0117049880799955,0.5104023656141092,0.49767234760370255,0.5342868478363251,0.497897406330187,0.5333689878493976
8,800,logistic_regression,coarse,20,empirical_seed_interval,0.9619090603088132,0.007355247773578937,0.9642032566495073,0.9393687420808376,0.9700982784569614,0.9448473990154908,0.9700892181318428,0.9849180683482089,0.002772189635255126,0.9852377459305329,0.9793508261667518,0.9888897768821732,0.9797094287761201,0.9887189491741187,0.9784907972752952,0.004560972922018363,0.9797613233781001,0.9672182065892706,0.9841025682383389,0.9689808499255878,0.9837663124036816,0.9669191035755293,0.0072699983623634775,0.9691633621183144,0.9430217980994493,0.9748477658258443,0.9499898288992,0.9745402404574675,0.9493864879462907,0.005107695866139982,0.9507340809763951,0.9394708015446619,0.9574873577965315,0.9398258350037966,0.9571841752815708,0.7437921182350373,0.006394569292400484,0.7433410017896236,0.7304647027426624,0.7530761831638376,0.7322122973115687,0.7529677211269776,0.8673730851455532,0.003838256890952203,0.8672232006005371,0.8593304467208787,0.8730309145347692,0.8602388162795809,0.8728577142196585,0.5333029829914401,0.013077161737585137,0.5336774624450198,0.5126543800110175,0.5603605506446355,0.5136305383427572,0.5583797626964804
8,800,logistic_regression,fine,20,empirical_seed_interval,0.5842112323951205,0.009657702708303,0.5844429484388735,0.5641132602458167,0.5981174836811319,0.5649041553045936,0.5978721354627877,0.7498281019428975,0.005271994213163516,0.7495832774373274,0.7393100672750055,0.7584935764785802,0.7405092506700385,0.7578658524402531,0.5892473182829301,0.008547143502946188,0.59153653736126,0.5713884981243562,0.6007177493241884,0.5715010554591996,0.5994564724611094,0.5878759829056691,0.01027386950663349,0.5885460555667856,0.5651905255109022,0.6017086361869435,0.568205666917042,0.6015423929787651,0.5172223290444216,0.00457815994246922,0.5176652222706327,0.5073360993000154,0.5262127961797772,0.5082280224311647,0.5247758884216541,0.7437921182350373,0.006394569292400484,0.7433410017896236,0.7304647027426624,0.7530761831638376,0.7322122973115687,0.7529677211269776,0.8673730851455532,0.003838256890952203,0.8672232006005371,0.8593304467208787,0.8730309145347692,0.8602388162795809,0.8728577142196585,0.5333029829914401,0.013077161737585137,0.5336774624450198,0.5126543800110175,0.5603605506446355,0.5136305383427572,0.5583797626964804
8,1600,logistic_regression,coarse,20,empirical_seed_interval,0.9606033917261374,0.007491808086194895,0.9619118716971433,0.9381464777912589,0.9702557610244955,0.9443786741408708,0.9692839804978004,0.9810623856510432,0.003856253249914638,0.9805403407420517,0.9723978387512023,0.9868361338421535,0.9740959475157912,0.9863107708511131,0.9793448272594206,0.003763616421524966,0.9797916315562957,0.9712372221686643,0.9848510489266635,0.9725034571093274,0.984513139863318,0.9654232216933478,0.007770103109364816,0.9665468453210704,0.9415612456359181,0.9738036720774834,0.9480035296229952,0.9736079582020228,0.9479931961405818,0.005918667193741194,0.9491942787670162,0.9313356332506534,0.9550676824833177,0.9353201463940437,0.9547504683643011,0.7249202233176253,0.007259326206132737,0.7229422896335982,0.7123743767000711,0.738195477133063,0.7144175303194207,0.7377738309647699,0.8570235590961115,0.004441332938555728,0.8557932999003861,0.8512122059751165,0.8648377493556498,0.8514477719614217,0.8648136843412215,0.5686312090948272,0.01479183068583671,0.5717376474584206,0.5441654559829657,0.5914063815637371,0.5448053820004395,0.5901211064269466
8,1600,logistic_regression,fine,20,empirical_seed_interval,0.6005831593919482,0.009234669500481681,0.6031196260075478,0.5742237376130058,0.6112752585195634,0.5799129990882894,0.6107212117651142,0.73298473254118,0.00631745081029361,0.7322564670489478,0.7204419542575631,0.7439453922187051,0.7224505356026636,0.7433718991988081,0.623783465359384,0.00844224825408739,0.6267241941029583,0.6027780966394839,0.6336377841025838,0.6050462612026418,0.6326813136810455,0.6043056505709442,0.00936558517825298,0.6066319906639901,0.576225665095181,0.6151880954664468,0.5842517114781594,0.6148809514915271,0.530470866952401,0.005062575816256832,0.5302966419896085,0.5200409858886447,0.5397718968531289,0.5208255259378601,0.5397142388348505,0.7249202233176253,0.007259326206132737,0.7229422896335982,0.7123743767000711,0.738195477133063,0.7144175303194207,0.7377738309647699,0.8570235590961115,0.004441332938555728,0.8557932999003861,0.8512122059751165,0.8648377493556498,0.8514477719614217,0.8648136843412215,0.5686312090948272,0.01479183068583671,0.5717376474584206,0.5441654559829657,0.5914063815637371,0.5448053820004395,0.5901211064269466
16,100,logistic_regression,coarse,20,empirical_seed_interval,0.9684775662318831,0.0037727352840725937,0.9699711711560661,0.9594989334603724,0.9727599228924877,0.9607263419507998,0.9725566003274838,0.988900908512272,0.0011998397746359767,0.9889069024669405,0.9864094213550334,0.9911717610524242,0.9867680239644017,0.9909982217934483,0.9709267566014143,0.007039819964760558,0.9742360808115305,0.9576885397555405,0.9792725405837054,0.9594127804808709,0.9792087275022578,0.9710214693080106,0.004404057493328473,0.9726289518658708,0.9617100538942893,0.9760536576185423,0.9623030052405951,0.9758936715991716,0.956504563039271,0.0044700897692958805,0.958064126206166,0.946399590696769,0.96143363822308,0.9465539184841751,0.9614153124197774,0.7606075158483017,0.003727922916989093,0.7595360964512934,0.7543962803229886,0.7696523220865813,0.7555941079425608,0.7677901644912417,0.876419568264008,0.0020118308742644807,0.8760667812178003,0.8734362200409301,0.8816729127479999,0.873993104811433,0.8804706788581802,0.5011648251905935,0.008116116373692977,0.5047566311691352,0.4813716451693007,0.5112529363242215,0.48477193002486063,0.5100096902267142
