model,task,metric,effect_type,fixed_axis,fixed_value,n_paired_seeds,mean,std,median,q025,q975,min,max,fraction_positive
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.021026257171491758,0.009543998340940397,0.01920721554120941,0.00856414617369439,0.03971806574683085,0.00776827987883788,0.04743644399655056,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.00859394665189584,0.005513843243007013,0.007871900656334085,-0.0004581273212887621,0.02025697546501767,-0.0008109705145331603,0.020885894354558898,0.9
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.009436387076074753,0.005812043343241699,0.010160721398402628,0.0010276101462354831,0.020683757882577133,0.0006919780997177716,0.027408991451296272,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.015470950274615647,0.0070379762402814966,0.013603820882737427,0.0072747363640897015,0.03190248143617656,0.007100875096800685,0.03707409199142442,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.01843432191713552,0.0071426276208292295,0.017504722080972035,0.010545097945980469,0.034168843481366715,0.008871561135140205,0.04153978112626122,1.0
logistic_regression,coarse,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.014592372618242705,0.0053822256366288495,0.013474088772079305,0.007082180452467993,0.025712719867636413,0.006150854608966183,0.026098376256037815,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.021615048634754254,0.009473327646502506,0.018880969655189983,0.009225594098480108,0.039972190824329956,0.00911784480012967,0.046581638555095006,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.008536351426068822,0.004917897130978781,0.007872668968005092,0.0009316712387676702,0.019618516587003962,0.0005900140558319222,0.020434093071114656,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.008522010760271065,0.005097107461014468,0.008301476419617648,0.001408501778824811,0.01883181202757903,0.00128383261478493,0.022598727419651077,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.013703021016919203,0.006932988091234686,0.01230321695475578,0.006319297967225523,0.03006167899409677,0.00618716803386421,0.03604744425772377,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.016617766672386302,0.007352591136667542,0.015193860251136615,0.008814278381424961,0.03325224933225734,0.008443486502595854,0.04085184504654893,1.0
logistic_regression,coarse,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.01379883970207993,0.005171650429960035,0.012720426067908842,0.0071103212691606115,0.025363175874741926,0.005975008019023953,0.026152491235347373,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.08986824457518085,0.011665245188921952,0.09038303878501874,0.07237613692300597,0.10953227037537688,0.06957262249372986,0.10980011507998733,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.06412598562448521,0.011426044714135214,0.06200010427731928,0.04644203131312599,0.08678487340076572,0.04454973510563598,0.08698638056006514,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.04851508769826411,0.009344744477169731,0.047964656218490886,0.033646524688444646,0.06401410515315031,0.03138927380210099,0.06578609721904383,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.0456873366795226,0.009734882056885795,0.04352646415848438,0.034336211365333574,0.06752595174403311,0.033913910187528096,0.06990090484668654,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.05314180781722342,0.00980652562335372,0.049083146037870395,0.04353274508769186,0.07598726200225937,0.04287075128540052,0.08080578468672606,1.0
logistic_regression,fine,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.06026769247893524,0.008621456331944204,0.05844419314981329,0.049043413170612817,0.07741654828840179,0.04831970079362069,0.07883479686840203,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.09089305198105133,0.011644272850177185,0.0891529857713817,0.07186489537683376,0.10990978583171453,0.069039913377413,0.11121188287904266,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.06473993896774002,0.011467212868014368,0.06401428416296057,0.04429958394201607,0.08537432355708033,0.042546854386414035,0.08582975461366149,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.04868604811611406,0.009559345291845942,0.04801744024456217,0.03380526026872823,0.0646655918283902,0.03234906562086315,0.06571809129886907,1.0
