model,task,metric,term,estimate,cluster_seed_bootstrap_q025,cluster_seed_bootstrap_q975,standardized_estimate,standardized_bootstrap_q025,standardized_bootstrap_q975,n_subset_seeds,outer_fold_adjustment,interpretation
logistic_regression,coarse,macro_f1,intercept,0.9517411277491671,0.9477553899957064,0.9557215187954555,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_patient_budget,0.008947184184505793,0.007088296515948824,0.010960348614109,0.41092986334120635,0.3255541250246085,0.5033912866091926,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_cells_per_patient,0.002576389502728832,0.0015657401283107654,0.0035085871532484834,0.2049526199483254,0.12455513466253004,0.2791092451718465,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,interaction,-0.000603648912600984,-0.0011362347385083682,-7.225478383797863e-05,-0.08317388802303678,-0.1565563342131753,-0.009955640065968647,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,intercept,0.9610004099339265,0.9585081510183494,0.9633487171731586,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_patient_budget,0.007382209284428594,0.006051313833351444,0.008766407155063057,0.7242503026467373,0.5936794401724149,0.8600505337299414,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_cells_per_patient,0.001971143335874022,0.0011482266151580114,0.0027921182342273937,0.33495091273903604,0.19511495981995394,0.47445689717692974,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,interaction,-0.00024139471669424453,-0.0006422090316122766,0.00015925867663386494,-0.07104791664139162,-0.18901662127978852,0.04687342513893121,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,intercept,0.9439128016503091,0.9404609115477214,0.9474466419516426,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_patient_budget,0.007722171540384985,0.005660280750082719,0.009850184363383044,0.6800954306255196,0.4985036986107835,0.8675105624527181,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_cells_per_patient,0.001938881885650372,0.0009798641322813282,0.002905902512848142,0.29576201247832756,0.1494709862749809,0.4432738175680582,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,interaction,-0.00014701890015864834,-0.0007090513983708302,0.0004049164229753052,-0.03884407968299346,-0.18733951204867783,0.10698356321556393,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,macro_f1,intercept,0.48886543646752767,0.48350302703311016,0.494140713320484,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_patient_budget,0.042879462854996456,0.040799766541163594,0.045042493445872606,0.7402530522013145,0.704350047791659,0.7775947045983036,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_cells_per_patient,0.028845153566066484,0.027943897245461577,0.029707306473531776,0.8625104252340475,0.8355616010390438,0.8882900026986463,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,interaction,-0.005165420155240725,-0.005674373046505932,-0.004695570267590778,-0.267520937616427,-0.2938799850088678,-0.24318706375806143,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,intercept,0.5027400091717996,0.4979751352454807,0.5075328690305023,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_patient_budget,0.039642806131652567,0.03722643855198633,0.04216726962191903,0.7624716007954653,0.715996291997703,0.811025976895403,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_cells_per_patient,0.027360656798621548,0.026045976127579893,0.02861259935690852,0.9114785016577842,0.8676819226129469,0.9531850562769889,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,interaction,-0.004557984081222228,-0.005213068551077499,-0.0039138995592668275,-0.2629985430850896,-0.30079732827158934,-0.22583446179841168,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,intercept,0.4435941413502257,0.44034467375905134,0.4466131296515847,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_patient_budget,0.03452461823518269,0.03288999848431807,0.03628322797120327,0.785134188606835,0.7479608347109781,0.8251272341131148,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_cells_per_patient,0.023607207636406183,0.022906392357765,0.024315462278536183,0.9298657496706809,0.9022612936718537,0.9577632352143041,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,interaction,-0.0042424120464063225,-0.004617137849655151,-0.003900019252345125,-0.28943370644400684,-0.31499894549861246,-0.2660743499362396,20,not applicable after pooled patient summary,descriptive response surface; not causal
