modality,task,subject_balanced_macro_f1,pooled_cell_macro_f1,patient_bootstrap_ci_low,patient_bootstrap_ci_high
apt,coarse,0.287874111538695,0.2714751462326691,0.2667074699476955,0.3076123884659979
apt,fine,0.10399544836616768,0.10472469527248063,0.08638369326680904,0.1147941890636993
rna,coarse,0.7897652112380327,0.7946721084569829,0.775312617508235,0.801199784037358
rna,fine,0.4419737689082568,0.4700435727151024,0.3985284916563554,0.46692777160214394
apt_rna,coarse,0.7939041633064655,0.801781728519804,0.7774204288435873,0.8074082759982937
apt_rna,fine,0.4729555789849813,0.5020858568830651,0.4278680028682103,0.49940180551853264
