task,contrast,delta,patient_bootstrap_ci_low,patient_bootstrap_ci_high,probability_positive
coarse,rna_minus_apt,0.5018910996993377,0.4775521061659546,0.5265431517679966,1.0
coarse,apt_rna_minus_rna,0.004138952068432844,-0.0008023583108233229,0.00881937555277116,0.9415
coarse,apt_rna_minus_apt,0.5060300517677705,0.4774927714930496,0.5340928967560936,1.0
fine,rna_minus_apt,0.3379783205420891,0.3001478255156168,0.36459269011630613,1.0
fine,apt_rna_minus_rna,0.030981810076724514,0.016407893146577295,0.045698192963373255,1.0
fine,apt_rna_minus_apt,0.3689601306188136,0.32624670047442406,0.3976748628427903,1.0
