actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
32,34.63720759470016,0,3.3713005473837256,28.576923076923077,4,xgboost,27,66980,6400,26,32,c4bb1bf38ae4913e,5,success,fine,6400,1,38.12833313085139
8,12.71751672308892,0,0.8594629606232047,7.8,7,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,5,success,coarse,6400,0,13.671868300065398
8,38.0009378567338,0,3.320470760576427,7.461538461538462,4,xgboost,27,66980,6400,26,8,c4bb1bf38ae4913e,5,success,fine,6400,1,41.408567273058
16,10.310235551558435,0,0.8495463309809566,15.6,14,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,6,success,coarse,6400,0,11.258618381805718
16,31.025031560100615,0,3.3471901984885335,14.148148148148149,2,xgboost,27,66980,6400,27,16,c4bb1bf38ae4913e,6,success,fine,6400,0,34.465421319939196
32,10.788251107558608,0,0.8738587684929371,29.6,20,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,6,success,coarse,6400,0,11.789066854864359
32,34.48108990769833,0,3.341038334183395,26.814814814814813,2,xgboost,27,66980,6400,27,32,c4bb1bf38ae4913e,6,success,fine,6400,0,37.936001469381154
8,8.971318896859884,0,0.8938094731420279,7.8,7,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,6,success,coarse,6400,0,9.95344533212483
8,28.185944131575525,0,3.2745995922014117,6.962962962962963,1,xgboost,27,66980,6400,27,8,c4bb1bf38ae4913e,6,success,fine,6400,0,31.544267267920077
16,11.469056487083435,0,0.8913743933662772,15.8,15,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,7,success,coarse,6400,0,12.46591158863157
16,34.326702523976564,0,3.3029102189466357,14.538461538461538,3,xgboost,27,66980,6400,26,16,c4bb1bf38ae4913e,7,success,fine,6400,1,37.72520136740059
32,11.02961706649512,0,0.9378537023440003,29.8,21,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,7,success,coarse,6400,0,12.09479424636811
32,33.611512809060514,0,3.3422019723802805,28.115384615384617,3,xgboost,27,66980,6400,26,32,c4bb1bf38ae4913e,7,success,fine,6400,1,37.0818001748994
8,11.783664378337562,0,0.8957656295970082,8.0,8,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,7,success,coarse,6400,0,12.772909551858902
8,36.33037842717022,0,3.2927582757547498,7.384615384615385,3,xgboost,27,66980,6400,26,8,c4bb1bf38ae4913e,7,success,fine,6400,1,39.71200102381408
16,9.399526136927307,0,0.8699206179007888,15.8,15,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,8,success,coarse,6400,0,10.36884525604546
16,27.448106016032398,0,3.1563810938969254,14.25925925925926,2,xgboost,27,66980,6400,27,16,c4bb1bf38ae4913e,8,success,fine,6400,0,30.694961903616786
32,11.04398821759969,0,0.8929887386038899,29.4,19,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,8,success,coarse,6400,0,12.064185874536633
32,33.57096064463258,0,3.2269492829218507,26.88888888888889,2,xgboost,27,66980,6400,27,32,c4bb1bf38ae4913e,8,success,fine,6400,0,36.9144870499149
8,8.69861111510545,0,0.8424367075785995,7.8,7,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,8,success,coarse,6400,0,9.630470784381032
8,27.51538096088916,0,3.0605550734326243,6.962962962962963,1,xgboost,27,66980,6400,27,8,c4bb1bf38ae4913e,8,success,fine,6400,0,30.655511684715748
16,10.796848171390593,0,0.8561482289806008,15.6,14,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,9,success,coarse,6400,0,11.7595253335312
16,31.596413634717464,0,3.2278361041098833,14.074074074074074,1,xgboost,27,66980,6400,27,16,c4bb1bf38ae4913e,9,success,fine,6400,0,34.916432574391365
32,11.464854879304767,0,0.9560665870085359,31.6,30,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,9,success,coarse,6400,0,12.56700814049691
32,32.85538297519088,0,3.2164369029924273,27.77777777777778,1,xgboost,27,66980,6400,27,32,c4bb1bf38ae4913e,9,success,fine,6400,0,36.18420050479472
8,10.41204771026969,0,0.8790192184969783,7.8,7,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,9,success,coarse,6400,0,11.37883878685534
8,32.641804466955364,0,3.145591713488102,7.148148148148148,1,xgboost,27,66980,6400,27,8,c4bb1bf38ae4913e,9,success,fine,6400,0,35.87281803973019
16,21.255369344726205,1,0.8719819122925401,15.8,15,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,0,success,coarse,6400,0,22.233148276805878
16,65.34045073017478,1,4.101041743531823,14.296296296296296,3,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,0,success,fine,6400,0,69.55780627951026
32,12.859357248060405,1,0.9310342986136675,31.8,31,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,0,success,coarse,6400,0,13.924113267101347
32,66.33837627898902,1,4.226670022122562,28.037037037037038,3,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,0,success,fine,6400,0,70.71102679055184
8,30.753619452938437,1,0.9651525467634201,7.8,7,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,0,success,coarse,6400,0,31.819772001355886
8,77.53625569492579,1,4.366121310740709,7.074074074074074,2,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,0,success,fine,6400,0,82.0144966347143
16,15.076038335449994,1,0.9721423294395208,16.0,16,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,1,success,coarse,6400,0,16.16089190170169
16,45.21554387640208,1,4.248282818123698,15.461538461538462,12,xgboost,27,68381,6400,26,16,c4bb1bf38ae4913e,1,success,fine,6400,1,49.57595829479396
32,13.292538678273559,1,0.9202387379482388,30.8,26,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,1,success,coarse,6400,0,14.35392929520458
32,43.23245216533542,1,3.9920921232551336,29.23076923076923,14,xgboost,27,68381,6400,26,32,c4bb1bf38ae4913e,1,success,fine,6400,1,47.35809416882694
8,14.36025700904429,1,0.9244432812556624,8.0,8,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,1,success,coarse,6400,0,15.3874342860654
8,41.67397318221629,1,4.129260333254933,7.8076923076923075,5,xgboost,27,68381,6400,26,8,c4bb1bf38ae4913e,1,success,fine,6400,1,45.90911947283894
16,16.750985423102975,1,1.004553247243166,15.8,15,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,2,success,coarse,6400,0,17.862207219935954
16,39.08110591955483,1,3.4751444440335035,13.481481481481481,1,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,2,success,fine,6400,0,42.65882696956396
32,15.713724844157696,1,0.8915515122935176,30.4,24,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,2,success,coarse,6400,0,16.738725306466222
32,34.172733049839735,1,3.334885325282812,24.85185185185185,1,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,2,success,fine,6400,0,37.62878095917404
8,14.52688108664006,1,1.0043052593246102,7.8,7,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,2,success,coarse,6400,0,15.624189058318734
8,39.765342813916504,1,3.763026447966695,6.888888888888889,1,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,2,success,fine,6400,0,43.62132035475224
16,12.262747942470014,1,0.9550533564761281,15.8,15,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,3,success,coarse,6400,0,13.319513007067144
16,36.86026975698769,1,3.569258122704923,14.423076923076923,4,xgboost,27,68381,6400,26,16,c4bb1bf38ae4913e,3,success,fine,6400,1,40.53538027126342
32,12.856336486525834,1,0.9510365528985858,29.8,21,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,3,success,coarse,6400,0,13.943615093827248
32,39.33986097294837,1,3.6403740094974637,27.846153846153847,4,xgboost,27,68381,6400,26,32,c4bb1bf38ae4913e,3,success,fine,6400,1,43.11112385429442
8,13.498374513350427,1,0.8790958961471915,7.8,7,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,3,success,coarse,6400,0,14.466454125009477
8,30.77416895981878,1,3.455477128736675,7.230769230769231,4,xgboost,27,68381,6400,26,8,c4bb1bf38ae4913e,3,success,fine,6400,1,34.317210673354566
16,19.615058063529432,1,0.9590085288509727,15.8,15,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,4,success,coarse,6400,0,20.673976996913552
16,36.11469366494566,1,3.6200098553672433,14.0,2,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,4,success,fine,6400,0,39.84078370966017
32,11.274828749708831,1,0.9951911680400372,31.8,31,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,4,success,coarse,6400,0,12.402642152272165
32,39.314818306826055,1,3.629114211536944,27.925925925925927,4,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,4,success,fine,6400,0,43.064488004893064
8,14.894644697196782,1,0.9996656244620681,7.8,7,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,4,success,coarse,6400,0,16.00127951707691
8,37.80281654931605,1,3.541232792660594,7.074074074074074,2,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,4,success,fine,6400,0,41.43943855166435
16,12.785747191868722,1,0.9738311842083931,15.8,15,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,5,success,coarse,6400,0,13.861673364415765
16,40.811446006409824,1,3.704670401290059,14.555555555555555,3,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,5,success,fine,6400,0,44.61873687244952
32,12.091009467840195,1,0.9793017851188779,30.8,26,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,5,success,coarse,6400,0,13.203278279863298
32,40.94258753210306,1,3.7626049406826496,27.925925925925927,3,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,5,success,fine,6400,0,44.83316140528768
8,10.480574088171124,1,0.9230758463963866,7.8,7,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,5,success,coarse,6400,0,11.49669145513326
8,37.0155733730644,1,3.6309916777536273,7.222222222222222,2,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,5,success,fine,6400,0,40.73849715013057
16,11.052251835353673,1,0.9893995579332113,16.0,16,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,6,success,coarse,6400,0,12.148355395533144
16,41.63550735358149,1,3.6962465969845653,14.703703703703704,3,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,6,success,fine,6400,0,45.43655190709978
32,10.98772950656712,1,0.953470160253346,31.8,31,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,6,success,coarse,6400,0,12.0698386952281
32,41.19420000165701,1,3.7421615440398455,28.14814814814815,3,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,6,success,fine,6400,0,45.06234170868993
8,12.71109018754214,1,0.9915280351415277,8.0,8,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,6,success,coarse,6400,0,13.796543270349503
8,41.756528571248055,1,3.7035352448001504,7.333333333333333,2,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,6,success,fine,6400,0,45.55454647727311
16,11.766804207116365,1,0.9678195817396045,16.0,16,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,7,success,coarse,6400,0,12.83692077640444
16,38.49116330873221,1,3.496926219202578,14.37037037037037,1,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,7,success,fine,6400,0,42.091810387559235
32,11.78871924802661,1,0.9060594448819757,31.8,31,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,7,success,coarse,6400,0,12.81372423749417
32,37.941445806995034,1,3.486597813665867,27.74074074074074,1,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,7,success,fine,6400,0,41.55024836305529
8,10.985792689025402,1,0.8872403418645263,8.0,8,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,7,success,coarse,6400,0,11.959728562273085
8,41.663834013044834,1,3.7327130818739533,7.222222222222222,1,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,7,success,fine,6400,0,45.50163107737899
16,10.821521427482367,1,0.8787014586851001,16.0,16,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,8,success,coarse,6400,0,11.806396829895675
16,35.92253094166517,1,3.2246154081076384,13.851851851851851,1,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,8,success,fine,6400,0,39.246470210142434
32,10.636377203278244,1,0.928670309484005,31.0,27,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,8,success,coarse,6400,0,11.69294101651758
32,35.90628658980131,1,3.2058100132271647,25.40740740740741,1,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,8,success,fine,6400,0,39.23265661671758
8,10.314116076566279,1,0.9160312665626407,8.0,8,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,8,success,coarse,6400,0,11.321125946007669
8,35.42477898765355,1,3.244319467805326,7.2592592592592595,1,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,8,success,fine,6400,0,38.757048377767205
16,10.83662711828947,1,0.9235757077112794,16.0,16,xgboost,5,68381,6400,5,16,c4bb1bf38ae4913e,9,success,coarse,6400,0,11.868816459551454
16,31.30702911503613,1,3.0093893771991134,14.296296296296296,1,xgboost,27,68381,6400,27,16,c4bb1bf38ae4913e,9,success,fine,6400,0,34.41196837462485
32,10.659053986892104,1,0.937005921266973,30.0,22,xgboost,5,68381,6400,5,32,c4bb1bf38ae4913e,9,success,coarse,6400,0,11.728701929561794
32,31.077710325829685,1,3.010793353430927,27.037037037037038,1,xgboost,27,68381,6400,27,32,c4bb1bf38ae4913e,9,success,fine,6400,0,34.2034449391067
8,9.731558943167329,1,0.9306861581280828,8.0,8,xgboost,5,68381,6400,5,8,c4bb1bf38ae4913e,9,success,coarse,6400,0,10.75089511461556
8,28.004808905534446,1,2.964060609228909,7.407407407407407,1,xgboost,27,68381,6400,27,8,c4bb1bf38ae4913e,9,success,fine,6400,0,31.057434643618762
16,20.75430280994624,2,1.2215649671852589,15.8,15,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,0,success,coarse,6400,0,22.099608185701072
16,56.84501093812287,2,4.735636441037059,13.925925925925926,3,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,0,success,fine,6400,0,61.718397739343345
32,19.867785303853452,2,1.1908733313903213,30.6,25,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,0,success,coarse,6400,0,21.214639412239194
32,67.06167706660926,2,5.0844345055520535,25.444444444444443,3,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,0,success,fine,6400,0,72.3069270728156
8,15.18806582968682,2,1.1492720991373062,8.0,8,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,0,success,coarse,6400,0,16.44161889422685
8,56.62066013365984,2,4.6893386878073215,7.222222222222222,2,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,0,success,fine,6400,0,61.422777314670384
16,31.689233290031552,2,1.0536591121926904,15.8,15,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,1,success,coarse,6400,0,32.859068664722145
16,46.34036203287542,2,5.717139372602105,14.62962962962963,2,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,1,success,fine,6400,0,52.19062135834247
32,16.47693351469934,2,1.1655732579529285,29.8,21,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,1,success,coarse,6400,0,17.79205696284771
32,45.70214141719043,2,5.200864949263632,27.962962962962962,3,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,1,success,fine,6400,0,51.041977257467806
8,22.9046024447307,2,1.0982867488637567,7.8,7,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,1,success,coarse,6400,0,24.134016963653266
8,55.12207262404263,2,5.241841500625014,7.333333333333333,1,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,1,success,fine,6400,0,60.48325323034078
16,15.267475724220276,2,1.1581345088779926,15.6,14,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,2,success,coarse,6400,0,16.536048725247383
16,36.32114376500249,2,4.86076410766691,14.0,2,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,2,success,fine,6400,0,41.296449958346784
32,34.53700862079859,2,1.1114889420568943,29.8,21,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,2,success,coarse,6400,0,35.79170881025493
32,37.72995641827583,2,4.748442186973989,27.185185185185187,2,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,2,success,fine,6400,0,42.61106376349926
8,12.422445262782276,2,1.3150268346071243,7.8,7,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,2,success,coarse,6400,0,13.845223324373364
8,36.77116832509637,2,4.927067635580897,7.148148148148148,2,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,2,success,fine,6400,0,41.81776804756373
