dataset,task,model,unmatched,unmatched_low,unmatched_high,unmatched_seeds,matched,matched_low,matched_high,matched_seeds,descriptive_change,sign_change
apt,coarse,logistic_regression,0.0152789134965346,0.0028813064130652,0.0264114076192519,20,0.007814836258779,-0.0012694298293482,0.0202197219769006,20,-0.0074640772377555994,False
apt,coarse,xgboost,0.0183239178879563,0.001475012591734,0.032146496822732,20,0.0083045352989258,-0.0063322578439335,0.0184633229294885,10,-0.0100193825890305,False
apt,fine,logistic_regression,0.0086753115575634,0.0021633269293284,0.0132080735633127,20,-0.0049613565273521,-0.0083662285786961,-0.0021590856498338,20,-0.0136366680849155,True
apt,fine,xgboost,0.0082671696233894,0.0005316973866325,0.0140869403665933,20,-0.0058095488156877,-0.0101296428852749,-0.001678356696322,10,-0.0140767184390771,True
combat_rna,coarse,logistic_regression,0.0017840704959224,-0.002931115327631,0.0060444857615379,20,1.008421805740456e-05,-0.0036583378105326,0.003136099746548,20,-0.0017739862778649953,False
combat_rna,coarse,xgboost,0.0050318244201273,-0.003763307942168,0.0143702389325172,20,0.0010638309257653,-0.0028907932494484,0.0066984576969305,10,-0.0039679934943620005,False
combat_rna,fine,logistic_regression,0.0117771417541123,-0.0026472350516884,0.0273214356883178,20,-0.0028050216003232,-0.0097455032623572,0.0014143986957005,20,-0.0145821633544355,True
combat_rna,fine,xgboost,0.0179776913225822,0.0002002116400966,0.0390204613714043,20,-0.0027125485103053,-0.0069104100211047,0.004385849134915,10,-0.0206902398328875,True
onek1k,coarse,logistic_regression,0.0051750920236559,-0.0027091715930791,0.0204127041022171,20,0.0032601932562838,-0.0050574502564546,0.0114651562362261,20,-0.0019148987673721003,False
onek1k,coarse,xgboost,0.0056300657304813,-0.0123214278671119,0.0258819506163629,20,-0.0011089820904597,-0.0038878849209732,0.0095874043925427,10,-0.006739047820941,True
onek1k,fine,logistic_regression,0.0078407150484636,-0.0083823809231966,0.0286447758595077,20,0.0013095641135617,-0.003084155930816,0.0069005225425283,20,-0.006531150934901899,False
onek1k,fine,xgboost,0.0088864316657887,-0.0100953374149938,0.0206322529746714,20,-0.0005976547005298,-0.0096997945784401,0.007368594166442,10,-0.0094840863663185,True
