task,model,comparison,estimate,hvg,low,high,seed_values
coarse,sgd,rna,0.7451879323318121,2000,,,
coarse,sgd,apt,0.2687509290468096,2000,,,
coarse,sgd,rna_apt,0.7514919352044966,2000,,,
coarse,sgd,rna_noise,0.7447820269398263,2000,,,
coarse,sgd,rna_shuffled_apt,0.7496903328323127,2000,,,
coarse,sgd,rna_apt-minus-rna,0.006304002872684511,2000,0.00038433192289955844,0.01269838305538077,"[0.0022102824914055352, 0.009711668403750706, 0.0069900577228972915]"
coarse,sgd,rna_apt-minus-rna_noise,0.006709908264670328,2000,0.001318887192197398,0.012474670364004393,"[0.006479314173073791, 0.009525300913965529, 0.004125109706971664]"
coarse,sgd,rna_apt-minus-rna_shuffled_apt,0.0018016023721839636,2000,-0.0045561367591249275,0.008879601315180808,"[-0.002942510941553844, 0.005843780639442797, 0.0025035374186629378]"
coarse,mlp,rna,0.8709291036674275,2000,,,
coarse,mlp,apt,0.3102141997215697,2000,,,
coarse,mlp,rna_apt,0.8717182634867827,2000,,,
coarse,mlp,rna_noise,0.8676293622880777,2000,,,
coarse,mlp,rna_shuffled_apt,0.874292780020863,2000,,,
coarse,mlp,rna_apt-minus-rna,0.0007891598193553451,2000,-0.005681293792803591,0.007484048760493139,"[0.006688962693118361, -0.00023103807591495773, -0.004090445159137368]"
coarse,mlp,rna_apt-minus-rna_noise,0.004088901198705123,2000,-0.0003098370760558726,0.00805364716254243,"[0.004390299245270901, 0.004003589457257206, 0.003872814893587262]"
coarse,mlp,rna_apt-minus-rna_shuffled_apt,-0.0025745165340802143,2000,-0.007704876256604108,0.0021764071983539353,"[0.0016470367692519305, -0.0016013024358195738, -0.007769283935672999]"
fine,sgd,rna,0.43182952645857015,2000,,,
fine,sgd,apt,0.08863994670767938,2000,,,
fine,sgd,rna_apt,0.4503119234246167,2000,,,
fine,sgd,rna_noise,0.41087170584105087,2000,,,
fine,sgd,rna_shuffled_apt,0.441858288106974,2000,,,
fine,sgd,rna_apt-minus-rna,0.01848239696604657,2000,0.0033009248706476362,0.033219914692580205,"[0.006586609352637163, 0.021412484027467815, 0.02744809751803473]"
fine,sgd,rna_apt-minus-rna_noise,0.039440217583565806,2000,0.023193321454570412,0.053265838242295506,"[0.029830763579310526, 0.040582571243396204, 0.04790731792799069]"
fine,sgd,rna_apt-minus-rna_shuffled_apt,0.00845363531764278,2000,-0.001148378615814069,0.018927420178060622,"[0.008583880445939218, 0.0040415712516214675, 0.01273545425536765]"
fine,mlp,rna,0.5889510820566574,2000,,,
fine,mlp,apt,0.09302327717988197,2000,,,
fine,mlp,rna_apt,0.6069421180996167,2000,,,
fine,mlp,rna_noise,0.5728345064761029,2000,,,
fine,mlp,rna_shuffled_apt,0.5970844938688368,2000,,,
fine,mlp,rna_apt-minus-rna,0.017991036042959412,2000,0.009183050094044467,0.029820422984448317,"[0.01880874926249465, 0.015119638030092641, 0.02004472083629094]"
fine,mlp,rna_apt-minus-rna_noise,0.034107611623513834,2000,0.020270448461487994,0.04484210084730881,"[0.034568417092521564, 0.03204833962010478, 0.035706078157915155]"
fine,mlp,rna_apt-minus-rna_shuffled_apt,0.009857624230779996,2000,0.0023828209474986307,0.015864217003386933,"[0.00816598422987791, 0.009027539858537437, 0.012379348603924645]"
