dataset,seed,total,patient_budget,model,task,patient_balanced_macro_f1
onek1k,7,6400,128,logistic_regression,coarse,0.9369123556813556
onek1k,7,6400,128,logistic_regression,fine,0.5597221110742799
onek1k,7,6400,64,logistic_regression,coarse,0.9364164822514663
onek1k,7,6400,64,logistic_regression,fine,0.5647841687665597
onek1k,8,3200,128,logistic_regression,coarse,0.9261369933339901
onek1k,8,3200,128,logistic_regression,fine,0.545375123518349
onek1k,8,3200,64,logistic_regression,coarse,0.9275417777407183
onek1k,8,3200,64,logistic_regression,fine,0.5437880531990372
onek1k,8,6400,128,logistic_regression,coarse,0.9398083250470061
onek1k,8,6400,128,logistic_regression,fine,0.5642153110077328
onek1k,8,6400,64,logistic_regression,coarse,0.9371208777027664
onek1k,8,6400,64,logistic_regression,fine,0.5631464893867051
onek1k,9,3200,128,logistic_regression,coarse,0.9233779519431898
onek1k,9,3200,128,logistic_regression,fine,0.5220667942758549
onek1k,9,3200,64,logistic_regression,coarse,0.9240362396344487
onek1k,9,3200,64,logistic_regression,fine,0.518276563814147
onek1k,9,6400,128,logistic_regression,coarse,0.9348027838407568
onek1k,9,6400,128,logistic_regression,fine,0.5550218050750216
onek1k,9,6400,64,logistic_regression,coarse,0.9319032186372702
onek1k,9,6400,64,logistic_regression,fine,0.5518400577039354
