dataset,total,patient_budget,model,task,n_seeds,mean,seed_ci_low,seed_ci_high
combat_rna,3200,32,logistic_regression,coarse,10,0.9806032287564822,0.9785976591026152,0.9832025210440157
combat_rna,3200,32,logistic_regression,fine,10,0.5083382558691986,0.5027936744736093,0.5130401420167671
combat_rna,3200,64,logistic_regression,coarse,10,0.9807187634634114,0.9786489015478995,0.9828127749229835
combat_rna,3200,64,logistic_regression,fine,10,0.5078457055109998,0.5027482117861276,0.5119776796349667
combat_rna,6400,32,logistic_regression,coarse,10,0.9818854509323224,0.9803686271041796,0.984540477412657
combat_rna,6400,32,logistic_regression,fine,10,0.5183003630596655,0.514972323530341,0.5206989467126508
combat_rna,6400,64,logistic_regression,coarse,10,0.9820642690286846,0.9806296527607832,0.9840833585170446
combat_rna,6400,64,logistic_regression,fine,10,0.5176526393132246,0.5118583730230989,0.5213008328241416
