model,fold,task,stage,seed,patient_count,cell_count,configuration_count,selected,selection_seconds,refit_seconds,hardware,artifact_source
xgb,0,coarse,refit,43,32,294812,12,"{""config"": {""max_depth"": 6, ""learning_rate"": 0.1, ""n_estimators"": 500}, ""score"": 0.3361178852980643}",,99.8172173500061,CPU,/ssd2/mayiling/apt_unified_v2/combined/xgb_f0/coarse_s43.npz
xgb,0,coarse,test,43,8,66980,12,"{""config"": {""max_depth"": 6, ""learning_rate"": 0.1, ""n_estimators"": 500}, ""score"": 0.3361178852980643}",,99.8172173500061,CPU,/ssd2/mayiling/apt_unified_v2/combined/xgb_f0/coarse_s43.npz
mlp,0,joint,inner,17,24,226431,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",56.91947674751282,,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_selection.json
mlp,0,joint,validation,17,8,68381,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",56.91947674751282,,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_selection.json
mlp,0,joint,refit,17,32,294812,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",,6.966235160827637,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_s17.npz
mlp,0,joint,test,17,8,66980,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",,6.966235160827637,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_s17.npz
mlp,0,joint,refit,29,32,294812,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",,6.871767044067383,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_s29.npz
mlp,0,joint,test,29,8,66980,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",,6.871767044067383,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_s29.npz
mlp,0,joint,refit,43,32,294812,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",,6.648316144943237,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_s43.npz
mlp,0,joint,test,43,8,66980,4,"{""config"": {""lr"": 0.001, ""decay"": 1e-05}, ""score"": 0.1457940921792449, ""epochs"": 15, ""history"": [0.08202376167780204, 0.09652694995129861, 0.11581419229656627, 0.11657505045809408, 0.1341957020568562, 0.1294977320573824, 0.12511184336218348, 0.13680979508787391, 0.12335362680029839, 0.13525967658362303, 0.12741605472216597, 0.1320804670970651, 0.13438967302463792, 0.1318294765149055, 0.1457940921792449, 0.1329858828224794, 0.13020769504844798, 0.1268062476072388, 0.13749814183724188, 0.1304371824436774, 0.12861752372646335, 0.13451649345413963, 0.13444969342898]}",,6.648316144943237,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/mlp_f0/joint_s43.npz
