task,method,estimate,low,high,seed_values,paired_delta,delta_low,delta_high
coarse,unconstrained,0.3335822826097334,0.3105306848128075,0.35544944015058766,"[0.331028822791662, 0.3321205882657769, 0.33759743677176113]",0.0,0.0,0.0
fine,unconstrained,0.14098237845445663,0.12496310756327807,0.15516309014448904,"[0.13789789800846441, 0.142448011593857, 0.14260122576104847]",0.0,0.0,0.0
fine,true_lineage_oracle,0.3852114456032796,0.3475534477263337,0.3965777464018824,"[0.3886919735094455, 0.38186024393255524, 0.3850821193678379]",0.24422906714882295,0.21532684446412517,0.25315664297272483
