total,model,task,n_seeds,p8_mean,p32_mean,delta_p32_minus_p8_mean,delta_ci_low,delta_ci_high,patient_bootstrap_ci_low,patient_bootstrap_ci_high,joint_resampling_ci_low,joint_resampling_ci_high,joint_probability_positive,positive_seed_fraction,mean_class_donor_coverage_p8,mean_class_donor_coverage_p32
3200,logistic_regression,coarse,20,0.920851981657733,0.9233971722066407,0.002545190548907961,-0.006570939703932477,0.011002395248849297,0.0019822906446554183,0.0031224229725091836,-0.007895105561564444,0.01198435799008748,0.669,0.7,7.828,27.693999999999996
3200,logistic_regression,fine,20,0.5332881024344671,0.5352214836154101,0.0019333811809430835,-0.005712618920711085,0.009098699030950338,0.0009541749591101684,0.0029851413887216206,-0.00798720049607625,0.010472304965464668,0.6995,0.8,6.243657544243751,19.808793650793653
6400,logistic_regression,coarse,20,0.9315952898004388,0.934855483056723,0.0032601932562838555,-0.005057450256454604,0.011465156236226121,0.002627247294868318,0.0039019761302576715,-0.005861629571079746,0.012811892328780727,0.7275,0.7,7.833999999999999,29.571999999999996
6400,logistic_regression,fine,20,0.5605192740664643,0.5618288381800258,0.001309564113561723,-0.0030841559308160543,0.006900522542528377,0.00021350372703181076,0.002319539885349863,-0.005824903586124783,0.008883238724996086,0.598,0.6,6.408566776135741,22.06166101076446
