model,ordinary_sb,oracle_sb,delta,low,high
flat_ce,0.13891252407687998,0.3662845626960814,0.2273720386192014,0.20210637422481947,0.23806467190494948
hce,0.14303613759944905,0.3607508304007848,0.21771469280133576,0.19569279075785584,0.23089328903139827
soft_cascade,0.14466445443024575,0.35820271978436,0.21353826535411427,0.19350202243742354,0.22966338935527514
