permutation,seed,patient_accuracy,patient_macro_f1
183,42,0.05,0.05787037037037037
184,42,0.275,0.23015873015873015
185,42,0.125,0.10665954415954415
186,42,0.125,0.11729133439659754
187,42,0.125,0.11072874493927125
188,42,0.1,0.08101851851851852
189,42,0.125,0.08771929824561403
190,42,0.1,0.09706959706959706
191,42,0.2,0.1993881118881119
192,42,0.05,0.05128205128205129
193,42,0.175,0.1414141414141414
194,42,0.175,0.1531084656084656
195,42,0.175,0.16452991452991453
196,42,0.175,0.16527777777777777
197,42,0.025,0.018518518518518517
198,42,0.125,0.11072505925447103
199,42,0.275,0.2761164274322169
200,42,0.075,0.08021390374331551
201,42,0.075,0.06666666666666667
202,42,0.175,0.15993509414562046
203,42,0.175,0.15406162464985995
204,42,0.25,0.2406593406593407
205,42,0.025,0.027777777777777776
206,42,0.2,0.1994505494505495
207,42,0.1,0.09045584045584044
208,42,0.125,0.12363127069009422
209,42,0.05,0.04524886877828055
210,42,0.125,0.12041321251847568
211,42,0.25,0.23874643874643875
212,42,0.325,0.31972096530920063
213,42,0.075,0.0701058201058201
214,42,0.2,0.16223893065998327
215,42,0.15,0.14226190476190473
216,42,0.1,0.10195944406470721
217,42,0.375,0.3613658944541298
218,42,0.075,0.07167277167277167
219,42,0.15,0.1402116402116402
220,42,0.025,0.023809523809523808
221,42,0.075,0.05882352941176471
222,42,0.1,0.1011929247223365
223,42,0.05,0.053418803418803416
224,42,0.175,0.18966450216450217
225,42,0.225,0.21567460317460316
226,42,0.075,0.07936507936507936
227,42,0.275,0.2632853257853258
228,42,0.075,0.07816627816627818
229,42,0.05,0.044444444444444446
230,42,0.05,0.05555555555555555
231,42,0.1,0.08928571428571429
232,42,0.175,0.16666666666666666
233,42,0.125,0.13247863247863248
234,42,0.2,0.18104575163398692
235,42,0.075,0.05555555555555555
236,42,0.05,0.042328042328042326
237,42,0.225,0.21649918708742236
238,42,0.125,0.10952380952380951
239,42,0.15,0.13985671191553545
240,42,0.075,0.0811965811965812
241,42,0.1,0.0876984126984127
