model,scope,comparison,mean,low,high,eligible_patients
mlp,-1,cell_signal,0.15955733177987494,0.13233147226490496,0.17222902971317144,40
mlp,-1,oracle_minus_prior,0.1957366474982158,0.16622763513866523,0.20660692450744922,40
mlp,-1,deploy_gain,0.0007824192906227823,-0.005650087433621805,0.005593534232555818,40
mlp,-1,conditional_oracle_gap,0.25117596512716023,0.22715657137176687,0.2590920777017225,40
mlp,-1,conditional_oracle_gain,0.013436400147914918,0.005666375617898409,0.022444218276841826,40
mlp,0,cell_signal,0.28762146664674804,0.2293519134186156,0.321472164614479,40
mlp,0,oracle_minus_prior,0.2757877871125456,0.22409418687824595,0.30679844516782095,40
mlp,0,deploy_gain,-0.0028350760917151274,-0.012806160721345636,0.005902587328924302,40
mlp,0,conditional_oracle_gap,0.34741524947167934,0.3002407879294558,0.3746312404948757,40
mlp,0,conditional_oracle_gain,0.009850521914965271,-0.005596608154603024,0.025413332057590363,40
mlp,1,cell_signal,0.15496113773698666,0.12453441676699416,0.18219524643005278,40
mlp,1,oracle_minus_prior,0.1415581974571998,0.11340109936304456,0.1629235429278249,40
mlp,1,deploy_gain,0.01052604005789326,0.0020893484325005597,0.019536449412865267,40
mlp,1,conditional_oracle_gap,0.0944382398054184,0.07421880403201843,0.11527942757482178,40
mlp,1,conditional_oracle_gain,0.01612710662233896,0.004516374428809784,0.026448348931445268,40
mlp,2,cell_signal,-0.00292096371181938,-0.010945306653924325,0.0035713697324853515,40
mlp,2,oracle_minus_prior,0.3907193135441402,0.3397692491862415,0.41567629369660747,40
mlp,2,deploy_gain,-0.014281110791669938,-0.031640151171324085,0.0007983346626621779,40
mlp,2,conditional_oracle_gap,0.2887955493191461,0.2285816539066986,0.35841895045213173,40
mlp,2,conditional_oracle_gain,-0.004228771929356556,-0.008076492458299705,-0.0008323379648422184,40
mlp,3,cell_signal,0.3489202007636475,0.05056048319257096,0.4218380870815707,38
mlp,3,oracle_minus_prior,0.35405274450086915,0.056414834190808304,0.42664380202055796,38
mlp,3,deploy_gain,-0.02136709083983554,-0.14790975019622896,0.006519487895918909,38
mlp,3,conditional_oracle_gap,0.8869245880486161,0.570477143667887,0.9607991398380811,38
mlp,3,conditional_oracle_gain,0.071307588449528,-0.010904400112339487,0.17722335111939466,38
mlp,4,cell_signal,0.08859564242434914,0.07175920191236335,0.1011730796221143,40
mlp,4,oracle_minus_prior,0.1293567908670173,0.10751893056119236,0.1397259791950909,40
mlp,4,deploy_gain,0.004318663944588741,-0.002579815587015463,0.01183104839381561,40
mlp,4,conditional_oracle_gap,0.08946819986616456,0.07151321617424114,0.10617295602670797,40
mlp,4,conditional_oracle_gain,0.00765223017117167,0.00017311541576479653,0.014662008551914862,40
