B,n_cells,seed,model,patient_macro_f1,patient_accuracy
5,5000,28,LR,0.8982905982905983,0.9
5,all,28,LR,0.8982905982905983,0.9
5,100,29,LR,0.8752228163992869,0.875
5,500,29,LR,0.8697552447552447,0.875
5,1000,29,LR,0.8697552447552447,0.875
5,5000,29,LR,0.8982905982905983,0.9
5,all,29,LR,0.8982905982905983,0.9
5,100,30,LR,0.9249084249084248,0.925
5,500,30,LR,0.8982905982905983,0.9
5,1000,30,LR,0.9249084249084248,0.925
5,5000,30,LR,0.8982905982905983,0.9
5,all,30,LR,0.8982905982905983,0.9
5,100,31,LR,0.867099567099567,0.875
5,500,31,LR,0.9249084249084248,0.925
5,1000,31,LR,0.8982905982905983,0.9
5,5000,31,LR,0.8982905982905983,0.9
5,all,31,LR,0.8982905982905983,0.9
5,100,32,LR,0.8726495726495727,0.875
5,500,32,LR,0.8968253968253967,0.9
5,1000,32,LR,0.8982905982905983,0.9
5,5000,32,LR,0.8982905982905983,0.9
5,all,32,LR,0.8982905982905983,0.9
5,100,33,LR,0.8726495726495727,0.875
5,500,33,LR,0.8982905982905983,0.9
5,1000,33,LR,0.9249084249084248,0.925
5,5000,33,LR,0.8982905982905983,0.9
5,all,33,LR,0.8982905982905983,0.9
5,100,34,LR,0.8697552447552447,0.875
5,500,34,LR,0.8982905982905983,0.9
5,1000,34,LR,0.875,0.875
5,5000,34,LR,0.8982905982905983,0.9
5,all,34,LR,0.8982905982905983,0.9
5,100,35,LR,0.867099567099567,0.875
5,500,35,LR,0.8982905982905983,0.9
5,1000,35,LR,0.8968253968253967,0.9
5,5000,35,LR,0.8982905982905983,0.9
5,all,35,LR,0.8982905982905983,0.9
5,100,36,LR,0.9004273504273504,0.9
5,500,36,LR,0.875,0.875
5,1000,36,LR,0.8982905982905983,0.9
5,5000,36,LR,0.8982905982905983,0.9
5,all,36,LR,0.8982905982905983,0.9
5,100,37,LR,0.867099567099567,0.875
5,500,37,LR,0.9249084249084248,0.925
5,1000,37,LR,0.9249084249084248,0.925
5,5000,37,LR,0.8982905982905983,0.9
5,all,37,LR,0.8982905982905983,0.9
5,100,38,LR,0.9249084249084248,0.925
5,500,38,LR,0.9004273504273504,0.9
5,1000,38,LR,0.9249084249084248,0.925
5,5000,38,LR,0.8982905982905983,0.9
5,all,38,LR,0.8982905982905983,0.9
5,100,39,LR,0.8726495726495727,0.875
5,500,39,LR,0.8982905982905983,0.9
5,1000,39,LR,0.8982905982905983,0.9
5,5000,39,LR,0.8982905982905983,0.9
5,all,39,LR,0.8982905982905983,0.9
5,100,40,LR,0.8968253968253967,0.9
5,500,40,LR,0.9004273504273504,0.9
5,1000,40,LR,0.8968253968253967,0.9
5,5000,40,LR,0.8982905982905983,0.9
5,all,40,LR,0.8982905982905983,0.9
5,100,41,LR,0.8968253968253967,0.9
5,500,41,LR,0.8697552447552447,0.875
5,1000,41,LR,0.9249084249084248,0.925
5,5000,41,LR,0.8982905982905983,0.9
5,all,41,LR,0.8982905982905983,0.9
5,100,42,LR,0.875,0.875
5,500,42,LR,0.8982905982905983,0.9
5,1000,42,LR,0.8982905982905983,0.9
5,5000,42,LR,0.8982905982905983,0.9
5,all,42,LR,0.8982905982905983,0.9
5,100,43,LR,0.8982905982905983,0.9
5,500,43,LR,0.875,0.875
5,1000,43,LR,0.8982905982905983,0.9
5,5000,43,LR,0.8982905982905983,0.9
5,all,43,LR,0.8982905982905983,0.9
5,100,44,LR,0.8441142191142191,0.85
5,500,44,LR,0.875,0.875
5,1000,44,LR,0.9249084249084248,0.925
5,5000,44,LR,0.8982905982905983,0.9
5,all,44,LR,0.8982905982905983,0.9
5,100,45,LR,0.8474450386215092,0.85
5,500,45,LR,0.8968253968253967,0.9
5,1000,45,LR,0.8982905982905983,0.9
5,5000,45,LR,0.8982905982905983,0.9
5,all,45,LR,0.8982905982905983,0.9
5,100,46,LR,0.8982905982905983,0.9
5,500,46,LR,0.8982905982905983,0.9
5,1000,46,LR,0.8982905982905983,0.9
5,5000,46,LR,0.8982905982905983,0.9
5,all,46,LR,0.8982905982905983,0.9
5,100,47,LR,0.9249084249084248,0.925
5,500,47,LR,0.9249084249084248,0.925
5,1000,47,LR,0.8982905982905983,0.9
5,5000,47,LR,0.8982905982905983,0.9
5,all,47,LR,0.8982905982905983,0.9
5,100,48,LR,0.8474450386215092,0.85
5,500,48,LR,0.8982905982905983,0.9
5,1000,48,LR,0.8982905982905983,0.9
5,5000,48,LR,0.8982905982905983,0.9
5,all,48,LR,0.8982905982905983,0.9
5,100,49,LR,0.8982905982905983,0.9
5,500,49,LR,0.9004273504273504,0.9
5,1000,49,LR,0.9249084249084248,0.925
5,5000,49,LR,0.8982905982905983,0.9
5,all,49,LR,0.8982905982905983,0.9
10,100,0,LR,1.0,1.0
10,500,0,LR,1.0,1.0
10,1000,0,LR,1.0,1.0
10,5000,0,LR,1.0,1.0
10,all,0,LR,1.0,1.0
10,100,1,LR,1.0,1.0
10,500,1,LR,1.0,1.0
10,1000,1,LR,1.0,1.0
10,5000,1,LR,1.0,1.0
10,all,1,LR,1.0,1.0
10,100,2,LR,1.0,1.0
10,500,2,LR,1.0,1.0
10,1000,2,LR,1.0,1.0
10,5000,2,LR,1.0,1.0
10,all,2,LR,1.0,1.0
10,100,3,LR,1.0,1.0
10,500,3,LR,1.0,1.0
10,1000,3,LR,1.0,1.0
10,5000,3,LR,1.0,1.0
10,all,3,LR,1.0,1.0
10,100,4,LR,1.0,1.0
10,500,4,LR,1.0,1.0
10,1000,4,LR,1.0,1.0
10,5000,4,LR,1.0,1.0
10,all,4,LR,1.0,1.0
10,100,5,LR,1.0,1.0
10,500,5,LR,1.0,1.0
10,1000,5,LR,1.0,1.0
10,5000,5,LR,1.0,1.0
10,all,5,LR,1.0,1.0
10,100,6,LR,1.0,1.0
10,500,6,LR,1.0,1.0
10,1000,6,LR,1.0,1.0
10,5000,6,LR,1.0,1.0
10,all,6,LR,1.0,1.0
10,100,7,LR,1.0,1.0
10,500,7,LR,1.0,1.0
10,1000,7,LR,1.0,1.0
10,5000,7,LR,1.0,1.0
10,all,7,LR,1.0,1.0
10,100,8,LR,1.0,1.0
10,500,8,LR,1.0,1.0
10,1000,8,LR,1.0,1.0
10,5000,8,LR,1.0,1.0
10,all,8,LR,1.0,1.0
10,100,9,LR,1.0,1.0
10,500,9,LR,1.0,1.0
10,1000,9,LR,1.0,1.0
10,5000,9,LR,1.0,1.0
10,all,9,LR,1.0,1.0
10,100,10,LR,1.0,1.0
10,500,10,LR,1.0,1.0
10,1000,10,LR,1.0,1.0
10,5000,10,LR,1.0,1.0
10,all,10,LR,1.0,1.0
10,100,11,LR,1.0,1.0
10,500,11,LR,1.0,1.0
10,1000,11,LR,1.0,1.0
10,5000,11,LR,1.0,1.0
10,all,11,LR,1.0,1.0
10,100,12,LR,1.0,1.0
10,500,12,LR,1.0,1.0
10,1000,12,LR,1.0,1.0
10,5000,12,LR,1.0,1.0
10,all,12,LR,1.0,1.0
10,100,13,LR,1.0,1.0
10,500,13,LR,1.0,1.0
10,1000,13,LR,1.0,1.0
10,5000,13,LR,1.0,1.0
10,all,13,LR,1.0,1.0
10,100,14,LR,1.0,1.0
10,500,14,LR,1.0,1.0
10,1000,14,LR,1.0,1.0
10,5000,14,LR,1.0,1.0
10,all,14,LR,1.0,1.0
10,100,15,LR,1.0,1.0
10,500,15,LR,1.0,1.0
10,1000,15,LR,1.0,1.0
10,5000,15,LR,1.0,1.0
10,all,15,LR,1.0,1.0
10,100,16,LR,1.0,1.0
10,500,16,LR,1.0,1.0
10,1000,16,LR,1.0,1.0
10,5000,16,LR,1.0,1.0
10,all,16,LR,1.0,1.0
10,100,17,LR,1.0,1.0
10,500,17,LR,1.0,1.0
10,1000,17,LR,1.0,1.0
10,5000,17,LR,1.0,1.0
10,all,17,LR,1.0,1.0
10,100,18,LR,1.0,1.0
10,500,18,LR,1.0,1.0
10,1000,18,LR,1.0,1.0
10,5000,18,LR,1.0,1.0
10,all,18,LR,1.0,1.0
10,100,19,LR,1.0,1.0
10,500,19,LR,1.0,1.0
10,1000,19,LR,1.0,1.0
10,5000,19,LR,1.0,1.0
10,all,19,LR,1.0,1.0
10,100,20,LR,1.0,1.0
10,500,20,LR,1.0,1.0
10,1000,20,LR,1.0,1.0
10,5000,20,LR,1.0,1.0
10,all,20,LR,1.0,1.0
10,100,21,LR,1.0,1.0
10,500,21,LR,1.0,1.0
10,1000,21,LR,1.0,1.0
10,5000,21,LR,1.0,1.0
10,all,21,LR,1.0,1.0
10,100,22,LR,1.0,1.0
10,500,22,LR,1.0,1.0
10,1000,22,LR,1.0,1.0
10,5000,22,LR,1.0,1.0
10,all,22,LR,1.0,1.0
10,100,23,LR,1.0,1.0
10,500,23,LR,1.0,1.0
10,1000,23,LR,1.0,1.0
10,5000,23,LR,1.0,1.0
10,all,23,LR,1.0,1.0
10,100,24,LR,1.0,1.0
10,500,24,LR,1.0,1.0
10,1000,24,LR,1.0,1.0
10,5000,24,LR,1.0,1.0
10,all,24,LR,1.0,1.0
10,100,25,LR,1.0,1.0
10,500,25,LR,1.0,1.0
10,1000,25,LR,1.0,1.0
10,5000,25,LR,1.0,1.0
10,all,25,LR,1.0,1.0
10,100,26,LR,1.0,1.0
10,500,26,LR,1.0,1.0
10,1000,26,LR,1.0,1.0
10,5000,26,LR,1.0,1.0
10,all,26,LR,1.0,1.0
10,100,27,LR,1.0,1.0
10,500,27,LR,1.0,1.0
10,1000,27,LR,1.0,1.0
10,5000,27,LR,1.0,1.0
10,all,27,LR,1.0,1.0
10,100,28,LR,1.0,1.0
10,500,28,LR,1.0,1.0
10,1000,28,LR,1.0,1.0
10,5000,28,LR,1.0,1.0
10,all,28,LR,1.0,1.0
10,100,29,LR,1.0,1.0
10,500,29,LR,1.0,1.0
10,1000,29,LR,1.0,1.0
10,5000,29,LR,1.0,1.0
10,all,29,LR,1.0,1.0
10,100,30,LR,1.0,1.0
10,500,30,LR,1.0,1.0
10,1000,30,LR,1.0,1.0
10,5000,30,LR,1.0,1.0
10,all,30,LR,1.0,1.0
10,100,31,LR,1.0,1.0
10,500,31,LR,1.0,1.0
10,1000,31,LR,1.0,1.0
10,5000,31,LR,1.0,1.0
10,all,31,LR,1.0,1.0
10,100,32,LR,1.0,1.0
10,500,32,LR,1.0,1.0
10,1000,32,LR,1.0,1.0
10,5000,32,LR,1.0,1.0
10,all,32,LR,1.0,1.0
10,100,33,LR,1.0,1.0
10,500,33,LR,1.0,1.0
10,1000,33,LR,1.0,1.0
10,5000,33,LR,1.0,1.0
10,all,33,LR,1.0,1.0
10,100,34,LR,1.0,1.0
10,500,34,LR,1.0,1.0
10,1000,34,LR,1.0,1.0
10,5000,34,LR,1.0,1.0
10,all,34,LR,1.0,1.0
10,100,35,LR,1.0,1.0
10,500,35,LR,1.0,1.0
10,1000,35,LR,1.0,1.0
10,5000,35,LR,1.0,1.0
10,all,35,LR,1.0,1.0
10,100,36,LR,1.0,1.0
10,500,36,LR,1.0,1.0
10,1000,36,LR,1.0,1.0
10,5000,36,LR,1.0,1.0
10,all,36,LR,1.0,1.0
10,100,37,LR,1.0,1.0
10,500,37,LR,1.0,1.0
10,1000,37,LR,1.0,1.0
10,5000,37,LR,1.0,1.0
10,all,37,LR,1.0,1.0
10,100,38,LR,1.0,1.0
10,500,38,LR,1.0,1.0
10,1000,38,LR,1.0,1.0
10,5000,38,LR,1.0,1.0
10,all,38,LR,1.0,1.0
10,100,39,LR,1.0,1.0
10,500,39,LR,1.0,1.0
10,1000,39,LR,1.0,1.0
10,5000,39,LR,1.0,1.0
10,all,39,LR,1.0,1.0
10,100,40,LR,1.0,1.0
10,500,40,LR,1.0,1.0
10,1000,40,LR,1.0,1.0
10,5000,40,LR,1.0,1.0
10,all,40,LR,1.0,1.0
10,100,41,LR,1.0,1.0
10,500,41,LR,1.0,1.0
10,1000,41,LR,1.0,1.0
10,5000,41,LR,1.0,1.0
10,all,41,LR,1.0,1.0
10,100,42,LR,1.0,1.0
10,500,42,LR,1.0,1.0
10,1000,42,LR,1.0,1.0
10,5000,42,LR,1.0,1.0
10,all,42,LR,1.0,1.0
10,100,43,LR,1.0,1.0
10,500,43,LR,1.0,1.0
10,1000,43,LR,1.0,1.0
10,5000,43,LR,1.0,1.0
10,all,43,LR,1.0,1.0
10,100,44,LR,1.0,1.0
10,500,44,LR,1.0,1.0
10,1000,44,LR,1.0,1.0
10,5000,44,LR,1.0,1.0
10,all,44,LR,1.0,1.0
10,100,45,LR,1.0,1.0
10,500,45,LR,1.0,1.0
10,1000,45,LR,1.0,1.0
10,5000,45,LR,1.0,1.0
10,all,45,LR,1.0,1.0
10,100,46,LR,1.0,1.0
10,500,46,LR,1.0,1.0
10,1000,46,LR,1.0,1.0
10,5000,46,LR,1.0,1.0
10,all,46,LR,1.0,1.0
10,100,47,LR,1.0,1.0
10,500,47,LR,1.0,1.0
10,1000,47,LR,1.0,1.0
10,5000,47,LR,1.0,1.0
10,all,47,LR,1.0,1.0
10,100,48,LR,1.0,1.0
10,500,48,LR,1.0,1.0
10,1000,48,LR,1.0,1.0
10,5000,48,LR,1.0,1.0
10,all,48,LR,1.0,1.0
10,100,49,LR,1.0,1.0
