B,repeat,model,patient_macro_f1,patient_accuracy,aptamers
5,61,LR,0.7984126984126984,0.8,APT-69;APT-76;APT-115;APT-123;APT-256
5,62,LR,0.7667369667369668,0.775,APT-58;APT-66;APT-128;APT-132;APT-255
5,63,LR,0.6106670018434724,0.65,APT-54;APT-65;APT-108;APT-154;APT-226
5,64,LR,0.7713675213675214,0.775,APT-159;APT-186;APT-243;APT-273;APT-284
5,65,LR,0.3854247604247604,0.45,APT-13;APT-48;APT-102;APT-163;APT-206
5,66,LR,0.6556608968373675,0.675,APT-03;APT-08;APT-45;APT-82;APT-154
5,67,LR,0.9005994005994006,0.9,APT-36;APT-138;APT-144;APT-211;APT-272
5,68,LR,0.5997821350762528,0.625,APT-28;APT-152;APT-214;APT-237;APT-250
5,69,LR,0.6601130351130352,0.675,APT-60;APT-72;APT-97;APT-122;APT-182
5,70,LR,0.7168091168091167,0.725,APT-25;APT-60;APT-94;APT-225;APT-253
5,71,LR,0.8282634032634033,0.825,APT-77;APT-84;APT-140;APT-210;APT-243
5,72,LR,0.7411477411477412,0.775,APT-32;APT-144;APT-193;APT-207;APT-224
5,73,LR,0.6470620996936786,0.675,APT-47;APT-92;APT-124;APT-141;APT-248
5,74,LR,0.5536758563074353,0.6,APT-86;APT-177;APT-182;APT-185;APT-269
5,75,LR,0.7173848210612918,0.725,APT-197;APT-240;APT-245;APT-263;APT-292
5,76,LR,0.5176867508136858,0.575,APT-38;APT-43;APT-100;APT-106;APT-271
5,77,LR,0.5998204409969116,0.65,APT-46;APT-59;APT-95;APT-116;APT-285
5,78,LR,0.7958333333333334,0.8,APT-05;APT-162;APT-182;APT-246;APT-267
5,79,LR,0.6916971916971918,0.725,APT-91;APT-180;APT-192;APT-202;APT-285
5,80,LR,0.7078144078144076,0.75,APT-05;APT-35;APT-160;APT-196;APT-287
5,81,LR,0.6333541458541458,0.625,APT-48;APT-64;APT-112;APT-246;APT-277
5,82,LR,0.7460761460761461,0.75,APT-36;APT-90;APT-157;APT-182;APT-189
5,83,LR,0.3782106782106782,0.475,APT-85;APT-119;APT-129;APT-147;APT-283
5,84,LR,0.8492063492063492,0.85,APT-26;APT-112;APT-130;APT-244;APT-272
5,85,LR,0.8395604395604396,0.85,APT-16;APT-57;APT-108;APT-156;APT-274
5,86,LR,0.505259446435917,0.6,APT-22;APT-37;APT-41;APT-145;APT-160
