B,model,n_random,top_B_patient_macro_f1,random_mean,random_empirical_2.5pct,random_empirical_97.5pct,top_B_random_percentile_midrank
5,LR,100,0.8982905982905983,0.6627726816838405,0.42208333333333337,0.8899858474858473,97.0
5,XGBoost,100,0.9249084249084248,0.7252386749387523,0.45270594601476954,0.8899217449217447,99.0
10,LR,100,1.0,0.8682170047874382,0.6700457875457875,0.9523809523809524,100.0
10,XGBoost,100,1.0,0.9214083640817389,0.7810395514071985,1.0,97.0
20,LR,100,1.0,0.972514825316296,0.899840472027972,1.0,79.5
20,XGBoost,100,1.0,0.9805110755257813,0.9233351615704558,1.0,75.0
