feature_set,transform,accuracy,balanced_accuracy,macro_f1,log_loss,macro_auroc,p_value
pred_hard_lineage,clr,0.55,0.570436507936508,0.5235805860805861,1.738517507728113,0.7711397058823529,
pred_hard_lineage,raw,0.475,0.4930555555555555,0.4716186591186591,1.7456525750225935,0.7665223996795687,
pred_hard_subtype,clr,0.65,0.6716269841269842,0.634733893557423,1.2356171299542742,0.8343084866522367,
pred_hard_subtype,raw,0.55,0.5684523809523809,0.5242411183587654,3.555439238434142,0.739055139101095,
pred_soft_lineage,clr,0.475,0.4871031746031746,0.47170190920190924,1.7034608630108052,0.7773389422056701,
pred_soft_lineage,raw,0.475,0.4871031746031746,0.4765567765567766,2.297216969641103,0.7661139029475427,0.00019998000199980003
pred_soft_subtype,clr,0.7,0.7142857142857143,0.7100885225885225,1.1103212574169583,0.9077767233787455,
pred_soft_subtype,raw,0.6,0.6240079365079365,0.592940392940393,2.4527141697402373,0.8544213139801374,9.999000099990002e-05
technical,raw,0.575,0.6041666666666666,0.5309697709697709,1.9123317923482177,0.8002959943447076,9.999000099990002e-05
true_lineage,clr,0.325,0.32936507936507936,0.2901912901912902,2.5660234109480617,0.6949661730222392,
true_lineage,raw,0.325,0.3214285714285714,0.3006535947712418,2.0017731747942213,0.7425741129785247,0.0183981601839816
true_subtype,clr,0.55,0.558531746031746,0.5489047989047989,1.4700527149193041,0.7793578842521858,
true_subtype,raw,0.5,0.5069444444444445,0.5160353535353536,4.096448975333972,0.775571580431415,9.999000099990002e-05
