cell_budget,seed,feature_set,transform,eligible_patients,eligible_diseases,accuracy,balanced_accuracy,macro_f1,log_loss,macro_auroc
100,0,pred_soft_lineage,raw,40,6,0.425,0.4275793650793651,0.43297258297258295,2.7414764069667745,0.7544879931139122
100,0,pred_soft_lineage,clr,40,6,0.45,0.4523809523809524,0.4545843045843046,2.043477086837739,0.7830346864124437
100,0,pred_soft_subtype,raw,40,6,0.475,0.496031746031746,0.47361111111111115,3.882372487042408,0.7704923115079364
100,0,pred_soft_subtype,clr,40,6,0.65,0.6656746031746031,0.6495710172180761,0.8239386712674044,0.9400048608458534
100,1,pred_soft_lineage,raw,40,6,0.45,0.45535714285714285,0.4499389499389499,2.440710492634066,0.7554873511904762
100,1,pred_soft_lineage,clr,40,6,0.5,0.5148809523809524,0.4939407814407814,1.7369613043131682,0.7921467829556065
100,1,pred_soft_subtype,raw,40,6,0.6,0.6240079365079365,0.601037851037851,3.0320395031109726,0.8140353442513368
100,1,pred_soft_subtype,clr,40,6,0.725,0.7420634920634921,0.7274392274392275,0.8773908668920235,0.9349976259443172
100,2,pred_soft_lineage,raw,40,6,0.4,0.4077380952380953,0.4033730158730158,2.0920078109408142,0.7692233853768781
100,2,pred_soft_lineage,clr,40,6,0.45,0.4593253968253968,0.45009018759018754,2.060147020537557,0.7714570203081234
100,2,pred_soft_subtype,raw,40,6,0.525,0.5515873015873015,0.5166056166056167,4.746349182967184,0.7571806895106526
100,2,pred_soft_subtype,clr,40,6,0.675,0.6875,0.6838624338624338,1.1058095010238183,0.9002888323890161
100,3,pred_soft_lineage,raw,40,6,0.475,0.4871031746031746,0.47903664962488496,2.594317637260956,0.7740197404719463
100,3,pred_soft_lineage,clr,40,6,0.475,0.4871031746031746,0.4721611721611721,1.8884784202524265,0.8062036130740174
100,3,pred_soft_subtype,raw,40,6,0.55,0.5793650793650793,0.544017094017094,3.260991183158988,0.8067687775867922
100,3,pred_soft_subtype,clr,40,6,0.65,0.6775793650793651,0.647415450047029,1.1540377969141655,0.9130293215771158
100,4,pred_soft_lineage,raw,40,6,0.475,0.49007936507936506,0.4820225526107879,1.9178654093223468,0.7769967598781937
100,4,pred_soft_lineage,clr,40,6,0.4,0.4077380952380952,0.4080510992275698,3.312166966239336,0.7587022735230455
100,4,pred_soft_subtype,raw,40,6,0.575,0.5972222222222222,0.591889591889592,3.5634699902049767,0.8201986050101859
100,4,pred_soft_subtype,clr,40,6,0.675,0.6944444444444445,0.6729920406390995,0.928254289901064,0.9168120609986419
100,5,pred_soft_lineage,raw,40,6,0.425,0.4246031746031746,0.41725921137685834,2.7867599399186247,0.7535867803560818
100,5,pred_soft_lineage,clr,40,6,0.45,0.4523809523809524,0.4541389982566453,2.958453863285976,0.7502554762435277
100,5,pred_soft_subtype,raw,40,6,0.625,0.6507936507936508,0.6011904761904762,2.523402521148861,0.8243447473686444
100,5,pred_soft_subtype,clr,40,6,0.7,0.7182539682539683,0.7040112665112664,1.2156635328727918,0.899370875244037
100,6,pred_soft_lineage,raw,40,6,0.525,0.5347222222222222,0.5324453324453324,1.937856033795681,0.810175680120533
100,6,pred_soft_lineage,clr,40,6,0.5,0.5148809523809523,0.49267399267399264,1.8207983126773422,0.8300194367519736
100,6,pred_soft_subtype,raw,40,6,0.55,0.5724206349206349,0.5541514041514041,3.002740092660079,0.8336707078664799
100,6,pred_soft_subtype,clr,40,6,0.65,0.6765873015873015,0.646991896991897,0.876192301735431,0.9167195524042951
100,7,pred_soft_lineage,raw,40,6,0.475,0.48710317460317465,0.4835678210678211,2.880623060836161,0.7506472285884049
100,7,pred_soft_lineage,clr,40,6,0.45,0.4702380952380953,0.44928127428127423,2.2739849732123387,0.7761996607355064
100,7,pred_soft_subtype,raw,40,6,0.575,0.6031746031746031,0.561050061050061,2.1514557866970017,0.8497701874310332
100,7,pred_soft_subtype,clr,40,6,0.725,0.7390873015873015,0.7260109171873877,1.1518714001937496,0.9084307491936169
100,8,pred_soft_lineage,raw,40,6,0.425,0.435515873015873,0.42718253968253966,2.220121133879507,0.7758264764239029
100,8,pred_soft_lineage,clr,40,6,0.525,0.5357142857142857,0.5092755283931755,1.346918511169053,0.823030230084458
100,8,pred_soft_subtype,raw,40,6,0.625,0.6408730158730158,0.6237789987789988,3.24516254338828,0.8125260284037857
100,8,pred_soft_subtype,clr,40,6,0.675,0.6904761904761904,0.6709401709401709,0.9092169257287207,0.9199043016827942
100,9,pred_soft_lineage,raw,40,6,0.375,0.37996031746031744,0.3807200152788388,4.871742597240757,0.7212207089275103
100,9,pred_soft_lineage,clr,40,6,0.475,0.4871031746031746,0.48012820512820514,3.182163133197056,0.7287366177531619
100,9,pred_soft_subtype,raw,40,6,0.575,0.6031746031746031,0.5561868686868686,2.9796000286223916,0.7904740021008404
100,9,pred_soft_subtype,clr,40,6,0.575,0.5942460317460317,0.5903263403263403,1.4123419403515527,0.8771227240896358
100,10,pred_soft_lineage,raw,40,6,0.525,0.5347222222222222,0.5388403263403263,2.394940607923638,0.7749827914120194
100,10,pred_soft_lineage,clr,40,6,0.5,0.5148809523809523,0.503525641025641,2.1488369188620298,0.780383104946524
100,10,pred_soft_subtype,raw,40,6,0.575,0.6031746031746031,0.5525183150183149,3.0800889237611146,0.783454290807232
100,10,pred_soft_subtype,clr,40,6,0.7,0.7222222222222223,0.693210384386855,0.8330761097029166,0.9352565836940837
100,11,pred_soft_lineage,raw,40,6,0.475,0.48313492063492064,0.4769119769119769,2.200610712224639,0.7823480007533318
100,11,pred_soft_lineage,clr,40,6,0.475,0.49404761904761907,0.4916958041958042,2.5662104232002565,0.7516469182369918
100,11,pred_soft_subtype,raw,40,6,0.6,0.6240079365079364,0.5944535856300562,2.5675367194962724,0.8221875397886428
100,11,pred_soft_subtype,clr,40,6,0.675,0.6904761904761904,0.6780372405372406,0.9124970582057168,0.9291551611174773
100,12,pred_soft_lineage,raw,40,6,0.4,0.41071428571428564,0.39517704517704516,3.1772697628788626,0.7273849644024276
100,12,pred_soft_lineage,clr,40,6,0.425,0.4384920634920635,0.42493894993895,2.9630462291210837,0.7542174303433494
100,12,pred_soft_subtype,raw,40,6,0.55,0.5753968253968255,0.5411070411070411,3.677076729707303,0.7838911369472031
100,12,pred_soft_subtype,clr,40,6,0.7,0.7152777777777777,0.701389254020833,0.8424956603711706,0.9405231079174095
100,13,pred_soft_lineage,raw,40,6,0.475,0.4930555555555556,0.4853826728826729,2.528771930124857,0.741282474163908
100,13,pred_soft_lineage,clr,40,6,0.5,0.507936507936508,0.4927170868347339,1.910564055476095,0.7718137918046007
100,13,pred_soft_subtype,raw,40,6,0.55,0.5753968253968255,0.5547202797202797,3.4224070225710532,0.7950750612745098
100,13,pred_soft_subtype,clr,40,6,0.7,0.7113095238095237,0.7023809523809524,0.7035180643862171,0.9540121209468637
100,14,pred_soft_lineage,raw,40,6,0.475,0.48313492063492064,0.49127473833356183,2.295898049785174,0.7804945131461675
100,14,pred_soft_lineage,clr,40,6,0.525,0.5386904761904762,0.5306304806304806,2.0239258579917765,0.8059366975957049
100,14,pred_soft_subtype,raw,40,6,0.55,0.568452380952381,0.5523088023088023,2.4301538186448894,0.8026725368177575
100,14,pred_soft_subtype,clr,40,6,0.675,0.6865079365079364,0.6875,1.0848007293288693,0.8978522753798489
100,15,pred_soft_lineage,raw,40,6,0.45,0.4593253968253968,0.4445887445887446,2.106689010476022,0.7717701900836093
100,15,pred_soft_lineage,clr,40,6,0.425,0.4424603174603175,0.41491841491841486,2.64195292388177,0.7530721805767762
100,15,pred_soft_subtype,raw,40,6,0.65,0.6795634920634921,0.6368506493506493,3.7167570797851206,0.8222472227527374
100,15,pred_soft_subtype,clr,40,6,0.675,0.6974206349206349,0.6857142857142856,1.2316047123434308,0.8931341712821492
100,16,pred_soft_lineage,raw,40,6,0.525,0.5317460317460317,0.5301254301254301,1.8562835311684047,0.8087081423478483
100,16,pred_soft_lineage,clr,40,6,0.4,0.41071428571428575,0.41764069264069265,2.316430805536025,0.7723356861684069
100,16,pred_soft_subtype,raw,40,6,0.6,0.6200396825396824,0.5895516248457425,3.057680161663293,0.8017718214179612
100,16,pred_soft_subtype,clr,40,6,0.75,0.7569444444444443,0.7418372319688108,1.2795334147442472,0.9093182017125033
100,17,pred_soft_lineage,raw,40,6,0.45,0.4593253968253968,0.4415972915972916,2.0210415896205935,0.7422904531130635
100,17,pred_soft_lineage,clr,40,6,0.425,0.43154761904761907,0.4184680515562869,1.7145437698185968,0.7504857530133265
100,17,pred_soft_subtype,raw,40,6,0.525,0.5406746031746031,0.5242165242165243,2.891623696772677,0.8098059773151686
100,17,pred_soft_subtype,clr,40,6,0.65,0.6626984126984127,0.6616069116069117,1.209009542637763,0.9149865912274001
100,18,pred_soft_lineage,raw,40,6,0.475,0.4871031746031746,0.466056166056166,2.306634007436347,0.7765556033019267
