source,subtype,disease,n_disease,median_disease,iqr_disease,median_other,median_difference,rank_biserial,p_value,median_lr_coefficient,iqr_lr_coefficient,coefficient_positive_fraction,coefficient_sign_stability,top_five_fraction,q_value,heldout_log_loss_increase,heldout_log_loss_increase_sd
true_subtype,Atypical Memory B,BTC,6,0.0010056733881578799,0.0012392584837330697,0.0005487235178705694,0.00045694987028731043,0.08333333333333326,0.7614933858409626,-0.33798121663120445,1.0179686062951867,0.2,0.8,0.4,0.8843376592126295,0.20059226660938845,0.22275520352733597
true_subtype,Atypical Memory B,CRC,8,0.0,0.00020070924517783068,0.0009426842640315011,-0.0009426842640315011,-0.77734375,0.0007995300274685504,-0.33315727490497143,0.15812777549867207,0.0,1.0,0.0,0.006167803069043104,0.20059226660938845,0.22275520352733597
true_subtype,Atypical Memory B,GC,7,0.0008357709987463436,0.0005326582014405245,0.0005275652862041678,0.00030820571254217574,0.16883116883116878,0.49813711393240145,-0.470947170920064,0.352755144779576,0.0,1.0,0.0,0.7017235865830351,0.20059226660938845,0.22275520352733597
true_subtype,Atypical Memory B,HCC,7,0.00014465499783017504,0.00014047380876686165,0.0009677865339416563,-0.0008231315361114812,-0.48917748917748916,0.04586675462814906,-0.017699887735632344,0.09116965930388538,0.4,0.6,0.0,0.16887305113091247,0.20059226660938845,0.22275520352733597
true_subtype,Atypical Memory B,Normal,6,0.005605305427623317,0.0018556402854188626,0.000434453383279214,0.005170852044344102,0.8333333333333333,0.0013462529254407041,0.31892787636284525,0.3547671857560895,1.0,1.0,0.0,0.009482303213973656,0.20059226660938845,0.22275520352733597
true_subtype,Atypical Memory B,PC,6,0.0014839845695209285,0.0009884953743505903,0.0004888557918754353,0.0009951287776454932,0.42156862745098045,0.10686371499337947,0.7647946168472389,0.7255582489427175,1.0,1.0,0.6,0.2933867411307395,0.20059226660938845,0.22275520352733597
true_subtype,CD14 Monocyte-1,BTC,6,0.06672910021171327,0.06706969923934902,0.07563295693959535,-0.008903856727882076,-0.16666666666666663,0.5414289361657783,0.04893643156752793,0.3326118710683956,0.6,0.6,0.0,0.7248883277591411,0.13773726378560697,0.3214330913182212
true_subtype,CD14 Monocyte-1,CRC,8,0.060847800538522186,0.04029099158192613,0.08193923795669444,-0.02109143741817226,-0.328125,0.16359494873426764,-0.758636221428783,0.15922210546106663,0.0,1.0,0.2,0.3786054527850194,0.13773726378560697,0.3214330913182212
true_subtype,CD14 Monocyte-1,GC,7,0.1534998874634256,0.1089191450494434,0.07230343737653101,0.08119645008689459,0.5151515151515151,0.03356065043371545,0.2581356929288069,0.8625076833148296,0.8,0.8,0.2,0.13592063425654757,0.13773726378560697,0.3214330913182212
true_subtype,CD14 Monocyte-1,HCC,7,0.09512697323266987,0.1067817533473081,0.07230343737653101,0.02282353585613886,0.09090909090909083,0.7276492257916408,0.6704634036972428,0.6554419434419498,1.0,1.0,0.0,0.8604458541409119,0.13773726378560697,0.3214330913182212
