feature_set,transform,outer_fold,disease,feature,coefficient
pred_hard_lineage,raw,1,HCC,pred_hard_lineage::NK,0.1772304252890756
pred_hard_lineage,raw,1,HCC,pred_hard_lineage::Other,-0.13819080184327226
pred_hard_lineage,raw,1,HCC,pred_hard_lineage::T,-0.16921728894613888
pred_hard_lineage,raw,1,Normal,pred_hard_lineage::B,0.06200404475491595
pred_hard_lineage,raw,1,Normal,pred_hard_lineage::Myeloid,0.01742112719078843
pred_hard_lineage,raw,1,Normal,pred_hard_lineage::NK,0.2292688633697759
pred_hard_lineage,raw,1,Normal,pred_hard_lineage::Other,0.39096931602391205
pred_hard_lineage,raw,1,Normal,pred_hard_lineage::T,-0.24623278768805562
pred_hard_lineage,raw,1,PC,pred_hard_lineage::B,-0.06577559134658706
pred_hard_lineage,raw,1,PC,pred_hard_lineage::Myeloid,-0.015605304404900782
pred_hard_lineage,raw,1,PC,pred_hard_lineage::NK,-0.207877047923166
pred_hard_lineage,raw,1,PC,pred_hard_lineage::Other,-0.05772686060562133
pred_hard_lineage,raw,1,PC,pred_hard_lineage::T,0.22331707290050398
pred_hard_lineage,raw,2,BTC,pred_hard_lineage::B,1.6377071167122357
pred_hard_lineage,raw,2,BTC,pred_hard_lineage::Myeloid,-0.6176663684026629
pred_hard_lineage,raw,2,BTC,pred_hard_lineage::NK,0.1373138524297253
pred_hard_lineage,raw,2,BTC,pred_hard_lineage::Other,-0.4698861047002296
pred_hard_lineage,raw,2,BTC,pred_hard_lineage::T,0.12058977853003294
pred_hard_lineage,raw,2,CRC,pred_hard_lineage::B,-0.12695810112108452
pred_hard_lineage,raw,2,CRC,pred_hard_lineage::Myeloid,-0.115548045949519
pred_hard_lineage,raw,2,CRC,pred_hard_lineage::NK,0.3933629510374702
pred_hard_lineage,raw,2,CRC,pred_hard_lineage::Other,0.9201526233494411
pred_hard_lineage,raw,2,CRC,pred_hard_lineage::T,-0.2949471027200935
pred_hard_lineage,raw,2,GC,pred_hard_lineage::B,-1.1717880161247505
pred_hard_lineage,raw,2,GC,pred_hard_lineage::Myeloid,0.5623557559794765
