comparison,metric,difference,ci_low,ci_high,bootstrap_replicates
primary_subtype_minus_lineage,macro_f1,0.11638361638361644,-0.014895940939864998,0.26156945037060125,2000
soft_minus_hard_subtype,macro_f1,0.06869927458162761,-0.07695564420535807,0.22149801587301587,2000
predicted_subtype_minus_technical,macro_f1,0.061970621970622086,-0.08723535014750178,0.21770453366531806,2000
predicted_minus_true_subtype,macro_f1,0.07690503940503945,-0.0995928030303031,0.25641102834214274,2000
predicted_minus_true_lineage,macro_f1,0.17590318178553477,-0.016030137016979126,0.36605958991988397,2000
