model,task,design,mean,min,max
logistic_regression,coarse,matched_cell_doubling,0.004076853044023667,0.0002226945507502,0.0219040285042455
logistic_regression,coarse,matched_patient_doubling,0.00569348185207312,0.000939439870305,0.0252353959911714
logistic_regression,fine,matched_cell_doubling,0.017978193303973006,0.0017220706957917,0.0505900090857583
logistic_regression,fine,matched_patient_doubling,0.024739217889753102,0.0077166826919187,0.0604733534857846
xgboost,coarse,matched_cell_doubling,0.011568567746720701,0.002033665789942,0.0358849501270617
xgboost,coarse,matched_patient_doubling,0.01482236238565294,0.0029213355841198,0.0418660361383319
xgboost,fine,matched_cell_doubling,0.038598218672283434,0.0152235323723104,0.0709592297619174
xgboost,fine,matched_patient_doubling,0.0474908739433056,0.0200957795800966,0.0850105816134425
