job_id,outer_fold,seed,patient_budget,cell_cap,model,task,start_time,end_time,exit_status,log_path,output_path,error
fold0_seed04_P8_C100_logistic_regression_coarse,0,4,8,100,logistic_regression,coarse,2026-09-08T20:34:23.802640+00:00,2026-09-08T20:35:01.525574+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed04_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_logistic_regression_fine,0,4,8,100,logistic_regression,fine,2026-09-08T20:34:23.802640+00:00,2026-09-08T20:35:01.525574+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed04_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_xgboost_coarse,0,4,8,100,xgboost,coarse,2026-09-08T20:34:23.831593+00:00,2026-09-08T20:35:32.807032+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed04_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed04_P8_C100_xgboost.npz,
fold0_seed04_P8_C100_xgboost_fine,0,4,8,100,xgboost,fine,2026-09-08T20:34:23.831593+00:00,2026-09-08T20:35:32.807032+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed04_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed04_P8_C100_xgboost.npz,
fold0_seed05_P8_C100_logistic_regression_coarse,0,5,8,100,logistic_regression,coarse,2026-09-08T20:34:23.705364+00:00,2026-09-08T20:35:04.969693+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed05_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed05_P8_C100_logistic_regression.npz,
fold0_seed05_P8_C100_logistic_regression_fine,0,5,8,100,logistic_regression,fine,2026-09-08T20:34:23.705364+00:00,2026-09-08T20:35:04.969693+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed05_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed05_P8_C100_logistic_regression.npz,
fold0_seed05_P8_C100_xgboost_coarse,0,5,8,100,xgboost,coarse,2026-09-08T20:34:23.744787+00:00,2026-09-08T20:35:32.043235+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed05_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed05_P8_C100_xgboost.npz,
fold0_seed05_P8_C100_xgboost_fine,0,5,8,100,xgboost,fine,2026-09-08T20:34:23.744787+00:00,2026-09-08T20:35:32.043235+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed05_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed05_P8_C100_xgboost.npz,
fold0_seed06_P8_C100_logistic_regression_coarse,0,6,8,100,logistic_regression,coarse,2026-09-08T20:34:23.833499+00:00,2026-09-08T20:35:01.535679+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed06_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed06_P8_C100_logistic_regression.npz,
fold0_seed06_P8_C100_logistic_regression_fine,0,6,8,100,logistic_regression,fine,2026-09-08T20:34:23.833499+00:00,2026-09-08T20:35:01.535679+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed06_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed06_P8_C100_logistic_regression.npz,
