outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,2,8,100,fine,11,CD8.TCM.CCL5,4,8,True
0,2,8,100,fine,12,CD8.TEFF,1,1,True
0,2,8,100,fine,13,CD8.TEFF.prolif,2,3,True
0,2,8,100,fine,14,CD8.TEM,6,13,True
0,2,8,100,fine,15,CD8.TEMRA,7,38,True
0,2,8,100,fine,16,CD8.TREG,0,0,False
0,2,8,100,fine,17,CD8.mitohi,3,5,True
0,2,8,100,fine,18,DN,3,3,True
0,2,8,100,fine,19,DP,1,1,True
0,2,8,100,fine,20,GDT.VD2,4,7,True
0,2,8,100,fine,21,GDT.VD2neg,2,3,True
0,2,8,100,fine,22,HSC,0,0,False
0,2,8,100,fine,23,MAIT,4,5,True
0,2,8,100,fine,24,Mast,0,0,False
0,2,8,100,fine,25,NK.CD16hi,8,62,True
0,2,8,100,fine,26,NK.CD16int,3,12,True
0,2,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,4,8,True
0,2,8,100,fine,28,NK.cyc,3,7,True
0,2,8,100,fine,29,NK.mitohi,5,15,True
0,2,8,100,fine,30,PB,3,3,True
0,2,8,100,fine,31,PLT,0,0,False
0,2,8,100,fine,32,RET,1,1,True
0,2,8,100,fine,33,cDC,6,9,True
0,2,8,100,fine,34,cMono,8,255,True
0,2,8,100,fine,35,cMono.cyc,1,3,True
0,2,8,100,fine,36,iNKT,0,0,False
0,2,8,100,fine,37,ncMono,7,44,True
0,2,8,100,fine,38,pDC,1,2,True
0,3,8,100,coarse,0,B,8,44,True
0,3,8,100,coarse,1,Myeloid,8,262,True
0,3,8,100,coarse,2,NK,8,53,True
0,3,8,100,coarse,3,Other,3,7,True
0,3,8,100,coarse,4,T,8,434,True
0,3,8,100,fine,0,B.INT,5,8,True
0,3,8,100,fine,1,B.MEM,2,3,True
0,3,8,100,fine,2,B.NAIVE,7,26,True
0,3,8,100,fine,3,CD4.NAIVE,8,135,True
0,3,8,100,fine,4,CD4.TCM,8,129,True
0,3,8,100,fine,5,CD4.TEFF,6,10,True
0,3,8,100,fine,6,CD4.TEFF.prolif,3,6,True
0,3,8,100,fine,7,CD4.TEM/TEMRA,2,13,True
0,3,8,100,fine,8,CD4.TREG,8,29,True
0,3,8,100,fine,9,CD8.NAIVE,6,22,True
0,3,8,100,fine,10,CD8.TCM,3,6,True
