scope,bundle_id,outer_fold,seed,patient_budget,cell_cap,model,task,accuracy,balanced_accuracy,fit_time_sec,inference_time_sec,macro_f1,n_evaluation_classes,n_observed_training_classes,n_train_cells,n_test_cells,peak_rss_mb
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,coarse,0.9917067256946748,0.9843066540332487,0.05139494128525257,0.022057815454900265,0.9796237750751515,5,5,800,165797,1749.32421875
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,fine,0.7314366363685713,0.4530976742892832,0.13304145354777575,0.046256071887910366,0.4475886079110097,39,36,800,165797,1749.32421875
outer_fold,fold0_seed00_P8_C100_xgboost,0,0,8,100,xgboost,coarse,0.9868152017225885,0.9072361876728401,3.8686763904988766,1.0809345822781324,0.935364678140257,5,5,800,165797,1692.08203125
outer_fold,fold0_seed00_P8_C100_xgboost,0,0,8,100,xgboost,fine,0.7355621633684566,0.3576842541168619,26.594113191589713,7.409050558693707,0.3634089379451972,39,36,800,165797,1692.08203125
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,coarse,0.9885884545558725,0.9533672329583254,0.018928338773548603,0.04778537340462208,0.965655522156174,5,5,800,165797,1677.06640625
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,fine,0.726997472813139,0.40025271486103725,0.06023281440138817,0.14456269051879644,0.395823123340315,39,36,800,165797,1677.06640625
outer_fold,fold0_seed01_P8_C100_xgboost,0,1,8,100,xgboost,coarse,0.9857114423059524,0.8557943020274899,2.9913563393056393,1.1389216529205441,0.8902997238235919,5,5,800,165797,1677.42578125
outer_fold,fold0_seed01_P8_C100_xgboost,0,1,8,100,xgboost,fine,0.7339216029240577,0.3320664063084026,18.36838302668184,8.095785958692431,0.32910753278076776,39,36,800,165797,1677.42578125
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,coarse,0.9844508646115431,0.8353144470305957,0.019443807192146778,0.046110497787594795,0.8468941984480441,5,5,800,165797,1676.65234375
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,fine,0.7235052503965693,0.39876623998616384,0.0613779416307807,0.16955493576824665,0.3895304446564313,39,34,800,165797,1676.65234375
